"region","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Российская Федерация","140983","168311","180324","184568","201850","203330","191650","191372","193830","204546","218018","232388","240054","254927","262645","242931","256582","269541","278632"
"Центральный федеральный округ","46683","58929","64263","60169","67980","68945","63078","62796","60829","65591","69588","72648","77966","76405","76099","69612","73778","78580","79140"
"Белгородская область","550","689","963","1207","981","1215","1030","1614","1421","1837","1970","2335","2408","2444","2536","3401","3349","3501","3382"
"Брянская область","690","602","589","803","912","1021","1066","1221","1225","1281","1456","1512","1603","2036","2064","1787","1779","1800","1861"
"Владимирская область","1653","1863","2554","2837","3376","2972","3239","3211","3310","3446","3892","5283","6728","6810","7640","6437","6604","6774","4503"
"Воронежская область","1805","1844","1449","1641","1759","2293","1755","1666","1897","1974","2160","2275","2538","2678","2795","2935","3072","3216","3252"
"Ивановская область","432","497","582","606","711","512","486","624","744","856","935","720","933","1020","1161","1203","900","1029","1319"
"Калужская область","2130","4451","3785","3699","4320","4858","2316","2094","2057","2130","2446","2387","3176","4473","4639","3453","3514","3722","3703"
"Костромская область","1027","758","845","915","1095","1623","1069","1302","1541","1634","1608","1666","1668","1678","1560","1491","1760","1668","1844"
"Курская область","1341","1546","1752","1525","1558","1525","1588","1571","1314","1323","1293","1291","1291","1487","1454","1790","1794","1857","1934"
"Липецкая область","646","978","2051","2188","1751","2212","2265","2511","3653","3174","3221","3401","3422","2645","2921","2998","3105","3173","3195"
"Московская область","12771","16213","14399","9894","10376","11686","15159","14310","14458","17174","16467","16532","16819","18980","18419","15638","16190","17461","18528"
"Орловская область","1013","988","1070","1131","1265","1377","1471","1424","1479","1559","1460","1647","1498","1554","1574","1337","1378","1436","1496"
"Рязанская область","390","500","547","627","505","528","1076","1032","1362","1311","1411","1445","1603","1728","1923","1747","1881","1969","2123"
"Смоленская область","1262","510","661","1001","1079","1076","1171","1302","1252","1278","1412","1672","1750","1841","1863","2000","2256","2273","2210"
"Тамбовская область","1336","1751","2249","2559","2658","2086","2248","2005","1966","2069","2023","1981","1933","2008","2060","1882","2010","1987","1837"
"Тверская область","1501","1963","2078","2240","2422","2488","2394","2746","3356","3761","3952","4193","4206","4604","4170","3157","3158","2956","3151"
"Тульская область","5678","6623","7759","9172","9767","8185","4898","3540","2123","2250","2229","2546","2867","3014","4539","4099","4440","4998","3886"
"Ярославская область","1401","1647","2690","2856","3285","3267","2642","2675","2841","2889","2815","2962","2874","2851","3132","3235","3511","3629","3819"
"г. Москва","11057","15506","18240","15268","20160","20021","17205","17948","14830","15645","18838","18800","20649","14554","11649","11022","13077","15131","17097"
"Северо-Западный федеральный округ","8031","10901","11671","13497","14518","16622","17894","17473","18313","19478","20081","21653","22204","24093","25365","24693","26247","29158","31052"
"Республика Карелия","476","547","549","658","627","751","1191","572","551","498","537","614","660","719","707","953","979","1018","1021"
"Республика Коми","82","131","258","422","467","550","609","491","529","564","710","779","910","1036","1156","1404","1351","1440","1567"
"Архангельская область","448","494","729","846","1146","1298","1414","1367","1384","1362","1426","1416","1480","1484","1168","1284","1394","1509","1471"
"Ненецкий авт. округ","17","23","14","18","33","15","18","25","8","","25","36","63","78","103","143","215","245","263"
"Архангельская область без авт. округа","431","471","715","828","1113","1283","1396","1342","1376","","1401","1380","1417","1406","1065","1141","1179","1264","1208"
"Вологодская область","1791","3027","2765","2949","2943","3209","2228","2196","2184","2379","2533","2624","2992","2833","3167","2758","2615","2759","2738"
"Калининградская область","686","785","1067","1060","894","916","1040","1050","1044","812","795","854","859","908","930","1428","1519","1442","1332"
"Ленинградская область","124","254","258","440","678","913","1195","1178","1532","1648","1641","1695","1879","2325","2762","2714","2830","2989","3224"
"Мурманская область","660","729","828","1035","1055","1112","1557","1154","1106","1135","1201","1236","1145","1380","1375","1535","1496","1538","1678"
