"region","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Российская Федерация","105.6","105.7","104.7","105.1","105.2","104","102","99","97","94"
"Центральный федеральный округ","101.9","102.4","102.4","102.4","102.5","102","100","99","98","95"
"Белгородская область","106.6","106.5","105","104.7","104.3","105","102","100","98","92"
"Брянская область","109.4","107.8","108.4","107.6","107.7","105","98","92","87","83"
"Владимирская область","99.8","100.7","98.9","98.4","94.6","93","91","89","87","86"
"Воронежская область","105.2","101.6","103.7","102.1","99.9","99","97","102","105","99"
"Ивановская область","99.3","97.3","98.2","98.3","98.1","98","95","87","89","87"
"Калужская область","107.6","107.2","107","106.4","106.5","107","104","101","99","100"
"Костромская область","109.8","111.2","112","109","108.5","107","103","98","91","87"
"Курская область","117.5","117.2","112.6","110.9","110.5","110","104","100","97","92"
"Липецкая область","106.5","109.4","109.4","110.6","111.8","110","107","106","104","100"
"Московская область","101.7","104.2","104.7","105.5","107.2","108","107","106","105","103"
"Орловская область","104.6","105.5","106.4","105.6","106.2","104","99","96","93","88"
"Рязанская область","106.8","106.1","105.3","103.9","104.6","102","98","93","90","87"
"Смоленская область","97.4","97.5","95.6","97.6","96.8","96","91","90","88","83"
"Тамбовская область","98.7","99","99.2","100","101.3","100","96","87","84","80"
"Тверская область","98.3","98.4","97.9","98.2","97.4","96","92","91","93","88"
"Тульская область","89.5","91.5","91.2","90.7","90.5","89","86","84","82","78"
"Ярославская область","102.5","104.4","104.9","105.7","106.1","106","103","100","100","99"
"г. Москва","100.1","99.8","99.7","99.6","99.6","100","100","99","100","100"
"Северо-Западный федеральный округ","101.3","101.2","101.6","102.4","102.7","102","100","97","96","93"
"Республика Карелия","95.8","95.4","95.1","94.6","94.1","93","91","89","89","85"
"Республика Коми","95.1","93","93.3","94.6","94.2","93","89","85","84","86"
"Архангельская область","98","96.6","95","94.8","93.8","92","88","85","85","81"
"Ненецкий авт. округ","92.3","93.1","92.4","89.7","90","92","89","88","87","83"
"Архангельская область без авт. округа","98.3","96.8","95.1","95.1","94","90","88","85","85","81"
"Вологодская область","103.6","104.2","103.2","104.1","103.2","102","95","90","82","79"
"Калининградская область","101.1","98","100.4","100.3","100.6","100","100","101","101","100"
"Ленинградская область","97.1","96.5","97.1","97.8","98.8","99","99","96","96","94"
"Мурманская область","101","100.8","100.8","101.4","100.1","98","93","89","88","82"
"Новгородская область","98.5","98.7","97.9","97.9","97","94","90","87","85","83"
"Псковская область","103.7","101.5","100.6","100.2","100.7","100","97","92","92","89"
"г. Санкт-Петербург","106","107.5","109.3","110.7","112.2","113","113","111","109","103"
"Южный федеральный округ","113.6","112.5","107","106.7","107.3","106","102","99","97","94"
"Республика Адыгея","126.5","128.1","132","131.8","134.2","134","122","115","103","102"
"Республика Калмыкия","116.1","117.1","98.8","98.3","96.3","91","75","79","78","75"
"Республика Крым","102.4","103.3","101.4","103.3","104.5","105","104","104","105","102"
"Краснодарский край","125.9","122.2","110.1","109.5","110","107","102","99","97","92"
"Астраханская область","99","100.9","96.6","95.7","93.9","92","87","84","84","82"
"Волгоградская область","103.1","103.1","102.9","101.9","102.2","102","99","96","95","93"
"Ростовская область","107.8","106.8","108.3","107.7","109.8","109","107","102","99","97"
"г. Севастополь","116.9","112.1","116.6","116.1","112.2","114","113","113","104","104"
"Северо-Кавказский федеральный округ","116.7","115.1","115","115.5","116.7","117","114","111","104","103"
"Республика Дагестан","123.2","119","118.6","120.6","120.2","122","120","117","104","104"
"Республика Ингушетия","128.5","114.1","108.2","103.2","102.7","104","107","100","100","100"
"Кабардино-Балкарская Республика","115","114.1","112.6","109.1","108.6","111","105","101","98","96"
"Карачаево-Черкесская Республика","112.7","113.8","111.4","111.4","112.2","111","101","99","100","98"
"Республика Северная Осетия - Алания","123.7","118.4","118.2","120.5","122.3","120","111","109","100","98"
"Чеченская Республика","146.1","140.7","138","134.9","138.9","139","139","137","123","123"
"Ставропольский край","102.6","103.4","104.6","107","108.2","107","105","101","98","95"
"Приволжский федеральный округ","105.4","106.1","105.9","107.1","107.3","106","102","98","95","92"
"Республика Башкортостан","112.2","113.9","114.4","114.8","115.9","115","110","106","102","101"
"Республика Марий Эл","97.3","97.9","98.3","98.9","98.6","99","94","90","89","87"
"Республика Мордовия","102.5","103","101.7","103.6","107.6","106","99","93","81","81"
"Республика Татарстан","113.1","110.8","111.9","112.5","113.8","112","109","100","101","99"
"Удмуртская Республика","109.2","110.2","112","113.3","111.4","108","104","99","93","90"
"Чувашская Республика","98.8","100.1","100","99.3","99","98","95","91","88","84"
"Пермский край","102.1","104.2","101.1","102.4","102.6","102","98","96","98","94"
"Кировская область","97.9","97.2","97.7","97.5","96.1","95","90","87","84","80"
"Нижегородская область","103.2","105.5","105.2","106.2","106.7","104","99","96","92","89"
"Оренбургская область","106.1","106.5","106.9","108.1","108.3","108","104","96","93","87"
"Пензенская область","104.7","110.8","110.4","111.5","111.4","110","108","101","90","86"
"Самарская область","102.8","103.6","103","103.6","103.8","103","100","96","93","90"
"Саратовская область","96.3","96.9","95.3","100.4","99","97","93","91","90","85"
"Ульяновская область","112.7","108.1","109.8","112.1","113.1","113","110","107","104","100"
"Уральский федеральный округ","106.9","106.7","104.7","104.6","104.3","104","102","99","98","95"
"Курганская область","97.9","97.2","94.4","97.7","97.3","96","93","92","89","88"
"Свердловская область","99.7","99","98.5","99","99.1","98","96","94","93","91"
"Тюменская область","111.2","111.3","112.2","109.7","108.9","109","107","104","103","101"
"Ханты-Мансийский авт. округ - Югра","104.5","104.9","103.8","99.2","98.5","98","96","95","95","94"
"Ямало-Ненецкий авт. округ","105.3","104.5","107","105.6","104.9","104","100","95","93","91"
"Тюменская область без авт. округов","121.4","122.2","125","125.9","125.4","128","124","120","117","114"
"Челябинская область","113","113.4","106.9","107.1","106.9","106","104","101","98","95"
"Сибирский федеральный округ","106.9","106.8","105.2","105.6","104.8","104","102","98","97","94"
"Республика Алтай","104.6","108","110","106.3","102","100","101","95","96","91"
"Республика Тыва","116.4","116.6","120.4","133.3","129.8","131","126","122","120","121"
"Республика Хакасия","103.5","98.3","97.1","96.1","94.5","94","90","94","93","92"
