"region","2019","2020","2021","2022","2023"
"Российская Федерация","22701803","22953386","25538845","28165732","31449603"
"Центральный федеральный округ","6096157","7633917","8577934","","10252542"
"Белгородская область","188352","221248","233726","248938","270687"
"Брянская область","129036","142231","154179","162597","174831"
"Владимирская область","183613","205236","217394","225840","244117"
"Воронежская область","301265","362128","389000","419494","455656"
"Ивановская область","149351","167001","172974","184670","198285"
"Калужская область","148430","174295","189984","202016","217116"
"Костромская область","100929","112257","114502","119684","128099"
"Курская область","115685","130608","136583","145288","157545"
"Липецкая область","123124","142200","153769","169958","188274"
"Московская область","1094238","1411673","1590881","1759105","1962272"
"Орловская область","88983","98157","107257","113571","121273"
"Рязанская область","156293","171064","180914","189162","206682"
"Смоленская область","130912","144620","156835","161458","170940"
"Тамбовская область","100082","115833","120857","129680","141671"
"Тверская область","173482","188822","200532","220269","238123"
"Тульская область","174169","200253","209925","228336","245735"
"Ярославская область","174827","204566","219494","236816","264260"
"г. Москва","2563386","3441725","4029128","4442660","4866979"
"Северо-Западный федеральный округ","2239517","2768845","3095939","","3663171"
"Республика Карелия","74031","85871","94274","100984","110733"
"Республика Коми","87734","97897","101295","105526","113040"
"Архангельская область","121187","132206","137216","142030","148887"
"Ненецкий авт. округ","4599","6619","8342","9255","10266"
"Вологодская область","156816","179820","191602","202807","220768"
"Калининградская область","169632","198551","220840","230704","251772"
"Ленинградская область","192996","260129","291946","319831","358614"
"Мурманская область","66646","80487","89924","97888","105597"
"Новгородская область","67438","80748","86569","95010","105730"
"Псковская область","73900","82907","91621","94215","103028"
"г. Санкт-Петербург","1224538","1563610","1782310","1922249","2134737"
"Южный федеральный округ","","2343262","2600689","","3330022"
"Республика Адыгея","44485","52948","55760","63740","72081"
"Республика Калмыкия","19094","19802","26807","37731","62672"
"Республика Крым","242596","285654","314624","341009","385493"
"Краснодарский край","754355","884461","1009204","1159179","1327846"
"Астраханская область","95555","102813","112463","129959","147728"
"Волгоградская область","241534","288982","310124","339948","376633"
"Ростовская область","530143","632175","687279","762058","856545"
"г. Севастополь","63899","76427","84428","92809","101024"
"Северо-Кавказский федеральный округ","","573680","710462","","1260890"
"Республика Дагестан","70792","85858","130375","305936","369390"
"Республика Ингушетия","7700","7626","13763","19311","26411"
"Кабардино-Балкарская Республика","42627","45513","58702","102085","118174"
"Карачаево-Черкесская Республика","26342","29116","35317","46002","52858"
"Республика Северная Осетия - Алания","36970","41593","53076","69390","85576"
"Чеченская Республика","23902","31219","59497","138245","168091"
"Ставропольский край","295037","332755","359732","399321","440390"
"Приволжский федеральный округ","3683493","4297616","4688761","","5600072"
"Республика Башкортостан","410053","472590","513111","566210","633414"
"Республика Марий Эл","77571","87881","92484","98817","107831"
"Республика Мордовия","82317","89905","93414","99976","115868"
"Республика Татарстан","552209","687619","772754","828963","916215"
"Удмуртская Республика","204386","243901","269918","285330","324340"
"Чувашская Республика","152471","171440","184578","196953","219907"
"Пермский край","348909","401863","439460","480252","528320"
"Кировская область","169566","193909","203706","216142","229695"
"Нижегородская область","468640","549647","585900","627397","687274"
"Оренбургская область","191004","214170","239516","261035","292857"
"Пензенская область","156577","182065","192102","210304","227417"
"Самарская область","449625","530610","590919","645490","709926"
"Саратовская область","272471","302728","326491","351027","385411"
"Ульяновская область","147694","169288","184408","202181","221598"
"Уральский федеральный округ","1619420","1895550","2076414","","2538343"
"Курганская область","78108","85899","92553","103173","114975"
"Свердловская область","639818","754643","829609","903587","1009470"
"Тюменская область","218032","262330","294340","322230","366632"
"Ханты-Мансийский авт. округ - Югра","196420","223701","242999","264910","289382"
"Ямало-Ненецкий авт. округ","55373","69562","73213","78849","84746"
"Челябинская область","431669","499415","543700","599961","673138"
"Сибирский федеральный округ","","2370461","2614196","","3168391"
"Республика Алтай","24551","28273","33190","35634","40061"
"Республика Тыва","14865","15833","20133","26988","33771"
"Республика Хакасия","51512","57922","64273","74141","79809"
"Алтайский край","264336","297307","318002","352789","392503"
"Красноярский край","331969","401798","443970","493712","547307"
"Иркутская область","274193","312410","351096","382106","421784"
"Кемеровская область","244978","273652","300364","328872","360732"
"Новосибирская область","469755","568423","628398","679568","744590"
"Омская область","220499","256974","281940","308906","344350"
"Томская область","135859","157869","172830","188154","203485"
"Дальневосточный федеральный округ","","1070065","1174450","","1371164"
"Республика Бурятия","76832","87203","95387","104637","120682"
"Республика Саха (Якутия)","87154","96605","116614","123160","137923"
"Забайкальский край","84825","94421","104237","113928","132277"
"Камчатский край","43175","48465","53748","56853","62695"
"Приморский край","273526","304882","328449","348276","381853"
"Хабаровский край","169922","191867","215873","223102","243150"
"Амурская область","93216","106940","113386","123480","132961"
"Магаданская область","23411","27085","28317","30249","31411"
"Сахалинская область","81495","93460","97661","101714","103913"
"Еврейская авт. область","13846","13331","14416","15792","17406"
"Чукотский авт. округ","4226","5806","6362","7325","6893"
