"region","2018","2019","2020","2021","2022"
"Российская Федерация","482.2","470","521.6","560","491.4"
"Центральный федеральный округ","446.7","435.2","496.4","543.2","454"
"Белгородская область","422.5","415.8","472.6","507.6","459.1"
"Брянская область","577.9","567.3","626.5","692.2","586.6"
"Владимирская область","593.9","562.3","648.3","701.1","616.7"
"Воронежская область","474.5","474.5","526.4","605.6","518.9"
"Ивановская область","584.4","562.6","601.1","650.5","613.4"
"Калужская область","563.9","557.2","610.6","649.2","522.8"
"Костромская область","531.9","512.7","551.8","655.9","673.9"
"Курская область","535.6","535.4","595.7","646.3","533"
"Липецкая область","527.3","479.7","587.4","672.1","539.9"
"Московская область","439.7","434.3","507.9","541.2","435.8"
"Орловская область","562.4","507.9","616.9","629.1","576"
"Рязанская область","500.9","493.2","573","656.8","524.4"
"Смоленская область","589.7","563.4","638.8","704.1","642.3"
"Тамбовская область","509.8","495.3","554.3","603.4","538.7"
"Тверская область","634.2","598.4","663","742.9","659.4"
"Тульская область","571.1","559.6","632.8","667.4","574.5"
"Ярославская область","536.7","506.8","587.2","651.8","570.9"
"г. Москва","317.4","313.5","358","394.5","316.5"
"Северо-Западный федеральный округ","489","476.5","528.7","572.4","483.9"
"Республика Карелия","677.8","618.7","712.3","790.1","745.3"
"Республика Коми","607.7","608.3","624","691.5","673.5"
"Архангельская область","569.3","561.4","596.2","629.6","608.3"
"Ненецкий авт. округ","528.9","578.3","599.5","514.1","572.4"
"Архангельская область без авт. округа","570.9","560.7","596.1","634.5","610"
"Вологодская область","567.2","548.2","599.4","646.4","557.9"
"Калининградская область","476.4","439.4","444.1","499.9","442.5"
"Ленинградская область","525.2","511.1","564.9","591.3","464.7"
"Мурманская область","547.8","556.2","637.8","670.4","661.5"
"Новгородская область","652.6","659.5","692.6","739.5","607.4"
"Псковская область","654.9","624.6","696.5","736.9","721"
"г. Санкт-Петербург","364.5","358.3","419.4","462.9","362.1"
"Южный федеральный округ","445.9","441.4","483.3","536.9","475.8"
"Республика Адыгея","442.5","399.2","421.8","477.6","395.9"
"Республика Калмыкия","399.3","401.3","408.9","466.1","419"
"Республика Крым","537.1","513.8","557.6","604.8","522"
"Краснодарский край","417.2","436.6","484.7","536.6","460.6"
"Астраханская область","417.8","422","467.9","528.5","483.7"
"Волгоградская область","457.6","438.2","491.3","541.2","462.6"
"Ростовская область","444.5","428.7","465.7","529.5","505.7"
"г. Севастополь","468.7","452.1","430.2","448.6","401.4"
"Северо-Кавказский федеральный округ","256.2","244.1","283.8","289.6","261.7"
"Республика Дагестан","166.5","159.1","192.1","189.9","180.4"
"Республика Ингушетия","142.4","142","174.7","159.6","149.3"
"Кабардино-Балкарская Республика","283.9","280.4","335.3","332.7","295.6"
"Карачаево-Черкесская Республика","327.2","315.5","332.4","358.4","326"
"Республика Северная Осетия - Алания","370.3","342.5","393.7","412.8","350.6"
"Чеченская Республика","166.1","164.6","215.3","195.7","197.3"
"Ставропольский край","378.6","357.9","398.4","430.2","369.2"
"Приволжский федеральный округ","518.8","502.1","564.3","601.6","529.4"
"Республика Башкортостан","553.1","511.7","580.5","592.2","505.5"
"Республика Марий Эл","543.5","510.2","564.5","626.8","561.7"
"Республика Мордовия","448.9","436.1","511.1","574","486.4"
"Республика Татарстан","409.2","392.7","452.8","480.5","399.8"
"Удмуртская Республика","520.2","505.4","551.2","582","547.8"
"Чувашская Республика","520.6","506.3","589.5","617.3","562.8"
"Пермский край","609.4","581.8","632.4","664.9","599.7"
"Кировская область","528.8","508.4","544.2","593.1","574"
"Нижегородская область","542.7","529.7","605.6","639.8","567.3"
"Оренбургская область","571.5","546.5","615.2","657.6","597.3"
"Пензенская область","479.6","486.8","549.5","601.7","539.2"
"Самарская область","530.7","523.9","586.2","622.9","551.3"
