"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель"
"Российская Федерация","32660","33873","35501","36497","37270","38447","35888","35405","35843","35749","36195","47553.7","34422","35497","37899","39225","39679","41454","38073.2","37099","38047","38333","38848","51197","39017","40443","42364","43381","44076","45848","42413","41364","41774","42332","42595","55569","42263","43062","46324","48030","47926.2","49348","46509","44961","45541","46549","46285","62239","46674","47257","50948","49306","50747","52123","50145.1","47649","49259","49539","49274.3","69278","49516","51229","55208","56614","56171","58782","55170","52355","54687","54649","55639","77994","55717","57344","66757","62269","62457","66572","62200","59907","61879","62470","63060","88468","63260","65094","71334","71204","72851","76604","71419","69439","70922","73830","73383","103815","75034","78432","87740","83875"
"Центральный федеральный округ","39738","42796","44961","46978","45541","47872","44955","44593","44342","44439","44991","61182.7","41132","43785","47066","49698","47129","51468","46971.7","45494","46593","47139","47866","65683","47453","51279","53771","56192","53567","58177","52985","51383","51529","52715","52642","71662","52945","54940","60220","63711","58602","62400","59236","56709","57137","58523","58059","82267","58790","60058","66678","63943","61580","64942","64553.2","60047","61712","62683","62634.6","93504","62060","66414","73322","74774","69934","73177","71383","66354","68698","69335","70272","105706","70061","74511","91198","79563","76666","83083","77381","74173","76851","77421","77901","116778","77985","81352","92906","91288","88100","95180","88478","85619","87732","92822","90853","139516","93297","99489","116440","107159"
"Белгородская область","24434","24509","26211","26134","26375","27292","27670","27103","26669","26836","26720","32471.6","27550","26693","28213","28062","28444","29732","29299","28578","29075","29332","28758","35191","29298","29456","30092","31478","31179","31947","32422","31603","30910","31823","31163","37577","31858","30680","32927","33617","33899.1","34149","35196","34049","33949","35324","34085","42109","35591","34485","36199","35970","36109","37516","38915.8","36674","36501","37601","36864","45945","37802","36393","39487","40281","39731","41620","42959","40322","40651","42444","41878","52616","43840","42169","47559","46407","46133","47677","48266","47313","45587","47737","47482","60042","48681","47326","51415","50894","52707","54581","55034","54391","52906","56285","56081","69352","60668","57500","62808","61818"
"Брянская область","20909","20921","21677","21797","24306","24490","22465","22701","22689","22481","22661","27209.8","22635","22548","23202","23591","25192","26351","23864.7","24042","24244","23990","24459","28817","24556","25261","25773","26218","29552","29210","26892","27095","26485","26892","27403","32255","26826","26752","27730","29056","32207.1","31328","29354","29262","29258","29285","29844","35188","29470","29796","30498","31636","32606","32489","32183.8","31226","31681","31402","31579.1","38487","31238","31510","33006","34578","37008","38016","35233","34398","35295","35930","35913","44808","36025","34942","38681","40238","40354","42622","39574","39434","39363","41936","42405","52951","42457","41656","44948","44696","49269","50697","46836","46094","46705","48867","48982","62503","50349","50835","53997","54144"
"Владимирская область","23084","23341","24622","24595","25553","27588","25042","25582","26161","26897","26020","30852.2","24681","25356","26488","27155","27799","29618","27443.5","27595","27881","27591","28094","34387","27939","28165","29544","29425","31177","33806","31565","31511","31432","31423","31647","38009","31220","29984","30957","31668","32635.8","34235","31299","31081","31292","31885","32206","39906","32283","32168","33768","32314","34326","35104","33994.4","32390","32694","34611","33853.5","43013","33808","34570","36406","37154","37455","39754","37410","36360","37431","37083","37576","47486","37394","39290","43716","43592","44188","48068","44136","44196","44551","45371","46270","57641","45524","46232","49002","49185","51038","54102","51087","51143","51388","52973","53673","66781","54863","56327","58976","59976"
"Воронежская область","23704","24285","25486","26397","26668","28224","26623","26513","26375","26671","27395","32754.7","25337","25419","27256","28035","28144","29438","28207.2","27626","27940","28686","29328","34644","27971","29019","29661","31559","31015","32823","31283","30613","30525","31238","31286","38213","30414","30767","32715","33633","32905.6","34588","33562","31901","32210","33704","33366","40634","32755","33788","35032","34177","36550","37410","36961.3","34731","35745","36344","35878.8","46193","35021","36539","39365","40726","40289","42658","41372","38622","39992","40105","41115","52962","40535","40422","45467","45424","45142","48635","45056","44130","45831","46644","46979","58053","47314","47265","50105","51750","52756","56521","51909","51260","52003","53991","54121","71141","55793","56371","59620","60960"
"Ивановская область","19971","20531","21107","21490","22364","23857","21663","20975","21494","21823","22279","27911.3","20475","20833","22107","22066","23239","25486","22764.3","21817","23181","22939","23167","29994","23300","23488","24581","24353","25712","27860","25033","24941","25109","25364","26053","32361","24711","24875","26449","26455","27158.9","28976","26417","26166","26531","27175","27191","35321","26416","26535","27907","26770","28626","29015","27981.1","26115","27392","27465","26924.8","36932","27241","27809","29288","30102","31116","35159","30724","30379","31572","31723","32623","44832","30883","31363","35286","34964","35232","39364","35002","34269","35060","36083","36544","49621","36253","36243","39369","39741","40736","45055","39039","39546","39781","43143","43162","59584","42820","43856","46488","46680"
"Калужская область","28515","29040","30467","30878","31580","32312","31772","31248","30697","31149","32237","38120.8","30281","30820","32259","32690","33191","35017","33582.9","33545","33840","33874","35055","42472","34182","34436","37353","36773","37350","39068","37416","36357","36764","37687","38005","47151","37274","36868","39578","40955","40334.7","43648","40315","39109","40427","41051","41119","51969","40333","39867","42283","40645","43969","44158","45363.1","40492","42596","43818","43632.1","55422","43941","42958","46762","47383","47419","50547","47837","44388","46839","47950","47736","60483","48432","46983","53150","52000","51426","54751","52659","49193","50672","53126","53439","65922","52950","52794","57286","57246","58853","62552","59430","57406","58314","61701","61268","79187","62404","63099","67426","69933"
"Костромская область","20861","21521","21859","22814","22946","22870","23139","22912","22565","22740","23016","28269","22282","22179","22958","24458","23730","24431","24229.9","23866","23644","24350","24673","30533","25459","26823","26242","27323","26769","29792","27816","27077","27399","26731","27948","33880","28483","26415","32675","33489","30133.8","32220","28527","27968","29709","29927","30395","37851","29871","29882","32049","28995","30786","31461","31760.8","30179","31314","31959","31008.2","43625","30871","31809","33672","34404","34991","37557","33912","33749","35875","34054","35388","43586","33952","34660","39511","39353","38883","41777","38909","37616","37702","39511","40285","51551","39412","40178","43458","44334","44249","48506","44241","43504","43986","46733","46116","63286","47489","48272","53154","54150"
"Курская область","22556","23341","23724","25442","24924","25868","25889","25117","25076","25051","25084","31641.4","24478","24765","25375","27293","27126","28468","26537.9","26308","27051","27333","27556","34474","27684","28228","28002","29871","30324","31595","28767","29124","28913","30030","30125","36428","30361","29600","30119","32575","32089","33601","31707","32236","32492","33048","32831","41057","34384","32266","33112","34133","36237","36662","36085.2","34354","35290","36513","35113.7","46617","35669","34840","36594","40161","40111","42550","39067","38103","39463","40357","40713","54849","39909","38698","43668","44574","45417","48600","43544","44339","44925","46576","46794","64068","46510","45936","48877","50940","52640","55228","50335","50489","52265","53746","54032","74847","57196","55541","59250","61544"
