"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Российская Федерация","17464172","21495236","26333272","32173286","34873724","41493568","47489496","60391456","74441096","82302968","93185616","108001248","121268912","133521528","147429664","160725264","183403696","194649472","210940528","349731104","362191648","400243392","427401344"
"Центральный федеральный округ","4358855","5199581","6296105","8304173","9280004","11481926","13199939","18409504","25151424","26832796","30674304","34970824","38981428","43531552","47270684","50049196","58400592","60640168","66768644","126397352","128407384","137480800","151901392"
"Белгородская область","154391","173840","214329","247369","264218","295272","332176","425857","507024","586006","671563","797428","921456","1035534","1152400","1289717","1400837","1501847","1564553","2858983","2928570","3061945","3333178"
"Брянская область","123603","136129","158390","191104","203623","218523","234250","311385","327029","350832","384939","431052","468273","518609","571616","627396","733055","794829","841645","1812903","1855052","1899020","1949872"
"Владимирская область","135800","142385","183274","221794","219687","219803","254161","290393","328569","369170","421136","506112","550984","585987","649970","705136","787525","842074","921603","2000453","1993876","2131382","2185466"
"Воронежская область","235504","266997","313132","375790","395404","428766","469878","562523","674657","738634","788059","1019463","1078383","1158136","1233526","1401937","1534644","1841669","2017212","4042520","4156859","4196569","4347296"
"Ивановская область","84587","92689","106561","131905","144334","146922","160051","207383","260005","300365","350925","564135","468173","483179","516607","536739","553289","550729","569118","1143074","1179149","1220062","1243280"
"Калужская область","110400","115358","131045","179030","187474","202519","219137","281488","323872","383147","449711","513811","559089","665178","722223","834822","912722","989602","1096796","2297839","2397479","2577442","2656469"
"Костромская область","90668","98339","118361","159813","176457","189028","209665","242020","263477","279921","295091","312406","323157","345022","360520","377650","419515","436507","452611","925743","935304","978157","1007394"
"Курская область","137988","148962","206046","249278","246170","259718","290680","327734","360692","399626","435966","494722","541986","607109","664050","705845","805024","878321","938417","1595064","1639398","1832522","2309299"
"Липецкая область","139471","174366","208488","256852","279807","330185","364208","453206","524693","579269","635096","717970","770538","879524","997633","1066160","1178985","1268311","1354811","2108045","2144115","2446218","2524563"
"Московская область","685595","811641","1007563","1282486","1431287","1762773","2143837","2932730","3459831","3939219","4442527","5012245","5109551","5538512","6072686","6635124","7237874","8044098","8981281","23768046","27739726","29955256","31698824"
"Орловская область","71243","82571","104635","119397","124752","135776","154206","187520","218125","237728","258382","298079","319948","349432","394020","427523","472195","496312","522013","1112729","1093472","1164682","1199597"
"Рязанская область","122622","148106","187267","241753","245709","289479","346379","402878","477383","525645","577233","673713","609793","671471","748637","807575","927211","1010570","1118681","2268460","2286316","2411346","2615973"
"Смоленская область","138150","157110","193051","215980","245734","276228","309351","373569","418597","440985","477280","543205","598129","635456","715711","764441","829388","857817","925280","1063572","1520329","1627394","1659240"
"Тамбовская область","127462","158862","162004","201944","212086","243714","269738","340731","391686","418694","467691","521673","560953","622355","709051","739324","798260","844454","891585","1567697","1577441","1659969","1802885"
"Тверская область","188672","209654","240683","306629","339189","368001","429239","537076","589581","663770","729864","825225","960495","1008414","988296","1029363","1212653","1250215","1333698","2627014","2889869","2904486","2957433"
"Тульская область","168150","197921","232726","266508","274181","287642","335199","377757","431106","492051","562328","635993","699627","765072","858386","946661","1033088","1116603","1243801","2577947","2645859","2809095","3040754"
"Ярославская область","199812","243393","272638","359037","384339","480593","535264","648365","717989","770917","821370","934472","994998","1115615","1024943","1075784","1226233","1311286","1393220","2597524","2685041","2883943","2972488"
"г. Москва","1444737","1841258","2255912","3297504","3905553","5346984","6142520","9506888","14877108","15356818","17905142","20169118","23445896","26546944","28890410","30078000","36338092","36604924","40602320","70029736","66739528","71721304","82397384"
"Северо-Западный федеральный округ","1789585","2083416","2629404","3417342","3663691","4134214","4976071","6244131","7196426","8041564","9107642","10905713","12675792","14411740","16021207","17400366","20330096","21841648","23715832","44045868","46317860","50239792","53189300"
"Республика Карелия","103488","123308","148241","174757","198482","214925","243546","296563","323513","347961","393841","408974","443696","485437","521336","550036","675940","700701","744483","1187787","1168867","1234335","1306307"
"Республика Коми","227521","307401","386680","445128","472593","578010","727893","843245","994739","1084970","1245540","1365693","1717183","1937731","2387770","2604880","3051661","3207276","3359325","4141376","4239828","4669354","4733964"
"Архангельская область","222595","205633","271575","394995","402806","452384","541730","684202","846044","968119","1068113","1161604","1259415","1399524","1508181","1621368","1957337","2174492","2337567","3366913","3475903","3671192","3956434"
"Ненецкий авт. округ","17761","19456","23169","29997","34435","56407","76978","103611","214738","271344","317535","347152","409702","433177","483967","551986","755231","887421","944823","1079392","1132844","1108025","1180082"
"Архангельская область без авт. округа","","","","","","","","","","696775","750578","814452","849713","966347","1024214","1069382","1202106","1287071","1392744","2287521","2343059","2563167","2776352"
"Вологодская область","162550","186999","252460","332752","344991","400094","478439","674525","723043","757254","828642","1018443","1144210","1236470","1347451","1403785","1549344","1712354","1837512","2824173","3050642","3356246","3501834"
"Калининградская область","80300","89251","102325","136207","142772","178685","195805","251225","303919","346298","398091","447257","506873","582994","592394","613338","756096","846685","1038055","2114704","2247224","2310502","2548147"
"Ленинградская область","238689","283083","345419","432513","485920","546302","611268","803905","917978","1046094","1210457","1506817","1919269","2275653","2449066","2670754","2923887","3060457","3433453","5112820","5544048","6531334","7157347"
"Мурманская область","154603","187777","214701","291420","311729","344444","406705","538057","623548","684809","799454","1163343","1298653","1432787","1563764","1814839","1891317","1970650","2043500","2541482","2708989","3113495","3372956"
"Новгородская область","71251","77150","111122","139631","148288","162501","186183","223291","247086","263359","284453","316982","364604","393450","458879","494468","608528","617821","684936","1334055","1366977","1456435","1495241"
"Псковская область","80780","90537","111128","122694","129423","144880","164095","188943","211020","228645","243124","272812","294598","318266","322068","337713","369971","387327","420048","818053","835721","867682","901839"
"г. Санкт-Петербург","447808","532277","685753","947245","1026687","1111989","1420407","1740175","2005536","2314055","2635927","3243788","3727291","4349428","4870298","5289185","6546014","7163885","7816952","20604504","21679662","23029216","24215232"
"Южный федеральный округ","1256163","1495386","1767548","2138153","2341881","2752590","3001054","3813016","4526183","5062626","5706003","6548818","7222089","8347529","10498325","12418091","14201426","15326866","16320058","30097326","29630016","33653472","35095900"
"Республика Адыгея","49258","50819","50317","50972","52581","51313","58091","74408","93766","101212","109480","118216","136241","159192","161605","169377","183383","202111","223255","459080","502126","526986","551271"
"Республика Калмыкия","24220","28812","34613","40427","41465","58485","61232","98472","106663","114144","119600","113426","113022","124357","151392","175274","195857","203657","226959","333220","372535","351743","350542"
"Республика Крым","","","","","","","","","","","","","","","1233700","2033676","2055242","2212391","2241915","2839003","2758289","3797690","4126043"
"Краснодарский край","516894","576533","666157","780300","896631","1079840","1114617","1385585","1645865","1870428","2139060","2471453","2821779","3639608","4208926","4770758","5481558","5937791","6260527","13982416","13020366","13970321","14670743"
"Астраханская область","110982","158920","177818","215272","230042","275408","315059","367910","466376","529737","623538","747640","808160","850132","912745","1053750","1357230","1498692","1653054","2071002","2163641","2211405","2344974"
"Волгоградская область","227818","279884","360671","450274","471854","540678","621663","879288","1047580","1115884","1200283","1346669","1462441","1570668","1735392","1818202","2069566","2180917","2326149","2620585","2830578","4346720","4376762"
"Ростовская область","326991","400418","477972","600908","649308","746866","830392","1007353","1165933","1331221","1514042","1751414","1880446","2003572","2085372","2355619","2583782","2786870","3049823","6831010","7018721","7460101","7658598"
"г. Севастополь","","","","","","","","","","","","","","","9193","41435","274808","304437","338376","961010","963759","988508","1016967"
"Северо-Кавказский федеральный округ","538669","624186","735870","853445","902083","1053567","1139523","1573198","1824682","2058011","2317317","2637978","2933644","3272961","3601090","4032053","4515820","4816874","5220064","7170763","7645327","7850621","8178855"
"Республика Дагестан","176853","188752","228062","242053","256898","312331","339844","431688","525036","610455","702603","821966","877939","985711","1213120","1355843","1570561","1627996","1762966","1825758","2033594","1679049","1739507"
