"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Российская Федерация","2047261","5150586","8766434","14748846.9","2243681.1","5636531","9571012.3","16027302","2451190.3","6208495","10772630.6","17782012.3","2697072.2","6752690.5","11709051.6","19329038.3","2986759.7","7111774.7","12092721.1","20393742.4","3240867.1","8048260.2","13788468.8","23239504","4175040","10053476.1","16865731.6","28413875","4691760.6","11780100.2","20286290.8","34036338.4","5932813.4"
"Центральный федеральный округ","467727.5","1268088.8","2164409.9","3795422.2","547312.3","1385400","2369402.5","4241519.1","644478.5","1684770.6","2952907","4998017.7","745390.4","1956597.4","3541088","6093361.9","847838","2098957.7","3668551.3","6582672.7","995957.1","2578569.6","4516562.4","7952979.4","1317049.8","3270107","5541119.3","9571467.7","1384012.7","3645342.7","6235257","10731311.7","1724643.1"
"Белгородская область","27458.8","59352.5","102114.1","143791.8","20662","51013.8","92337.8","142692.8","18837.2","48303.9","84632.8","134551.3","21366.5","55085.6","95481.7","167093","30881.3","66344","112666","169508.1","25822.2","62783.3","104301.3","168772.4","32763.7","76382.7","126120.4","196747.6","32963.5","79525.9","136217.3","212209.9","41092.1"
"Брянская область","9277.8","27339","42417.4","68194.6","12841.3","24495.6","37475.5","55120.9","5771.8","21743.8","34769","58918.3","7499.3","19892.1","37369.2","63553","9480.4","30698.6","50562.3","75241.6","11301.9","33236","51905.1","83717.9","15009","39205.4","61400.6","90963.8","9800.6","31484.6","55919.1","94135.5","15385.3"
"Владимирская область","10603","27553.2","46870.8","70716.7","10015.9","23250.8","46114.2","78526.9","8895.2","28132.9","43538.9","73502","9451","28175.1","50875.4","90060.5","10672","31825.5","57076.3","95285.9","11157.5","28456.8","48110.4","102361.1","24141.1","62656.2","122179.6","184392.1","25704","79089.8","132668.2","181730.8","24729.5"
"Воронежская область","34341","93885.2","161347.9","270992.1","27514.3","79422.6","148917.4","283652.3","28149.1","99836.5","145976.6","276785.3","29876.8","85447.6","153865.4","298767.8","31109.6","75703","132454.1","259172.5","34172.7","77437.3","141479.1","285010.2","34071.3","86380.4","140068.5","344142.9","35326.5","98518","159675.9","374135.2","42604.4"
"Ивановская область","3658.3","7174.8","11731.2","23287","3792.6","9314.6","17354.9","30314.9","2877.3","9248.3","16382.8","29359.8","3523.1","9782.1","18739.6","37419.5","4707.6","12657.1","23093.7","44387.9","3991.1","10748.7","21134.5","45269.2","6849","18056.5","31380.9","62133.2","7945.6","21740.5","35862.5","67501.8","10966.8"
"Калужская область","12577.2","35584.7","56147.6","84444.6","11752","28756.8","49322.9","89030.4","7746.7","25701","49488","91138.2","14886.7","34719.5","59110.5","110157.5","14917.8","43519.5","71672.6","112163.7","16043.6","42562","73323.4","132592","22426.4","53478.3","94162.1","143758.9","17721.6","44145.2","75070.8","125725.4","20204.4"
"Костромская область","3598.8","9761.4","16198.2","26429.6","3459.4","7632.4","13101","21639","2102.1","5568.3","10546","22313.5","2530.9","7039.1","13033.6","26009","4061.1","8604.9","15477.5","28311.3","8047.1","17088.7","29701.8","45063.1","6015","14771","22232.6","37933.4","7104.4","17255.7","27372.5","47900.2","7883.1"
"Курская область","13786.5","34612.3","55869.6","93658.5","12006.5","29865","49438.6","100895.1","11592","38760.8","69431.4","120735.2","17204.9","43323.3","83070.9","142668.9","18100.3","46323.7","83536.2","136892.8","33133.3","68985.1","107162.5","193789.8","33723.5","74552.5","124524.6","203145.3","38205.7","82939.8","137764.5","231242.9","49168.7"
