"","2018","2019","2020"
"Российская Федерация","58404.6","50551.4","42521"
"Белгородская область","650.6","607.6","488.9"
"Брянская область","301.3","271.9","245.8"
"Владимирская область","420.1","389.2","347.2"
"Воронежская область","1008.9","895.3","740.2"
"Ивановская область","313.1","279.1","238.7"
"Калужская область","317.7","292.7","288.4"
"Костромская область","252.8","203.5","214.4"
"Курская область","757.4","810.3","570.8"
"Липецкая область","393.2","357.4","305.7"
"Московская область","4203","3587.8","3373.4"
"Орловская область","255.1","219","182.3"
"Рязанская область","539.2","455.2","386.4"
"Смоленская область","274.2","233.8","192.7"
"Тамбовская область","276.8","239.3","224.5"
"Тверская область","499.4","434.6","369.1"
"Тульская область","518.7","448.7","399.6"
"Ярославская область","592.6","513.5","485.5"
"г. Москва","6452.9","5067.6","4257.4"
"Республика Карелия","257.6","196","177.4"
"Республика Коми","390.9","347.7","279.6"
"Архангельская область","474.9","379.8","346.1"
"Вологодская область","484.7","419","393.7"
"Калининградская область","481.2","434.2","335.3"
"Ленинградская область","435.7","443.3","466.8"
"Мурманская область","316.8","269","196.8"
"Новгородская область","222.2","200.8","175.3"
"Псковская область","187.7","156.1","173.3"
"Ненецкий авт. округ","11.7","11.7","6.9"
"г. Санкт-Петербург","4227.5","3337.3","2508.9"
"Республика Адыгея","64.7","51.7","66.7"
"Республика Калмыкия","25.3","29.8","25.4"
"Республика Крым","611.8","589.5","491.5"
"Краснодарский край","2480.3","2131.5","1296.9"
"Астраханская область","318.1","272.6","239.4"
"Волгоградская область","738.5","650.6","539.8"
"Ростовская область","1494","1342.6","1154.4"
"г. Севастополь","251.4","237.8","170.5"
"Республика Дагестан","118.4","140.6","120.8"
"Республика Ингушетия","9.8","6.8","3.6"
"Кабардино-Балкарская Республика","71.4","90.9","54.9"
"Карачаево-Черкесская Республика","41.9","46.2","38.6"
"Республика Северная Осетия - Алания","135.5","100.3","97.8"
"Чеченская Республика","27.7","27.9","10.3"
"Ставропольский край","885.9","786.3","634.5"
"Республика Башкортостан","1377.9","1268.4","1036.7"
"Республика Марий Эл","245","221","184"
"Республика Мордовия","276","226.3","198.2"
"Республика Татарстан","1549.2","1337.5","1204.1"
"Удмуртская Республика","633.7","529.7","421.3"
"Чувашская Республика","481.2","416.1","355.6"
"Пермский край","838.5","661.6","590.1"
"Кировская область","461.1","399.2","341.5"
"Нижегородская область","1370.6","1133.3","1032.6"
"Оренбургская область","777.3","676.7","562.3"
"Пензенская область","527.7","421.1","366.1"
"Самарская область","1235.9","1019.8","948.9"
"Саратовская область","872.1","808.7","699.8"
"Ульяновская область","421.1","338","291.2"
"Курганская область","174.1","166.6","154.5"
"Свердловская область","2034.5","1733.4","1489.3"
"Тюменская область","741.6","728.8","561.9"
"Челябинская область","1466.2","1255.1","1125.2"
"Ханты-Мансийский авт. округ - Югра","816.3","714.7","582.9"
"Ямало-Ненецкий авт. округ","170.7","188.8","140.3"
"Республика Алтай","26.6","37.9","28.4"
"Республика Тыва","253","12.6","7.7"
"Республика Хакасия","9.1","110.1","83.2"
"Алтайский край","126","681.2","574.9"
"Красноярский край","739.3","962.5","825.3"
"Иркутская область","242.6","771.4","735.8"
"Кемеровская область","1101.3","794.6","590.1"
"Новосибирская область","836.6","1010.6","791.8"
"Омская область","683.8","988.5","776.8"
"Томская область","1169.6","355.8","301.4"
"Республика Бурятия","1207.4","225","180.5"
"Республика Саха (Якутия)","393.8","352.8","219.4"
"Забайкальский край","296.8","222.9","210.4"
"Камчатский край","157.3","145.1","110"
"Приморский край","783.2","619","595.2"
"Хабаровский край","628","549.6","478.4"
"Амурская область","198.8","187.1","178.5"
"Магаданская область","61.4","64.1","46.9"
"Сахалинская область","181.7","165.8","144.6"
"Чукотский авт. округ","16.4","14.7","13.3"
"Еврейская авт. область","28.6","28.8","25.8"
