"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Российская Федерация","742424.4","918246","968152.6","1076350.5","1253237.1","1380961","1570553.8","1861006.2","2354515.5","2390105","2462187","3098742.8","3160307","3458286.2","4031064","4794615","5112356.5","5109475","5348803","5801410","6468834","7672903","8563466"
"Центральный федеральный округ","169086.5","199352.6","213849.2","238949","260334.4","292951.6","325484","408197","516545.9","543707","557811.3","735751.9","808705.6","875466.5","1043397","1265435.1","1307143.8","1302579","1467970","1582777","1810427","2142188","2293780"
"Белгородская область","15109.2","19480.1","19612.5","22927","26435.3","32690.6","39067.6","55937.9","78371.6","88939.6","97736","134120.6","148430.9","154166.2","186770.7","218384.9","226058.1","227268.9","257038","265693","288879","342101","349344"
"Брянская область","9308.3","10287.9","11821.1","11846","12548","13494.2","14295.4","16615.8","20827.9","22820.4","25998.8","32010.1","34746.9","41579.8","53867.8","71058.5","78392.9","84470","85146","91846","97286","118138","133652"
"Владимирская область","7201.9","7770.5","9077.4","10722.8","11039.6","12530.5","13347.4","15328.4","18018.9","18385.6","17078.3","21889.1","23247.9","23874","27781.4","31297.4","30833.3","28911.4","29651","30620","32877","37906","42974"
"Воронежская область","18073.4","22058.6","23226","28818.8","29283.6","31668.5","35947.4","52076","67376.5","73248.8","67935.5","99248.9","123891.8","144942.4","158526.2","193057.8","199308","193876.1","219151","221944","262330","319446","342108"
"Ивановская область","4205.7","4666.5","4807","5442.1","6006.4","6334.8","6970.5","8245.5","8619.9","9117.3","9939.2","12362.2","12372.4","12492.7","13807.5","14938.9","14951.5","14887.4","16085","17244","19335","22497","23177"
"Калужская область","6216.4","7220","7881.6","8756","9674.8","10942.3","11697.9","14032.1","17775.3","19709.6","20036.4","22572.4","24484.4","24082.3","28031.3","33066.6","33570.7","38538.4","43851","51216","54392","60059","72641"
"Костромская область","5082.7","6379.6","6964","6787.7","7250.8","8082","9139.9","10051.5","11283.8","11382.8","12366.4","13378","13650.1","14131.3","15607.2","17942.5","16782.9","15645.2","15929","16764","18274","19810","20198"
"Курская область","12479.6","14128.4","15224.6","17406.8","19975.4","21924.6","24158.4","30333.9","39650","39786.3","39464.9","54867.6","65944.7","74279.3","92359.4","113841.2","124356.6","130890.9","146703","158870","193342","217405","237778"
"Липецкая область","10015.2","12025","12846.9","15198.4","17753.6","20091.6","24366.6","30891.7","38885.5","36932","34774.5","46508","53945.8","62771.8","78312.1","98051.2","106325.6","101595.7","119304","134786","163683","180340","197126"
"Московская область","23737.3","25395.4","29488.4","32978.2","35351.7","42350.2","45191.2","52317.6","60950.6","66585.4","72869.8","96240.4","79735","74610.9","84737.5","96825.6","98363.8","87545.7","108423","118482","113662","143537","160736"
"Орловская область","9018.9","10605.4","11202.3","12023.9","14066.5","14729.7","14690.6","19167.6","24662.4","24262.2","26543.6","35191.9","38034","41381.9","50564.5","61977.8","68598.2","60456.3","72247","82455","105739","131546","134039"
"Рязанская область","9700.6","10291.2","10830.6","10851.7","12732.2","14543.2","16615.4","18318.4","25799.1","26351.3","25816.7","30131.7","35034.7","37323.5","44245.1","52294.8","50659","51871.5","56895","65647","86014","99765","113831"
"Смоленская область","5535.7","6910.3","7035","7803.8","8921.4","9454.9","9548.1","10525.8","12338.1","12345.4","13320","16953.5","16726.6","18061.5","19272.4","21007.2","21248.9","22820.7","24147","26741","26773","28616","33090"
"Тамбовская область","8797.9","12531.3","13181.4","15706","16278","18450.4","21314.5","26279.3","32915.4","34644.4","33819.2","48285.6","55534.1","66552.5","87298.7","118711.5","108896.2","111331.8","127308","136207","170809","212104","208854"
