"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Российская Федерация","26530.7","30103","30407.2","35992.9","27617","31142","31160.4","37028.9","28848","32320","32536","38868","30074.8","34424.2","35009.1","41480.8","31809.6","33202.2","35122.8","43355.2","32693.9","38308.4","40721.4","47753.7","39950","46141","46165","56942","45397","49810","51665","65470","51839"
"Центральный федеральный округ","35121.6","39338.7","39410.7","44928.4","36363.9","41079.2","39990.7","47605.3","38026.5","42973.3","42375.8","50164.2","40018.9","46587.6","46294","53422.9","41544.5","43646.2","45852.8","58047.3","43056.2","50593","54383","64830.4","54272","60536","61249","74365","60253","66414","69498","89123","67253"
"Белгородская область","24549.9","31214.9","30632","32727.2","27975.8","29953.6","27922.3","35193.6","27995.4","27709.5","29440.8","37625","26452.6","31011.5","32989.4","38922.3","28322.4","30924.5","33757.8","37873","28572","33840","37226","41994","33250","41805","31512","59657","38176","44398","43210","62087","44376"
"Брянская область","19791.3","24456.4","24538.8","27236","22572.9","25091.1","25888.6","26692.2","23165.5","25980.2","27671.5","29583.8","24354.5","27853.7","29756.3","31645.6","25534.6","24306.9","29880.9","34666.7","26457.4","28394.3","33402.3","37822.9","30745","35592","37535","45061","33841","35975","40162","51506","39069"
"Владимирская область","20548.9","22237.8","22393.5","23508.6","21753.5","23709.3","22901","24787","21036.3","23407.2","22651.2","25918","21713.8","25011","24950.6","28614.6","23322.7","24790.4","25245.6","28688.6","24194.5","27268.7","28910.3","31523.7","30037","33372","31521","42876","35821","37606","35729","44413","37694"
"Воронежская область","26589.6","29396.4","28896.3","31969.9","27436.9","29287.1","29274.9","31547.8","27265.5","30033.8","30004.4","33211.6","27181","31404","33331.9","35484","28942.4","29034.8","32003.2","37251.1","30009.5","32602.9","36054.2","40761.1","33291","39099","41280","50333","37612","41789","44524","55492","43336"
"Ивановская область","20961","23471.6","24466.4","27805.4","22983.1","23482.4","24474.6","31006.2","22743.8","24239.7","22757.8","31152.8","23264.5","27232.3","25393.8","31064.1","24701.5","26517.9","25928.6","32228.2","25477.2","29479.3","29259.5","35776","28811","34741","32681","49060","33222","37037","36612","53655","38853"
"Калужская область","25328.4","29040.9","28273.7","29803.9","27008.2","27494.2","25684.3","30943.5","26202.2","27944.5","26136.7","32011.2","27865.8","29401.7","29197.2","33549.3","28894.5","30073.4","31066","33964.6","29632.9","33511.6","34718.7","35916.4","33110","36506","39217","48682","37142","39905","40038","60865","38740"
"Костромская область","22161.6","23019.9","23163.6","26996.9","23299.9","24419.1","24797.7","27139.3","23702.3","25602.3","23289.4","26057","24891.8","27056.7","25410.6","28871.4","25276","26771.4","26943.2","29835.4","25866.7","29853.5","31271.9","34112.5","31691","34984","33470","48211","35348","39234","39886","59216","37215"
"Курская область","21905.2","24907.5","25900.5","29065","23466.3","25272.6","25673.1","29946.7","23611.3","26681.8","27127.6","31627.1","25349.9","28451.7","29092.4","33948.3","26358.4","28779.9","29784.8","34309","26647","31696","33573.1","38757.9","30925","38882","39452","47531","35697","40680","41539","52272","39399"
"Липецкая область","24158.4","27106.1","27285.8","32147.7","25324.7","28245.4","27616.8","33021.9","25421.2","28812.1","29421.1","34525.7","27697.4","31310","32704.6","36153.7","29450.9","29822.4","31543","36413.1","29722.1","32676.8","34935","39955.3","34448","38002","41200","50198","38402","40059","42193","54865","44613"
"Московская область","37712","38153.8","36890.7","43152.7","36098.1","38682.7","38243.9","45788.9","36520.6","40787.7","42071.2","47712.1","37500.7","44738.7","43560.6","50680.2","39396.2","39969.5","41437.5","53187.8","40878.6","48063.8","50119.4","59021.6","47009","58204","56986","61433","52323","64871","63076","80101","59425"
"Орловская область","19277.9","23427.1","23023.6","26220","21860.2","23734.3","23276.5","26845.8","21763","24729.8","24778.8","28135.1","22683.1","25947.8","26503.5","29598.7","23621.7","25020.8","27450.3","31709","24533.5","28181.4","31252","35152.7","31076","33920","35648","42063","38734","45756","51058","51743","39640"
