"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель","2024, май"
"Российская Федерация","2129100.1","4248330.6","6494926.6","8716559.3","10973193.2","13255564.2","15594877.3","18071278.1","20478086.7","22910175.1","25334031.6","28240884.9","2215056.2","4391755.1","6753130.8","9090044.1","11476466.8","13897943","16396385.7","18970494.3","21528936.4","24111490.1","26671234.6","29745535.5","2330355.5","4602161.2","7088542.2","9557173.2","12079740.3","14653044.5","17296963","20040927.3","22760074.1","25504953.8","28267820.4","31579371.6","2507466.8","4962050","7652439.6","10309370.5","13012535.1","15753587.1","18560615.3","21458066.6","24314266.6","27218833.2","30151377.4","33624303.3","2642507.3","5275444.9","8228582.1","10373001.9","12680022.7","15351643.5","18257650.7","21258968.3","24212180.5","27250878.4","30272002.8","33873660.4","2842310.5","5639495","8724249.7","11842538.8","15012092.5","18218788.5","21529092.2","24966248.6","28379876.2","31863431.7","35296193","39472017.6","3266307.2","6566339.9","10340926.9","13730036.3","17156367.6","20596361.3","24120630.1","27732104","31233282.3","34794743.9","38371942","42577015.9","3443616.7","6849476.8","10576077.3","14308858.5","18146099.3","22082248.5","26201248.8","30498398","34687193.2","38973429.9","43182119.7","48155722.4","3997795.4","8075851.1","12511265.2","16861607.9","21317886.2"
"Центральный федеральный округ","733315.9","1455087","2227910.3","2993655.5","3759507.3","4529163.3","5316143.3","6121716.8","6923789.8","7743471.9","8557437.2","9531829.8","759979","1505395.4","2325916.6","3138158.7","3955702.4","4771109.4","5610891.5","6475179.8","7343763.3","8220368.7","9091143.7","10140135.8","812416.3","1592352.3","2460467.6","3328283","4206490.5","5087126.7","5987451.3","6913060.8","7842884.6","8788019.3","9744542.9","10898929.2","875815.7","1725077.4","2673152.2","3608730","4548968","5495420.4","6454852.2","7441372.3","8426658.6","9435353.4","10462784.7","11678620.2","925176.5","1842035.8","2883110.1","3618687.1","4399130.9","5355513.9","6374383.7","7410519.2","8443520","9508018.3","10577175.3","11849562.5","1012422.5","1989878.4","3086623.6","4189928.1","5303205","6428210.5","7578755.4","8767971.4","9964215.3","11192960.6","12394245.3","13874429.6","1135562.5","2301452","3625530.1","4772927.6","5919985.2","7074350.6","8229383.4","9403466.9","10551527.5","11720124.5","12895968.8","14271887.4","1106839.4","2211945.7","3452592.9","4699540.1","5959285.8","7249260.3","8579603.6","9951004.6","11328296.7","12757677.4","14171036.9","15842253.7","1296441.9","2623620.3","4105435.8","5544494.4","7013549.9"
"Белгородская область","22117.5","44455.7","68730.5","93364.4","118263.6","143273.7","168874.2","195047.1","220636.6","246342.1","271761.2","298669.8","23913.8","47309.5","72588.3","98028.1","123873.1","150131.2","177035.4","204501.7","231526.4","258847.4","285699.4","315389.9","26052.7","51538.7","78937.7","105820.4","133705.7","162078.5","191198.8","219827.1","247629.9","276124.5","304995.9","336148.5","27232.3","54482.7","83691.3","112195.8","141699.1","171771.5","202412.3","233525.8","263863.1","294163.8","324481.1","357195.2","28875.2","57348.9","87280.2","115014.2","144281.1","175409.4","206674","238569.6","269372.5","300854.7","332275.3","366330.5","29997.3","59643.8","91605.5","123852.8","156038.2","189171.9","222379.3","256576.7","290379.3","325307.9","359657.9","398209","34643.4","68227.1","105615.2","141583.9","178673.6","215737.4","253203.6","290582.2","326277.8","361908.4","397369","436241.4","34827","68950.3","105322.2","141742.1","178640.9","215686.1","254270.4","293534.1","332401.6","372510.8","411918.2","455761.4","37542.8","76168.7","116247.2","158383.7","200544.9"
"Брянская область","16378.5","32335","49378.9","66717.1","84517.4","102556.3","121191","140465.4","159921.3","179136.3","198258.2","219879.3","16927.3","34023.8","52869.2","72029","91801","112059.3","132584.5","153495.6","174325.3","194154.3","213055","234367.2","18572.1","36300","54702.7","73036.6","92300.9","112625.2","134483.9","157383","180417.2","203736.6","227257.9","253157.2","19652.6","38198","58543","79141.3","100531.8","122402.1","145168.5","168874.5","192889.2","217464.4","242112.2","270154.5","20790.5","40849.7","63149.8","78061.3","93313.5","109972.2","132683.4","158762.4","184084.4","210046.7","236436.8","267971","23006.7","44852.6","68689.2","92711.3","116897.7","141226","166545.6","192941.4","218337.8","245210.2","271189.8","302959.5","25848.2","51852.1","80379.2","105961.5","133069.1","160299.2","187994.8","216347.5","243269.6","270621.8","298363.8","331288.5","27290.6","53682.3","80773.6","107135.5","134342.6","161651.1","190062","219173.8","248756.6","278840.1","308044.3","341646.6","26743.5","54103.8","83447.5","112960.4","144298.8"
"Владимирская область","15289.4","30446.7","46330.5","62582.6","79334.9","96427.6","114000.7","131593.8","148046","164558.3","180890.5","200149.1","15925","31411.4","48415.1","65312","83370.8","101574.4","120381.2","138981.6","156683","174233.2","191563.3","211869.5","16593.5","32621.7","50471.5","68094.9","87075.1","106526.1","126811.9","147015.5","165634.5","184606.7","203788.4","225731.2","17586.2","34398.5","53324.6","71780.1","92083.7","112774.6","133962.1","155513.7","175553.1","195732.1","215997.9","238711.1","18539.4","36603.2","57555.4","75594.9","95005.9","114891.2","136119.2","156824.3","176395.5","196407","216037.4","239913.6","19712.3","39048.5","60482.4","82162.2","105225.3","129100","154015.5","178549.5","201846.8","226012","249167.3","276799.4","22406","44505.7","70433.7","93570.2","118602.5","144508.7","171672.1","198946","224298","250252.7","275682.6","305655.9","24938.5","48768.4","74629","100694","127808.4","155437.8","184152.9","213349.9","241747.8","270493.4","298603.6","331120.5","26984.7","55322.5","85659.4","116067.6","148671.7"
"Воронежская область","37601.4","75555.2","114843.8","154425.6","193983.3","233534","274765","317032.4","358054.4","399061.3","439754.1","487054.2","38726.2","78048.1","119904.8","162202.1","204520.2","247200.4","290898","335632.3","379911.3","424136.9","468072.1","516648.5","40813.2","80593.1","123582.2","167321.9","212957","258900.9","306509.5","355067.3","402782.2","450705.7","498972.9","552288.4","43957.8","86703.6","133911.5","181444.5","229310.5","277895.8","328066.1","379744.1","429259.5","479126.5","529654.5","585880.1","46580.9","94502.2","146402.4","182155.7","223294.7","268897.8","319206.2","371393.7","422040.8","473812.2","525627.6","584320.1","47454.1","95100.8","148285.1","202927","258877.9","315944.7","374646.1","434900.8","493532","553166.5","612667.7","681334.3","54642.2","109356.5","172445.5","230346.1","289874.8","350063.4","411925.4","475846.9","536468.3","597280.4","658461.3","725170.2","56933.4","113395","174668.8","236591.5","299652.1","363973.4","432402.7","503869.4","573624","645086.7","714983","792053.4","65980.1","134118.6","208901.1","281346.8","355926.6"
"Ивановская область","11490.7","22629.2","34620.9","46704.1","58929.5","71160.1","83856.2","96296.9","108424.9","120798.9","133000.5","147372.7","12871.3","25240.7","38557.5","51380.8","64612.8","77940.9","91034.5","104145.5","116899.7","129744.8","142470.8","156904.6","12950.8","25636","39270.8","52577","66253.5","80244.7","94204.5","108176.5","121701.6","135382.6","149055.7","164827.4","12948.4","26102","40712.9","55442.1","70586.4","85629.6","100722.3","115969.6","131092.9","146431.5","161662.1","178634.5","14347.8","28863.5","44610.7","56459.4","69457.6","83432.3","99252","115104.4","130227.1","145834","161142.9","178886.3","15226.3","30477.4","46895.3","63156.2","80297.5","98341.9","115895.9","133428.6","150544.5","168927.9","186714","207733.2","17873.5","35040.8","54608.9","73678.4","93600.4","113839","134707.8","155602.7","176007.9","198453.3","220619.9","245588.9","19385.1","38216.8","58058.5","78167.9","99004.4","120697.5","143540.4","166714.6","189235.2","211486.8","233522.5","258802.5","22181.7","44075.3","67442.1","90484.9","114276.8"
"Калужская область","13681.7","27436","41892.7","56100.4","70907","85941.8","101319.5","116760.1","131748.2","146695.4","161405.3","177419.1","14394.8","28641.3","43498.1","58285.1","73632.8","89207.7","105037.6","120898.6","136607.9","152223.7","168005.2","186001.8","15126.6","29959.4","45783.5","61257","77289.2","93724.4","110579.1","127279.5","144064.8","161155.8","177961.8","197086.7","16741.8","33186","50112.2","66925.8","84498.6","102390.6","120284.7","138283.6","156128.9","173916.1","191938.8","211712.3","16787.9","33713.3","52024.2","67662.1","84018.7","101428.2","119669.4","138430.6","156685","175215.6","193555.8","215053","17738.4","34924.7","53556.4","72164.1","91860.2","111811.9","132511.3","153215.9","173000.3","193315.9","213475.1","237322.4","19633","38823.4","61523.6","82202.4","104159.5","126128.1","148881","171427.4","192561.8","213924","234937.3","259330.9","20396.4","40491.9","62559.5","84863.4","108504.4","131907.7","156654","181681.8","205510.2","229657.5","253447.8","280843.1","23029.4","46181.2","70851.2","95601.1","121474.6"
"Костромская область","7014.2","14049.2","21455.9","28830.7","36367.4","44129.9","52104.1","60075","67839","76031","84336.8","93648.1","7461.8","14892.6","22657.8","30493.1","38466","46570.4","54808","63185.6","71382.7","79644.9","87960.9","97322.6","7945.9","15641.7","23727.2","31786.7","40163.5","48766.2","57511.4","66327.5","74986.7","83475.9","92005.6","101815.8","8670.8","17079.8","25757.4","34540.8","43449.1","52487.7","61679","70974.7","80224.2","89478.6","98783.3","109000.9","8961.1","17725.1","27243.6","34909.2","43119.6","52250.8","61951","71971.6","81956.2","92017.4","102143.6","113302.3","10002.1","19737.9","30093","40687.4","51594.1","62795.1","74381.9","86325.9","98114.1","110143.9","122148.6","135775.2","11613.8","23088","36227.4","48428","61208.7","74234.3","87678.7","101203.6","114410.1","127932.8","141472.9","156203.6","12347.6","24624.5","37611.5","50590.3","64011.9","77815.3","92118.6","106939.6","121620.4","136425.4","151185.3","167706.7","13799.7","27740.4","42471.5","57083.2","72188.8"
"Курская область","14248","28087.5","42782","57653.6","72817.4","88267.1","104265.2","120744.8","137006.7","153829.8","170797.2","189617.7","14723","29298.8","44593","60051.5","76067.5","92173.4","108714.6","125814.7","142624.6","159969.6","177534.7","197188.3","15747.6","31180.4","47712.3","64442.6","81763.9","99249.1","117040.6","135651.3","154002.9","172958.1","192134.1","213277.6","17135.9","33953.3","52079.1","70339.9","89130","108127.3","127307.6","147129","166587.2","186524.3","206650.9","228654.6","18279.7","36223.6","55637.3","72208.7","89871.3","108992.7","128623.4","148320.4","167298.2","186588.4","205608.2","227898.6","18718.7","37496.8","57735.7","77955.3","99027.9","120386","142787.1","165699","188148.8","210866.5","233623.4","260445.3","21234.9","42580.7","66743.9","90264.2","114515.8","138716.1","163386","188011.1","211769.2","235577.1","258745.6","285264.9","22672.3","45046.2","69154","93254.9","118008.1","142907.6","168929.1","195649.3","222130.1","248732.6","274467.2","304486.9","24932.9","50455.6","78581.1","106488.1","135192.8"
