"region","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Российская Федерация","737.1","698.1","653.9","635.3","616.4","587.6","583.1","573.2","640.8","640.3","566.8"
"Центральный федеральный округ","811.2","752.1","705.2","664.8","655.4","618.5","591.9","577.3","625.5","637.3","563.8"
"Белгородская область","960.7","862.3","757.1","771","758.3","716.3","734.8","664.7","669.6","733.6","775.2"
"Брянская область","1046.2","903.9","788.1","829.2","747.2","751.2","743","703.4","725.7","727","702.7"
"Владимирская область","1038.9","980.8","817.9","798.7","826.6","812.3","822.1","795","931.7","1020.6","816.4"
"Воронежская область","872.2","763.3","744.2","658.1","601.8","592.1","617.3","601.4","677.6","702.2","614.8"
"Ивановская область","698.9","645.4","639.4","608.6","597.7","626.5","575.2","630.2","640.3","635.2","637.4"
"Калужская область","974.6","885.6","857.3","829.1","785.1","739.2","699","702.2","704.1","690.8","595"
"Костромская область","982.8","924.8","830.2","797.8","818.7","761.3","758.3","787.1","885.7","947","885.1"
"Курская область","898.1","779.6","782.7","791","759.4","701.8","705","689.9","793.1","737.8","563.5"
"Липецкая область","870.9","740.5","741.3","564.6","625.3","590.1","624.5","571.3","772.5","830.1","666.2"
"Московская область","878.4","849.8","796.8","676.2","639.2","541.8","473.8","473.7","502.4","513","451.8"
"Орловская область","1033.9","1024.2","1011","949.7","942","917.7","914.8","874.5","978.6","965","911.8"
"Рязанская область","937.3","870.2","820.3","795.6","642.4","658.8","604.9","609","747.6","765.8","684.4"
"Смоленская область","876","731.9","672.5","687","673.8","652.3","665.3","716.5","754.6","786.5","774.3"
"Тамбовская область","757.2","678.7","704","669.3","652.9","605.9","613.5","595.4","685.8","709.7","661.6"
"Тверская область","1174.3","1150","1031.6","939.5","942","874.9","745.6","763.1","824.6","900.1","871.6"
"Тульская область","1042","877.8","738.8","720.8","720.1","749.4","666.2","683.9","695.7","706.5","611.8"
"Ярославская область","929.9","874.4","708.7","702.2","669","594.2","575.5","599.3","683.2","693.7","609.9"
"г. Москва","550.6","529.6","523.7","524.2","555.8","537","521.7","490.4","516.7","510.5","445.9"
"Северо-Западный федеральный округ","799.1","764.4","729","725.2","714.4","673.9","664","642.6","706.5","711.2","607.4"
"Республика Карелия","828.4","803.7","783.1","770.1","725.3","725.5","736.5","706.9","701.6","865.4","871.5"
"Республика Коми","559.5","538.5","536.8","575.4","551","535.5","544.9","558.1","588.2","639.3","640.5"
"Архангельская область","779.5","743.8","748.2","764","770.9","728.7","749.9","740.4","776.2","786","714.6"
"Ненецкий авт. округ","495.2","522.1","425.9","442.6","403.3","368.4","405.3","348","359.3","357.6","376.8"
"Архангельская область без авт. округа","789.9","752","760.3","776.3","785.2","742.9","763.6","756.1","793.1","803.7","728.9"
"Вологодская область","896","892.2","828.4","822.6","818.8","763.8","740.2","708.7","808.9","860.9","773.9"
"Калининградская область","700.2","721.3","628.3","594.1","574.7","557.1","524.3","547","628.1","616.1","560"
"Ленинградская область","843.7","813.8","734.8","706","717.5","595.3","552.1","504.3","566.7","489.7","373.2"
"Мурманская область","662.1","639.1","639.1","639.7","613.5","584.5","600.3","592.7","649.8","668.3","624.2"
"Новгородская область","1111.2","1076","1022.3","984.8","925.9","955.2","897.3","815","913.6","1001.1","838.5"
"Псковская область","1204.7","1130.6","1110.1","1082.4","1062.3","1087.8","1084.5","1070.1","1213","1204.6","1045.5"
"г. Санкт-Петербург","750.9","697.7","674","681.8","675.7","637.1","636.4","616.7","678.4","670.9","545.8"
"Южный федеральный округ","773.8","719","624.6","609.8","647.1","634.3","612.3","597.4","667.1","669","604"
"Республика Адыгея","825.2","788.5","775.2","675.1","653.1","650","618.2","616.2","648.9","700.3","603.7"
"Республика Калмыкия","511.6","476.2","459","452","460","427.7","411.3","395.4","434.6","459","446"
"Республика Крым","0","0","0","1004.9","942.1","895.8","751.8","786.3","853.8","808.2","627.6"
"Краснодарский край","720.4","675.2","580.1","536.7","538.5","553.4","527.7","485.2","528.3","515.8","531.6"
"Астраханская область","708.7","683.4","631.9","574.5","546.9","539.2","570","549.2","641.5","686.6","611.9"
"Волгоградская область","764.5","752.7","745.6","734.6","703.3","673.4","691.9","701.2","857.2","864.4","711.5"
"Ростовская область","873.7","771.2","601.7","641.3","639.8","620","621.9","610","675","711.7","650.4"
"г. Севастополь","0","0","0","871.7","834.3","774.9","757.8","725.5","718.8","616","514.6"
"Северо-Кавказский федеральный округ","460.3","449.5","433","424.3","414.5","389.9","369.2","359.4","377.4","366.3","328.7"
"Республика Дагестан","239.4","234.1","227.3","222.5","212","198.1","203.1","204.9","244.4","225.1","208.4"
"Республика Ингушетия","198.9","184.5","167.9","155.7","148.4","145","149","131.2","148.4","141.6","138.8"
"Кабардино-Балкарская Республика","545.4","552.8","523.6","487.5","464.8","404.7","396","384.3","440.5","398.2","411.5"
"Карачаево-Черкесская Республика","583.6","567.1","547","476.7","450.2","368.6","349.2","333.8","352.4","375","350.3"
"Республика Северная Осетия - Алания","689.8","684.1","687.6","683.4","664.2","591.5","572.6","571.7","596.6","586.2","553.7"
"Чеченская Республика","288","262.6","281.6","267.3","267.4","252.3","215.5","160","191.9","177.6","162.1"
"Ставропольский край","709.9","698.5","657.8","669.7","668","659.7","614.1","619.2","596.4","603.5","500.6"
"Приволжский федеральный округ","757.3","735.9","691.1","666.5","622.3","600.3","626.2","605.1","702.4","696","604.6"
"Республика Башкортостан","609.4","601.8","549.9","536.2","532.8","509.3","564.9","510.4","569.3","576.7","459.5"
"Республика Марий Эл","724.1","677.5","507.4","523.9","540.2","527.4","559.2","491.3","554.7","544.6","449.9"
"Республика Мордовия","715.1","668.9","556.2","444.3","429.7","413.1","416.4","393.9","424.6","450.6","430.7"
"Республика Татарстан","653.5","634.1","632","615.6","599.7","587.3","597.3","533.7","639","563.5","515.8"
"Удмуртская Республика","664.5","605.4","568","589.7","537.3","519.6","526.3","513.2","607","581.7","561.7"
"Чувашская Республика","606.2","552","567.4","503.4","461.6","459.3","500.8","488.5","616.9","627.4","558.2"
"Пермский край","794.6","778.6","712.6","725.7","691.9","668.5","688.6","665.2","772.6","740.5","656.6"
"Кировская область","937.5","888.2","770.3","807.5","718","698.4","674.4","697.4","686.6","828.6","755.7"
"Нижегородская область","987.8","991.3","955.5","833.2","646.6","634.4","658.5","775.8","856","936.9","820.3"
"Оренбургская область","796.8","770.5","729.6","676.2","607.8","616.3","638.2","633.7","760.1","728.9","705.4"
"Пензенская область","971.2","928.8","885.4","859.2","816.4","719","765.7","749","902.7","912.3","785.6"
"Самарская область","713.8","720.9","636.6","604.4","589.2","564.7","603.5","522.6","670.5","584.6","514.8"
"Саратовская область","713.2","672.8","686.4","706.1","718.1","698","746.7","707.9","830.1","854.2","617.6"
"Ульяновская область","885.3","877","847.6","873.6","815","747.7","722.4","712.3","798.3","805","748.1"
"Уральский федеральный округ","659.5","625.9","580.5","572.8","564.7","530.1","539.5","521.9","598.3","544.3","513.5"
"Курганская область","780.9","667.8","603.9","591","612.2","559","592.8","551.2","620.6","637.8","605.6"
"Свердловская область","751.1","723.4","660.6","691","678.3","654.2","653.5","642.3","746.7","694.6","670.7"
"Тюменская область","414.1","396.9","388","373.9","368","342.6","348.2","327.7","362.5","362.4","332.6"
"Ханты-Мансийский авт. округ - Югра","287.6","280.5","263.1","254.2","254.1","246.6","246.7","236.9","264.7","278.1","248"
"Ямало-Ненецкий авт. округ","217","215.8","204.5","199.4","193.8","191.5","190.4","176.1","214.8","206.3","213.6"
"Тюменская область без авт. округов","636.4","599.6","599.1","573.3","558.6","503.7","516.4","480.8","521.5","510.2","461.2"
"Челябинская область","760.6","726.3","671.7","626.6","617.1","566.5","588.9","574.7","665.5","535.8","500.4"
"Сибирский федеральный округ","687.2","647.3","622.7","600.5","579.1","557.5","576.6","600.6","694.4","716.6","622.1"
"Республика Алтай","528.7","502.4","453.7","422.5","425.3","404.5","423","410.4","414.8","431.2","430.3"
"Республика Тыва","382.7","362.9","383","347","343.8","310.2","332.1","301.9","332.6","294.1","302.3"
"Республика Хакасия","680.1","651.1","658.2","697.4","639","611.8","638","626.3","680.1","614.7","599.1"
"Алтайский край","737.8","660","632.3","577.2","587","559.8","568.8","599.7","707.3","745.2","667.6"
"Красноярский край","614.5","610.6","596.5","589.2","582.7","574.2","587.6","589.5","662.6","666.5","573.3"
"Иркутская область","716.2","680.7","676.1","672.2","658.1","615","627.3","665.8","673.8","707.4","674"
"Кемеровская область","702.4","647.7","614.7","596.9","564.1","565.8","582.2","657.4","802.5","896.9","654.5"
"Новосибирская область","767.1","747.6","709.6","677","656.6","666.2","611.3","634.8","776.4","763.6","669"
"Омская область","800","722.1","656.4","623.4","575.8","477.6","549.8","527.7","632.3","643.9","611.7"
"Томская область","528.6","519.6","515.5","507.1","493.7","494","470.8","504.9","603.9","614.2","513.1"
"Дальневосточный федеральный округ","693.2","668.5","638.5","589.7","576.6","534.7","525.4","550.2","602.1","600.1","567.6"
"Республика Бурятия","598.9","557.5","519.5","472.9","471.9","437.7","445.9","462.2","481.6","484.7","469.8"
"Забайкальский край","614.6","566.4","574.8","563.6","473.8","473.4","510.8","531.9","577","617.9","590"
