"region","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Российская Федерация","1.69","1.71","1.75","1.78","1.76","1.62","1.58","1.5","1.51","1.5","1.42","1.41"
"Центральный федеральный округ","1.47","1.48","1.51","1.57","1.6","1.47","1.44","1.4","1.41","1.42","1.31","1.31"
"Белгородская область","1.51","1.53","1.54","1.56","1.55","1.39","1.36","1.29","1.24","1.27","1.17","1.12"
"Брянская область","1.56","1.53","1.56","1.65","1.61","1.43","1.43","1.32","1.31","1.28","1.2","1.19"
"Владимирская область","1.62","1.59","1.64","1.73","1.71","1.52","1.49","1.35","1.27","1.28","1.16","1.15"
"Воронежская область","1.45","1.44","1.47","1.52","1.48","1.37","1.34","1.27","1.28","1.29","1.23","1.22"
"Ивановская область","1.51","1.55","1.57","1.63","1.6","1.46","1.4","1.27","1.24","1.26","1.37","1.35"
"Калужская область","1.62","1.64","1.69","1.84","1.78","1.64","1.6","1.43","1.48","1.44","1.34","1.34"
"Костромская область","1.83","1.85","1.87","1.89","1.88","1.7","1.61","1.54","1.46","1.38","1.52","1.55"
"Курская область","1.7","1.67","1.7","1.72","1.64","1.46","1.44","1.34","1.35","1.34","1.29","1.26"
"Липецкая область","1.63","1.6","1.66","1.7","1.69","1.54","1.49","1.39","1.38","1.34","1.2","1.23"
"Московская область","1.49","1.52","1.6","1.68","1.73","1.61","1.53","1.37","1.53","1.46","1.33","1.35"
"Орловская область","1.54","1.53","1.55","1.6","1.59","1.42","1.38","1.27","1.27","1.22","1.21","1.17"
"Рязанская область","1.54","1.55","1.59","1.64","1.7","1.51","1.45","1.34","1.31","1.24","1.14","1.1"
"Смоленская область","1.43","1.48","1.53","1.52","1.51","1.37","1.28","1.21","1.16","1.13","1.08","1.03"
"Тамбовская область","1.42","1.42","1.49","1.51","1.5","1.38","1.33","1.3","1.28","1.28","1.22","1.21"
"Тверская область","1.65","1.64","1.66","1.7","1.71","1.56","1.47","1.4","1.36","1.31","1.3","1.28"
"Тульская область","1.43","1.42","1.47","1.57","1.55","1.4","1.35","1.26","1.25","1.22","1.15","1.18"
"Ярославская область","1.6","1.64","1.64","1.7","1.71","1.53","1.47","1.37","1.36","1.36","1.31","1.32"
"г. Москва","1.32","1.33","1.34","1.41","1.46","1.38","1.41","1.5","1.47","1.6","1.42","1.42"
"Северо-Западный федеральный округ","1.56","1.57","1.61","1.66","1.67","1.52","1.47","1.39","1.36","1.36","1.26","1.24"
"Республика Карелия","1.71","1.65","1.74","1.77","1.76","1.56","1.52","1.43","1.4","1.43","1.5","1.53"
"Республика Коми","1.88","1.96","2.01","2","1.97","1.78","1.63","1.57","1.57","1.53","1.54","1.56"
"Архангельская область","1.76","1.8","1.83","1.85","1.83","1.68","1.58","1.49","1.43","1.39","1.49","1.46"
"Ненецкий авт. округ","2.35","2.31","2.42","2.58","2.77","2.35","2.24","2.17","2.26","2.07","1.84","1.91"
"Архангельская область без авт. округа","1.74","1.78","1.81","1.82","1.8","1.65","1.56","1.46","1.39","1.36","1.48","1.44"
"Вологодская область","1.84","1.85","1.86","1.92","1.9","1.7","1.62","1.53","1.53","1.52","1.41","1.39"
