"region","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Российская Федерация","64.1","66.8","70.7","72.6","73.2","73.6","77","82.6","85.5","87.3"
"Центральный федеральный округ","66.9","67.4","72.6","74.2","74.9","76.5","79.6","84.7","87","88"
"Белгородская область","59.6","55.4","66.2","74.2","68.9","70.1","70.6","78.5","77.5","78.9"
"Брянская область","46.6","54.1","64.2","66.2","64.3","68.4","73.9","78.2","80.9","83.1"
"Владимирская область","61","66.4","69.5","67.6","66.1","73.8","75.5","80.9","79.2","81.5"
"Воронежская область","58.9","63.1","76.5","75.6","73.7","74.3","79.6","86.3","89.7","89.7"
"Ивановская область","55.8","53.8","66.6","64.4","63.7","58.4","67.4","72.1","83.4","87.4"
"Калужская область","52.2","52.2","59.2","68.9","70.3","69.6","74.5","76.9","75.8","76"
"Костромская область","66.1","57.4","69.9","70","67.6","65","63.7","75.3","77.5","77.4"
"Курская область","54.8","56.7","70.7","73.1","76.8","78","74","82.7","83.4","84.4"
"Липецкая область","58.3","68","71.8","69.3","73.2","69.8","68.8","76.5","77.8","87.6"
"Московская область","69.4","71.6","72.8","80.5","78.3","80.1","86","86","88.8","89.2"
"Орловская область","60.2","62.2","64.9","64.1","65.7","65.8","70.7","74.5","76.5","75.5"
"Рязанская область","57.9","60","57.9","63.9","65.2","56.6","72.7","70.9","85.2","88.9"
"Смоленская область","63.8","69.6","67.5","69.6","71.8","75.6","69.9","79.1","80.3","80.4"
"Тамбовская область","60.9","67.9","68","74.7","74.5","72.7","72.8","81.2","79.9","79.1"
"Тверская область","49.9","60.3","70.4","65.5","65","62.7","59.2","73.6","74.8","75.3"
"Тульская область","69.7","67.5","78.2","80.4","81.1","85.2","89.1","88.2","88.9","93.2"
"Ярославская область","61.5","68.7","74.3","63.6","63.3","59.3","72.5","75.3","77.3","80.4"
"г. Москва","80.4","75.1","78.5","78.1","82","86.6","87.5","94.4","96.2","96"
"Северо-Западный федеральный округ","72.8","76.7","77","74.9","76.5","76.6","79.3","82.4","83.5","84.8"
"Республика Карелия","61.2","74.6","77.8","74.7","74.6","77.3","76.5","80.2","80.1","84"
"Республика Коми","68","82","80.2","75.6","77.3","78.8","78.2","80.8","80.3","83.2"
"Архангельская область","69.7","76.2","71.4","67","69.7","73.8","75.3","75.5","81.8","82.6"
"Ненецкий авт. округ","44","56","59.5","70.2","56","67.5","72.5","81.5","84.3","87.4"
"Архангельская область без авт. округа","70.6","76.8","71.8","66.8","70.1","74","75.4","75.3","81.7","82.5"
"Вологодская область","58.4","61.7","64.6","67.3","69.3","69.9","70.2","78.8","80","81.1"
"Калининградская область","72.7","70.6","73.8","76.1","70.5","76.1","72.4","86.6","89.5","88.7"
"Ленинградская область","73.9","73.8","72.8","68.3","73.2","67.7","77.2","78.3","84","83.2"
"Мурманская область","79.5","83.5","78.3","80.4","82.4","83.6","84.2","88.8","87.6","88.9"
"Новгородская область","49.1","62.8","65.6","67.3","63.4","62.3","66","69.5","73.3","76"
"Псковская область","54.8","55.3","68.6","63.1","65","67","72.5","81.1","73.8","85.4"
"г. Санкт-Петербург","84.1","86","85.4","82.7","84.7","83.9","87","87.3","86.6","87"
"Южный федеральный округ","62.1","69.3","74.9","74.5","73.3","72.7","76.6","85.3","86.9","89.4"
"Республика Адыгея","48.1","52.9","69.6","74.5","76.2","77.6","78.4","87.5","88","89.6"
"Республика Калмыкия","49.2","67.1","63.9","71.2","62.1","56.2","82.6","92.6","95.2","93.5"
"Республика Крым","","70.6","74","81.3","81.4","83.2","81.6","84.1","83","88.8"
"Краснодарский край","57.9","67.4","71.7","68.1","63","64.4","71.4","86.5","87","86.8"
"Астраханская область","63.8","64.5","73.3","74.5","80.8","78.8","87.3","86","86.6","89.5"
"Волгоградская область","72.1","70.3","75.4","75.1","76","77.6","74.7","88","88.1","91.4"
"Ростовская область","62.3","73.6","79.6","77.9","78.1","72.7","78.1","82.2","87","91"
"г. Севастополь","","78.9","80.5","82.5","79.2","83","82.7","82.8","89.1","91.7"
"Северо-Кавказский федеральный округ","53.4","60.5","61.5","69.3","65.4","68.1","75.8","83.2","87.7","88.5"
