"region","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Российская Федерация","102.7","102.4","98.2","99.8","101.3","101.4","103.8","104.3","102.8","102.9","103","101.3","99.9","99.8","96.4","99.3","106.4","108.3","111.7","111.3","101.6","101.3","102","99.7","101.2"
"Центральный федеральный округ","106","105.7","103.1","103.1","102.1","102.2","107.3","107","106","104.6","105.2","103.9","99.6","100.9","90.4","96.1","106","104.7","108","109.3","104.3","104.2","108.7","105.6","102.8"
"Белгородская область","100.7","101.5","103.9","104.7","100.1","100.1","104.8","102.5","100.4","100.4","99.3","99.8","96.5","100.9","91.8","97.3","103.2","100.7","102.3","104.5","100.6","102","106.5","104.2","107.1"
"Брянская область","105.7","104.1","101.9","103.1","100.5","100.6","101.6","100.4","98.8","99.7","102.5","103","103.2","103.8","97.3","100.9","109.7","109.2","108.4","110.7","119","117.5","114.8","112.3","105.6"
"Владимирская область","98.6","97.2","101.9","101.1","98.2","100.2","101.3","102.6","101","99.2","99.8","102.8","101.3","101.3","97.9","97","107.8","107.1","105.1","102.3","103.9","103.1","105.3","105.4","102.1"
"Воронежская область","111.4","109.9","98.4","101.8","106.2","106.8","106.4","107.1","105.6","103.7","103.2","99","104.7","106.3","89","97.3","108.6","106.3","106.1","112.8","101.4","102.8","104.1","102.8","102.3"
"Ивановская область","99.1","98.7","99.3","99.5","102.4","100.7","100","99","99","100.1","100.9","106.3","104.7","101.2","94.5","96.8","101.2","101.4","104.3","102.7","110.2","109.4","107.5","105.1","102.6"
"Калужская область","113.8","113.9","111.1","110.7","114","113.2","113.1","112.8","113.4","111.1","105.6","105.1","103.8","106.2","100.4","100.1","104.2","101.5","104.4","104.7","100.1","103.3","105.4","105.2","103.9"
"Костромская область","91.8","93.7","99","97.9","99","98.1","101.3","101","111.8","108.2","106.4","106.2","95","96.3","94.1","95.5","109.4","107.3","100.1","100.4","101.4","103.4","104.5","104.2","104.9"
"Курская область","108.8","107.1","103","100.4","89.7","95.5","105.5","107.4","120.9","110.7","107.5","108.1","94.2","95.8","86.7","88.9","117.7","115.7","122.4","118.9","103.7","101.5","106.9","105.8","104.8"
