"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Российская Федерация","89269.203","85352.203","90545.5","113157","152248","208846","259145","299267","397925","254967","337467","437283","447277","452036","433173","298420","247687","309687.469","394674.906","370512.2","288513","428162.1"
"Центральный федеральный округ","28905.801","28572.699","28423.699","34452.699","59400.199","89010","113267.602","135452.406","186363.906","115401.5","143544.406","189595.297","199702.797","218273.797","221053.297","147841.094","119139.797","151268.453","199099","184920.1","140140.6","217594.5"
"Белгородская область","298.8","348.4","331","448.6","649.5","930.1","1013.9","1461.7","2502.7","1245.5","1914.3","2889.2","2537.5","2354.4","2349.7","1881.9","1606.5","2028.013","2446.9","2335.1","2332.8","3970.8"
"Брянская область","46","75.6","126.1","45.8","387.1","161.7","64.5","525","203.2","40.4","60.9","67.2","50.2","59.5","87.2","102.1","61.7","80.807","94.1","128.9","156.9","145.7"
"Владимирская область","74.4","84","102","143","120.4","119.3","108.1","260.5","236.4","352","404.4","791.6","411.9","479.3","462.5","354.5","356.5","364.753","489.2","271.7","323.7","509.2"
"Воронежская область","147.1","178.2","146.6","227.5","290.1","441.4","589.3","729.6","679.2","452.4","575.3","756","936.8","907.2","811.1","729.2","698.1","842.459","1000.2","724.2","594.1","802"
"Ивановская область","46.4","51.8","59.5","68.8","69.9","64.7","79.6","79.5","59.1","52.4","60","76.9","80.9","66.2","68.8","57.7","63","68.751","75.7","82.2","92.2","160.8"
"Калужская область","59.9","36","34.3","77.3","82.8","86.2","106","127.4","108.4","118.1","136.4","183.9","148.7","106.2","103.4","177","399","922.283","967.9","716.5","609.6","929.6"
"Костромская область","66.5","76.7","68.5","79.7","116.7","171.8","160.7","180.2","137.6","95.7","116.9","146","143.6","163.9","184.8","163.3","162.2","160.091","203.7","602.7","3558.1","5328.3"
"Курская область","54","48.5","61.5","61.6","117.3","285.5","282.1","485.8","620.4","259.8","549.6","1137.9","486.3","466.8","387.1","246.9","314.2","410.13","459.9","569.3","640.1","1384.7"
"Липецкая область","1032.8","891.6","1148.3","1544.4","3049.5","2570.9","2770.3","3420.1","4846.2","2745.2","3656.4","4524.6","4706.6","4064.3","4048.4","2998.1","2793","3989.326","5187.6","3369.5","2841.4","6383.9"
"Московская область","1860.7","1233","1221.8","1474.7","2410.4","1469.1","1866.3","2282.6","2580.3","1533.7","1800.8","2140.9","3100.7","3399.7","2568.9","2580.7","2442.2","3309.96","3556.4","3825.1","2658","5956.5"
"Орловская область","66.2","107.6","183.4","272.6","94.5","119.3","99.8","199.9","119.6","143.3","283.6","67.6","108.3","81","86","85.5","94.4","120.631","156.1","154.5","172.7","280.9"
"Рязанская область","743","742.5","501.4","643.5","232.3","125.8","132.1","174.6","153.9","112.9","162.5","193.7","131.7","167.8","205.1","217.3","259.8","842.785","324.1","1110.1","303.9","1305.4"
"Смоленская область","399.6","405.2","387.2","445.1","500.4","593.7","567.8","631.1","552.3","312.4","499.9","893.9","719.3","622.3","577.5","375.2","402.3","412.243","618.3","562.6","490.4","752.9"
"Тамбовская область","22.3","25","31.5","29.8","30.4","19.6","17.7","35.7","30.8","25.1","12","43.3","44.6","38.1","45.9","52.1","67.1","96.391","157.5","109.4","268.3","245.7"
"Тверская область","90","81.1","89.1","98","79.8","81.2","117.4","112.8","144.1","155.7","175.4","179.6","144.1","111.2","181.5","117.8","104.2","127.268","154.4","146.9","261","394"
"Тульская область","605.1","789.3","726.3","856.8","1540.4","1926.8","2027.5","2376.1","3738","1805.9","2236.2","3640.5","3015.5","3247.1","3201.2","2504.4","2446.2","3320.147","3184.9","2614.2","2606","3253.3"
"Ярославская область","822.1","1247.7","258.4","288.5","314.4","198.5","207","301","287","199.6","331.8","471.5","520.1","1520.7","667.3","605.3","406.1","535.836","813.3","783.3","711.3","819.2"
"г. Москва","22470.9","22150.5","22946.801","27647","49314.301","79644.398","103057.5","122068.797","169364.703","105751.398","130568","171391","182416","200418.094","205016.906","134592.094","106463.297","133636.578","179208.797","166813.9","121520.1","184971.8"
"Северо-Западный федеральный округ","9755.2","8416.7","8454.9","11043.6","15419.9","18492.5","28118.301","33237.199","44961.301","28912","34434.801","52487.102","48999.898","45456.102","51081.801","35932.898","28353.9","36768.562","45584.398","45223.4","37354.9","54795.6"
"Республика Карелия","531.6","563.4","513.7","625.9","780.5","965.3","1164.9","1168.6","1345","968.8","1382.7","1413.8","1170","1018.8","955.2","644.1","640","1023.241","1184.5","951.3","662.9","1178.1"
"Республика Коми","1102.8","967.2","1095.4","1207.3","545","522.6","682.6","845.9","966","651.3","736","2175.5","1959.9","3251.6","3023.5","1532.6","697.9","834.132","854.1","859.5","691","1130"
