region,2018,2019,2020,2021,2022
Российская Федерация,9.7,9,7.4,7.8,6.6
Центральный федеральный округ,9.7,9,7.4,7.9,6.4
Белгородская область,9.7,9.1,7,8,6.7
Брянская область,9.6,8.9,7.1,7.8,6.7
Владимирская область,9.7,9,7.3,8,7.3
Воронежская область,9.6,9.1,7.1,7.8,7.3
Ивановская область,9.7,9,7.2,8.2,6.9
Калужская область,9.6,9,7.2,8,7
Костромская область,9.6,9,7.2,8.1,7.2
Курская область,9.6,9.1,7.1,7.7,6.3
Липецкая область,9.7,8.9,7,8,6.9
Московская область,9.6,8.9,7.5,7.9,6.2
Орловская область,9.6,9,6.9,7.9,6.5
Рязанская область,9.6,8.9,6.8,7.8,5.6
Смоленская область,9.6,9.1,7,8,6.6
Тамбовская область,9.8,8.9,7.2,7.7,6.8
Тверская область,9.7,9.1,7.4,8.1,7
Тульская область,9.6,9.1,7.5,8.2,6.8
Ярославская область,9.6,9,7.4,7.9,7.3
г. Москва,9.7,9,7.5,7.9,6.2
Северо-Западный федеральный округ,9.7,8.9,7.4,7.6,5.7
Республика Карелия,9.6,9,7.3,7.9,7.4
Республика Коми,9.6,9,7.5,8.1,7.3
Архангельская область,9.5,9,7.5,8,6.5
Архангельская область без авт. округа,9.6,9,7.5,8,6.6
Вологодская область,9.7,9,7.6,8.2,7.8
Калининградская область,9.9,9,7,7.9,7.6
Ленинградская область,9.7,8.9,7.3,7.4,5.2
Мурманская область,9.6,9,7.4,8,6.7
Новгородская область,9.6,9,7.3,8,6
Псковская область,9.6,8.9,7.1,7.8,6
г. Санкт-Петербург,9.7,8.8,7.4,7.5,5.1
Южный федеральный округ,9.7,9.1,7.4,8,5.8
Республика Адыгея,9.8,9.1,6.9,8.2,5
Республика Калмыкия,9.7,9.1,7.6,7.7,6
Республика Крым,10.3,9.7,7.7,8.6,7.1
Краснодарский край,9.7,9.1,7.5,8,5.1
Астраханская область,9.5,8.9,7.5,8,6.9
Волгоградская область,9.6,9,7.3,7.9,6.8
Ростовская область,9.6,9.1,7.4,7.9,6.7
г. Севастополь,10.2,10,8,8.6,6.4
Северо-Кавказский федеральный округ,9.8,9.2,7.5,8.2,7.5
Республика Дагестан,9.9,9.2,7.5,8.2,7.4
Республика Ингушетия,10,9,8.6,8.1,8.7
Кабардино-Балкарская Республика,9.7,9.2,7.1,8.3,7.5
Карачаево-Черкесская Республика,9.8,9.2,7.5,8.7,8.1
Республика Северная Осетия - Алания,9.9,9.2,7.3,7.9,7.6
Чеченская Республика,10,9.2,8,8.6,10
Ставропольский край,9.7,9.2,7.5,8.1,6.9
Приволжский федеральный округ,9.6,9,7.3,7.9,7
Республика Башкортостан,9.6,9.1,7.3,8.2,7.2
Республика Марий Эл,9.6,9.1,6.9,7.7,7.4
Республика Мордовия,9.6,9,7.1,7.7,5.8
Республика Татарстан,9.6,9,7.3,7.6,6.8
Удмуртская Республика,9.7,9.1,6.8,7.2,5.7
Чувашская Республика,9.5,8.8,6.9,7.8,6.4
Пермский край,9.7,9,7.5,7.9,7.5
Кировская область,9.6,9,7.3,8.1,5.8
Нижегородская область,9.6,9,7.2,8,7.5
Оренбургская область,9.6,9.1,7.5,8.1,7.7
Пензенская область,9.6,8.9,6.6,7.3,6.1
Самарская область,9.7,9.1,7.5,8.3,7.8
Саратовская область,9.7,9.1,7.5,8.1,7.4
Ульяновская область,9.6,9.1,7.4,7.6,7.1
Уральский федеральный округ,9.7,9.1,7.5,7.9,7.5
Курганская область,9.6,9.2,7.6,8,7.4
Свердловская область,9.7,9,7.5,8,7.6
Тюменская область,9.6,9.1,7.6,7.9,7.5
Ямало-Ненецкий авт. округ,9.5,9.1,7.5,8.3,7.8
Тюменская область без авт. округов,9.7,9,7.4,7.4,7.2
Челябинская область,9.8,9.2,7.5,8,7.6
Сибирский федеральный округ,9.6,9.1,7.5,8.2,7.7
Республика Алтай,9.8,9.1,6.9,8.6,8.1
Республика Бурятия,9.6,9,6.9,6.9,6
Республика Тыва,9.9,9.4,7.7,8.9,8
Республика Хакасия,9.7,9.2,7.3,8.2,6.5
Алтайский край,9.7,9,7.4,8.3,7.7
Забайкальский край,9.7,9.1,7,7.1,6.6
Красноярский край,9.6,9.1,7.6,8.1,7.7
Иркутская область,9.6,9.2,7.6,8.5,8.4
Кемеровская область,9.7,9,7.5,8.3,7.8
Новосибирская область,9.5,9.1,7.3,7.9,7.5
Омская область,9.6,9,7.5,8.1,7.6
Томская область,9.4,8.9,7.1,8.1,7.5
Дальневосточный федеральный округ,9.6,9,6.6,6.3,6.2
Республика Саха (Якутия),9.7,9.1,6.7,5.9,5.3
Камчатский край,9.7,9.2,7.3,8.2,7.4
Приморский край,9.6,8.8,6,5.9,6.2
Хабаровский край,9.6,8.9,6.9,6.7,6.9
Амурская область,9.7,8.9,6.3,5.8,6.1
Магаданская область,9.7,9.3,5.8,5.5,6.2
Сахалинская область,9.6,8.9,7.2,6.1,6.1
Еврейская авт. область,9.7,9.2,6.8,7.3,6.3
Чукотский авт. округ,9.9,9,6.1,5.8,6.8
