"region","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Российская Федерация","28287.3","35603","44577.6","53822.9","52218.9","63540.6","79039.4","87651.3","94791.1","102965.1","111801","120159","133989.4","154625.4","167104.5","164606.5","217146.5","235779"
"Центральный федеральный округ","10963.4","14194.1","17719.2","21960.6","22526.5","27465.5","33992.8","38046.1","42246","46491.7","49916","54472","60867","70169.4","79564.6","79461","98806.5","104069.3"
"Белгородская область","229.4","288.3","433.5","552.1","520.2","673.6","835.3","932.6","936","1027.1","1157","1194","1277.6","1404.1","1422.5","1555","2174.4","2159.4"
"Брянская область","80.9","96.8","119.9","150.2","156.7","178.5","249.6","263.8","281.9","271.4","296","315","327.9","363.6","443.4","486","560.6","581.5"
"Владимирская область","127.9","161.3","229.7","254.7","262.2","307","383.4","411.5","450.1","505.7","537","579","606.4","649.5","729.6","775","1078.9","1089.1"
"Воронежская область","186.6","223.5","295","354.5","346.8","393.3","613.9","679.8","697.2","795.7","911","926","978.6","1031.7","1151.9","1281","1467.1","1620.2"
"Ивановская область","61.2","71.5","91.1","99.4","102.8","124","166.3","164.3","179.5","158","140","148","160.8","161.2","173.6","186","234.2","270.6"
"Калужская область","89.8","109","144.8","216.6","298.3","413.8","591.8","721.1","737","787.2","717","821","1055.4","1251.1","1326.9","1295","1578.1","1194.4"
"Костромская область","54.4","59.5","74.3","87.6","80.8","103.5","125.7","150.7","156.9","156.6","159","149","162.5","177.2","184.7","179","226","244.1"
"Курская область","106.7","137.7","191.5","193.8","184","249.3","297.1","324.7","336.3","351.1","393","438","495","552.5","573.3","623","855.7","793.5"
"Липецкая область","240.6","292.4","345.1","429.6","350.7","434.3","520.1","562.9","564.6","655.6","718","748","833.8","1005.7","938.2","1060","1582.6","1535"
"Московская область","1437.5","1983.4","2747.7","3432.9","3693.2","4589.3","5645","5245.8","5790.4","6656.1","7606","8330","9462.4","10595.7","12052.2","12884","16352","16816.2"
"Орловская область","75.9","74.2","88.1","119.8","111.3","127.3","146.6","178","181.4","203.2","214","227","222.7","234.5","257.7","288","369.7","409.9"
"Рязанская область","127.6","160.1","162.7","183.7","179.1","218.1","267.9","305.6","330.9","367.6","404","418","460","505.5","540.6","598","787.4","895.9"
"Смоленская область","89.3","105","137.4","171.6","144.2","186.5","233.7","253.4","266.8","287","317","321","345","379.9","387.5","441","551.2","654.1"
"Тамбовская область","47.5","64","91.1","102.5","108.5","127.5","153.5","171.5","193.7","248.3","302","297","295.4","342.1","366","439.5","533.1","560.7"
"Тверская область","122.5","152.3","200","241.2","227.7","255.8","296.1","320.7","328.9","325.9","314","340","389.7","444.1","462.4","581.2","678.2","761.3"
"Тульская область","227.3","252.6","329.4","410.1","377.3","431.9","541.4","567.7","597.3","704.7","785","810","897","989.1","1005.7","1154.6","1503","1619.3"
"Ярославская область","230.6","270.8","327","367.9","314.5","411.2","494.9","493.4","478.4","496.4","499","553","638.5","689.3","707.3","724.7","898.3","978"
"г. Москва","7427.7","9691.8","11711","14592.6","15068.4","18240.7","22430.3","26298.6","29738.9","32494.3","34446","37859","42258.3","49392.7","56841","54904.6","67375.7","71886"
"Северо-Западный федеральный округ","2609.1","3717.1","5222.1","6601.2","6205.7","7298.4","9497.1","10444.3","11492","12496.7","14539","15829","17736.4","20636.2","21502.9","21931.6","34901.6","38473"
"Республика Карелия","85.1","87.3","109","115.5","104.5","136.3","163.8","165.2","159.6","172","165","185","214.4","243.3","255.2","256.6","384","320.3"
"Республика Коми","284.7","338.9","370.8","420.8","396.8","465.8","545.5","591.5","683.3","699.8","805","786","866.6","1005.7","1045.1","856.1","1181.3","1341.3"
"Архангельская область","170.1","172.4","221.1","236.7","260.6","308.1","327.9","343.6","489.4","393.5","399","399","552","462.6","439","453.5","758.4","681.7"
"Ненецкий авт. округ","28.8","24","52","59.4","114.5","127.6","133","123.4","111.6","121.7","121","115","116.6","103.1","103.2","70.1","149.8","176.9"
"Архангельская область без авт. округа","141","148","169","178","146.1","180.4","194.9","220.2","377.9","271.8","278","284","435.4","359.5","335.7","383.5","608.6","504.8"
"Вологодская область","315","369","446","549","373","475","618","599","574","638","714","764","988.8","1114.1","1206.1","1217.8","1847.9","1881.9"
"Калининградская область","101.5","140.2","240","317.7","280","336.9","431.6","500.3","534.6","609.7","608","654","714.7","858","884","920.9","1250.5","1025.9"
"Ленинградская область","295","382.1","516.1","660.7","623.4","685.5","871.8","961","1104.7","1305.1","1506","1652","1673.9","1951.5","1881.4","1777.5","2298.3","2476.8"
"Мурманская область","139.2","165.3","199.2","220.5","214.8","263.7","298.5","313","325.5","354.6","400","408","338.6","358.9","559.4","1035","1249.7","1189.7"
"Новгородская область","85.8","96.4","122.5","152.8","136.5","161.8","193.2","201","193.2","215.1","253","256","279.4","323.6","352.1","346.9","492.9","520.1"
"Псковская область","46.4","56.5","73.5","86.6","77.8","92.8","116.8","119.3","131.1","133","142","150","183.9","201.6","206.8","213.2","268.5","270.2"
"г. Санкт-Петербург","1086.4","1908.9","2924.2","3840.8","3738.1","4372.6","5930.1","6650.7","7296.6","7976.4","9546","10575","11924.1","14116.8","14673.7","14854.1","25170.2","28765.1"
"Южный федеральный округ","1334","1648","2203","2640","2628","3102","3827","4466","5016","5812","6662","7183","7952.7","8766.5","9056.4","9241.3","10980.3","12166.3"
"Республика Адыгея","11","12.8","17.2","20","23.2","30.3","37.3","46.3","55","58.2","53","56","58","72.2","76.9","66.9","90","94.1"
"Республика Калмыкия","6.2","6.9","7.7","7.8","9.1","8.8","9","9.2","10.9","9.8","8","15","16.5","22","17.3","14","15","11.7"
"Республика Крым","","","","","","","","","","79.7","197","215","277.4","315.3","344.6","384.7","477.1","502.9"
"Краснодарский край","526.4","677.1","924.6","1045.1","1139.4","1411.8","1734.6","2108.8","2425.6","2896.5","3460","3706","4096.3","4393","4635.2","4824.8","5917.9","6716.1"
"Астраханская область","56.9","73.8","91.3","135","109.1","104.9","118","155","212.4","215.6","224","245","347.1","462.5","450","357.1","515.7","594"
"Волгоградская область","323.9","390.3","490","591.9","526.2","637.2","739.8","811.5","871","1047.5","1047","1039","1158","1286.7","1302.1","1208.5","945","1082.3"
"Ростовская область","409.8","487.2","672.6","839.8","821.4","909.2","1187.7","1335.1","1440.9","1497.7","1646","1854","1961.2","2170.3","2183.1","2335.3","2958.2","3090.8"
"г. Севастополь","","","","","","","","","","7.1","27","52","38.2","43.2","47.3","49.9","61.5","74.5"
"Северо-Кавказский федеральный округ","273","320","453","534","552.7","652.9","800.9","874.9","928","998.9","1049","1148","1158.1","1254.1","1210","1248.6","1542.5","1733.9"
"Республика Дагестан","31.3","37.3","42.8","43.2","48.7","55.9","65.6","65.5","64.3","67.5","72","75","83.2","98.7","105","100","111.6","117.8"
"Республика Ингушетия","2.6","2.6","2.3","2.9","3.5","4.3","7.3","8","7.1","6.7","6","5","9.8","10","13.5","11.1","11.3","14.8"
"Кабардино-Балкарская Республика","19.7","20.6","23.6","29.5","31","43.1","51.9","51.3","47.9","57.3","64","54","58.7","45.7","51.7","58.4","62.8","68.2"
"Карачаево-Черкесская Республика","13.9","18.2","20.9","23","21.9","27.6","57","60.2","64.8","61.4","56","60","76.2","81.1","76.8","75.4","75.8","81.9"
"Республика Северная Осетия - Алания","23.9","26.1","29.2","24.1","25","25.6","24.9","33","32","31.3","33","45","36.9","44.5","44.7","36.7","37.1","43.7"
"Чеченская Республика","","","23.3","30.8","28.1","39.7","41.5","50.3","43.1","43.7","43","41","44.4","68.3","70.1","90.2","105.6","155.9"
"Ставропольский край","181.8","215.1","311.1","380.5","394.6","456.7","552.7","606.5","668.7","731","774","868","848.9","905.8","848.3","876.8","1138.3","1251.5"
