"region","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Российская Федерация","23742","26542.9","26943.4","32119.9","24344.6","26867.5","24587.5","21324.3","20755.1","23879.8","27877.2","28095.5","49341.3","81827.95","109697.47"
"Центральный федеральный округ","12185.2","15609.7","14225.2","16212.9","15261.2","16355.6","10853.6","9019.3","8648.2","8000.8","12644.2","14041.9","19285.7","36841.07","54358.74"
"Белгородская область","783.6","935.4","955.4","968.9","945.9","922.7","1115.7","0","0","0","10.9","11","0","1521.99","1361.95"
"Брянская область","0","0","0","0","0","338.5","19","20.4","21","24.4","0","0","211.7","58","72.59"
"Владимирская область","0","0","0","0","71.3","71.3","245.5","90.2","0","233.3","128.4","181.6","169.8","54.82","33.29"
"Воронежская область","0","0","0","0","0","0","0","0","0","0","0","0","792.4","2064.92","3813.31"
"Ивановская область","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1736.7"
"Калужская область","0","0","0","0","0","0","0","0","0","21.7","826.4","1130.7","1119.2","637.04","1561.86"
"Костромская область","0","0","0","0","0","0","0","1.4","2.2","203.9","583","564.9","1241.3","1242.03","1524.2"
"Курская область","0","0","0","0","0","0","0","15.1","296.5","295.2","278.3","381.8","249.1","642.91","640.49"
"Липецкая область","993.5","943.6","936.4","919.2","917.6","1004.9","1043.8","969.7","969.7","1001.8","838.4","1104.7","1353.5","1248.31","1268.41"
"Московская область","1029.1","1243.5","790.2","1015","1088.6","1378.7","1032.3","1972","1528.7","1636.1","1537.2","1677.2","4169.8","9430.8","18521.99"
"Орловская область","0","0","0","0","0","0","50.3","26.8","18.9","70.2","145.9","382.4","947.2","1002.97","884.08"
"Рязанская область","0","0","0","0","0","0","0","0","0","0","0","0","512.4","2837.85","3899.2"
"Смоленская область","0","0","0","0","0","0","0","40","170","136.5","236","40.8","404","965","944"
"Тамбовская область","0","973","0.8","1851.1","1007","997.2","818.4","931.1","1094","93.2","877.6","756.9","61.6","67.96","75.25"
"Тверская область","0","0","2","2","2.2","1.7","1.4","1.6","1","0","0","0","192.3","0","0"
"Тульская область","13.1","11.1","5.4","6.1","6.1","14.9","38.6","0.1","0.8","0","0","0","0","194.6","16.71"
"Ярославская область","1335.9","1431.3","1318.5","1155.3","1199.9","1206.6","1244","1176.9","717.4","444.3","1105.5","1720.5","1829.5","1887.5","1996.71"
"г. Москва","8030","10071.8","10216.5","10295.3","10022.6","10419.1","6360.3","3774","3828","3840.2","6076.6","6089.4","6031.9","12974.37","16008"
"Северо-Западный федеральный округ","8499.1","8011.8","8987","8265.3","2501.5","2544.2","2108.9","1156.9","2283.9","609","1412.9","1629.3","3776.2","5965","9821.42"
"Республика Карелия","499.9","0","0","0","0","0","0","0","0","11","0","0","0","0","0"
"Республика Коми","0","0","0","0","0","0","0","0","0","0","0.3","0","13.8","42","56"
"Архангельская область","154.7","0","0","0","0","0","1.7","0","0","0","0","0","0","0","0"
"Ненецкий авт. округ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Архангельская область без авт. округа","0","0","0","0","0","0","1.7","0","0","0","0","0","0","0","0"
"Вологодская область","33.7","31.1","32.2","17","0.9","1.3","0","0","0","2.4","0","21.9","1179.7","1716.61","1762.1"
"Калининградская область","0","0","0","0","0","0","42.1","0.1","0.1","0","17","0.1","4.2","201.51","220.62"
"Ленинградская область","92","82.2","0.4","1.2","1","64","38.7","101.1","101.5","187.9","322.6","232.9","216.2","0","2000.76"
"Мурманская область","657.4","635.8","699.8","712","917.2","1069.2","1009.5","0","0","0","5","0","544.8","185.5","869.22"
"Новгородская область","0","0","0","0","0","0","0","9.2","5","25.6","4.9","8.5","0","704.62","950.88"
"Псковская область","0","0","0","2","0","0","5.7","6.5","121.8","151","0","0","619.9","1044.8","1172.4"
