"region","2022","2023"
"Российская Федерация","750862.1","2117779.3"
"Алтайский край","0","13475.8"
"Амурская область","0","0"
"Архангельская область","0","6241.3"
"Астраханская область","0","0"
"Белгородская область","27867","123249.2"
"Владимирская область","0","0"
"Волгоградская область","0","42000"
"Вологодская область","21287","0"
"Воронежская область","0","20837.1"
"Ивановская область","0","11963.9"
"Иркутская область","0","38591.4"
"Кабардино-Балкарская Республика","0","0"
"Калининградская область","18669","35700"
"Калужская область","0","8163.5"
"Камчатский край","0","5942.5"
"Карачаево-Черкесская Республика","0","19978.7"
"Кемеровская область","0","21000.1"
"Костромская область","0","4040.5"
"Краснодарский край","0","22835.2"
"Красноярский край","78390","75000"
"Курская область","13827","20408.2"
"Ленинградская область","29422.7","49668"
"Липецкая область","0","0"
"Московская область","160049","297127"
"Мурманская область","0","0"
"Нижегородская область","0","42051.3"
"Новгородская область","10067.4","15515"
"Новосибирская область","0","29871.9"
"Омская область","0","0"
"Оренбургская область","0","26446.5"
"Орловская область","0","0"
"Пензенская область","0","815.6"
"Пермский край","50281","70000"
"Приморский край","0","26505"
"Псковская область","0","21568.3"
"Республика Адыгея","6647.2","6565.7"
"Республика Алтай","0","0"
"Республика Башкортостан","77742","280838.5"
"Республика Бурятия","0","41609.1"
"Республика Дагестан","0","0"
"Республика Ингушетия","2600","0"
"Республика Карелия","0","25645"
"Республика Крым","0","21824.7"
"Республика Марий Эл","0","0"
"Республика Мордовия","0","0"
"Республика Саха (Якутия)","0","0"
"Республика Северная Осетия - Алания","0","0"
"Республика Татарстан","0","50341.9"
"Республика Тыва","0","0"
"Республика Хакасия","0","0"
"Ростовская область","0","3786.5"
"Рязанская область","0","0"
"Самарская область","44252.3","55928.2"
"Саратовская область","0","101665"
"Сахалинская область","11462","21186.5"
"Свердловская область","0","40814"
"Смоленская область","0","0"
"Ставропольский край","22625.6","66230.6"
"Тамбовская область","0","0"
"Тверская область","0","0"
"Томская область","0","22653.8"
"Тульская область","0","21238"
"Ульяновская область","0","14866.8"
"Хабаровский край","0","42325.5"
"Челябинская область","64394.8","72524.8"
"Чувашская Республика","23251.5","35000"
"Ямало-Ненецкий авт. округ","0","3320"
"Ярославская область","22384","67085.5"
"г. Санкт-Петербург","0","7692.6"
