"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель","2024, май"
"Российская Федерация","98.4","97.3","100.2","102.1","103.2","105.9","106.5","105.1","105.6","106","106.5","107.5","103.3","104.1","103.8","102.2","101.8","101.4","100.9","102.4","104.9","106.1","107","108.4","100.2","101.2","100.3","101.5","105.5","109.1","109.4","109.7","111.1","114.7","115.5","111.7","98","98.1","99","99.4","101.2","100.6","98","97.4","97.2","96.9","96.1","95.7","101.2","100.5","99.2","92","89.5","94.9","99.1","100.1","100.7","101.1","102.1","103.6","103.4","107","110.8","113.8","116.5","119.9","123","124.8","123.6","124.1","127.5","128.5","100","104","110.2","116.9","108.9","104.6","102.3","101.2","100.4","97.9","97.5","96.7","99.1","100","102.6","105","109","108.9","110.5","115.3","120.7","123.1","123","119.2","98.6","99.6","101.9","103.8","105.4"
"Центральный федеральный округ","99.8","100.9","101.4","101.2","101.7","103.1","103.9","104.5","104.4","104.3","104.4","105","101.2","101.1","101.4","101.8","102.1","101.8","102","103.4","103.9","104.3","104.3","103.8","100.4","101.5","101.2","102.4","104.8","105.2","105.6","107.2","108.8","110.8","110.9","110.8","99.8","99.9","100.2","100.3","100.8","100.5","100.6","100.6","100.5","100","99.3","98.2","100.4","100.5","100.3","99.8","100.7","101.3","102.1","102.6","102.9","104.3","104.6","105.1","101.9","103.7","105.2","106.4","108","110.6","112.6","113.4","114.1","114.3","114.1","113.6","102","104.1","105.7","109.5","109.6","108.6","107.1","109.2","107.7","105.7","105","103.9","100.3","100.8","104.3","106.2","108.6","110.1","112.1","116.5","120.5","117.6","116","113.5","100.4","102.4","105.5","106.7","106.6"
"Белгородская область","98.9","99","99.6","101.2","102.7","103.6","103.6","104.4","107.9","105.7","104.7","105.3","103.5","101.6","101.6","101","100.5","97.5","95.4","99","100.6","100.2","100.6","99.9","101.7","102","104","104.7","105.6","108.2","108.6","109.7","109.1","110.9","112","113.2","98.6","97.9","100.3","100.8","101.1","102.2","103.2","106.6","102.3","97","94.9","93","103.8","103.6","100.9","102.3","103.6","105.7","110.1","111.8","116.1","122.8","124.7","125.9","105.4","111.6","113.9","116.6","119.9","132.4","135.1","138.9","130.4","121.1","120.9","119","100.9","103.5","108.4","115.4","112.2","107.8","100.4","97.3","94.4","93.1","90.3","89.4","100.1","104.5","105.9","107.5","108.4","109.7","112.1","115.2","117.6","120.8","122.5","123.2","99.4","99.8","102.7","102.6","103.6"
"Брянская область","100.3","100.5","100.9","102.2","101.6","101.9","102.4","103.3","104.1","104.1","103.7","104.6","100.9","100.1","101.1","100.8","99.9","100.8","100.4","102.2","101.8","101.2","101.3","102.7","99.7","99.6","99.6","100.6","100.5","101.3","99.6","100.6","101.8","103.7","105","108.5","100.5","99.5","93.9","94.7","94.6","94.2","93.9","94.6","94.8","95.1","95.5","94.9","100.2","98.7","100","101.5","101.3","101.8","101.7","102.9","103.7","105.7","105.1","105.8","102.9","104.3","105.3","105.2","108.5","108.5","107.5","109.2","111","115.9","114.9","115.5","104.8","107.6","111.2","117.9","117.7","115.8","117.1","114.3","112.4","111.6","112.1","111.6","100.4","99.4","99.8","100.4","100.3","100.7","101.8","103.2","105.7","107.3","108.4","110.9","100.3","99.8","99.3","97.9","100"
"Владимирская область","100.7","102.2","102.2","102.7","102.5","104.4","105.7","106.3","106.6","106.3","105.5","106.3","100","100.6","102.1","101.9","102.3","102.1","102.2","104.3","104.6","104.9","105","105.3","100.3","100.8","101.5","100.8","101.4","100.9","100.6","99.3","98.8","98.8","99","99.1","100.3","101.9","102.3","103.5","104.6","105.3","107.8","106.7","105.8","107.8","110.3","109.1","99.6","101","100","99.1","100.1","99.2","99.7","102","100.9","103","104.7","106.3","101.6","104.3","104.9","107.6","109.9","113","114.5","116.1","114.8","115.7","116.6","116","99.7","100.7","102.2","105.4","109.8","109.1","106.4","107.6","106.2","104.3","103.9","104.3","99.9","99.8","100","100.5","100.9","100.9","102.6","102","103.7","104.9","107.2","107.3","101.5","102.4","103.4","103.2","103.6"
"Воронежская область","102.1","103.6","103.7","103.5","101.9","101.2","102.5","103.4","103.7","102.6","100.9","100.8","99.4","98.8","98.2","96.8","97.3","97","97.8","99.2","99.9","99.6","98.3","97.8","99.3","99","100.1","100.4","102.4","102.6","104.2","105.4","107.8","107.6","108.3","108.9","100","100.2","100.9","100.3","100.1","99.3","98.9","99.1","98.5","98","97.1","95.1","101.1","101.6","102.3","104.8","106.7","105.3","107","108.8","109.7","111.6","113.2","114.2","99.6","101.8","105","106.3","107.2","109.3","110.5","111.3","111.6","111.2","111.5","113.1","100.3","101.9","105.2","110.2","112.4","110.8","110.1","110.8","109.3","108","107.3","107.5","101.9","100.7","101","99.6","99.2","99.4","101.5","101.8","103.2","103.7","104.1","104.5","99.6","99.8","101.3","100.7","102"
"Ивановская область","101.2","101.4","102.7","103.2","103.9","104.5","105.2","106.9","107.4","107.6","107.8","108.8","100.8","101.3","102.7","101.7","102","101.3","101.3","101.6","102.1","103.1","104.3","104.3","99.8","99.5","99.5","99.9","101.1","102.2","102.3","103.9","104.3","105.2","105.1","105.8","100.9","102.1","101.9","102.5","103.1","103.5","104.4","102.2","102.8","104.3","105","103.6","99.2","99.3","100.5","103.2","102.4","102.5","103.6","103.6","105.5","105.9","107","106.4","101.1","103","106.4","106.3","106.6","108.8","114.1","115.5","118.1","118.1","115","115.7","101","103.1","106.9","108.3","111.1","111","111","108.7","108.4","107.7","109.4","110.3","101.3","101.9","102.3","104.9","106.7","107.7","107.2","107.7","109.8","111.2","111.8","111.9","99.3","101.6","103.1","103.3","106.1"
"Калужская область","100.5","103","102.1","101.2","100.9","100.5","101.5","102.1","102.8","102.8","103.3","103.6","99.8","100.6","101.3","101","101.2","100.6","100.2","100.4","101.1","101.6","102.1","101.8","100.7","99.9","100.6","100.8","102.4","104.1","105.2","106.2","106.9","108.4","108.6","108.2","101.1","102.6","102.9","103","103.3","104","103.3","103.1","103","104.1","102.9","102.9","99.3","100.2","100.2","101","101.5","101.7","101.9","101.4","101.1","101.5","101.9","102.7","101.5","102","103.2","103.8","104.6","108.1","110.4","110.7","112.7","112.7","114.6","115.2","101.9","102","105.4","110.3","114.2","112.9","112.5","116.6","113.4","114","114.8","114","100.3","101.7","102.4","103.2","101.3","101.2","104.3","105.6","106.5","107.9","108.2","107.6","101.5","101.2","101","101.9","102.3"
"Костромская область","100.3","104.1","104.8","103.9","105.1","104.5","107.2","107.3","107.4","107.4","108.5","108.5","99.7","99.1","99.9","100.3","101.1","101.4","102.1","103","104.3","103.5","104.5","103","101.5","101.7","101.5","101.6","104.5","104.6","105.7","106.6","107.7","108.1","108","108.4","100.1","101","100.4","101.4","102.5","101.4","102.1","102.9","101.5","102.5","100.9","100.6","101.3","103.5","104.1","104.6","103","103.3","104","106.2","106.7","107.3","108.2","107.1","102.7","104.4","106.4","107.9","109.5","112.7","113.8","117.1","119.2","120.9","122","122.5","100.3","103.4","108.7","109.8","110.9","109.9","106.5","107.3","106.5","105.9","105.3","106.4","102.5","102.2","103.8","104.4","105.7","106.2","108.4","109.4","110.3","111","112.8","115","103.7","105.9","108.2","109.5","110"
"Курская область","98.5","102","103.6","106","105.7","108.4","107.2","108.4","110","108.2","105.5","109.1","104.9","104.5","104.5","106.2","104.3","99.2","99.2","102.3","105.1","106.3","101.6","100.4","100.8","104.5","101","101.8","103.3","103.1","104.7","107.8","108.8","114.1","115.8","117.3","97.5","100.5","102.7","102.4","105.1","104.5","103.5","104.5","101.9","98.8","94.4","86.6","102.3","100.6","101.6","102","103.1","103.9","110.8","113.4","116.2","121.7","120.7","120.5","105.3","112.5","114.4","120.6","124.8","131.6","133.1","138.2","132.7","125.8","118.2","113.3","102.7","108.7","121.4","119.2","119.4","108.8","104.3","105","106.2","105","104.4","102.4","100.6","101.7","103.4","106.6","106.9","108.9","110.1","113.3","114.3","117.5","118.2","117","100.5","103.7","103.3","101.7","103.7"
"Липецкая область","100.1","102","103.6","107.1","111","118.3","115.8","116.2","115.6","115.1","112.8","115.9","102","102.1","102","102.3","99.4","99.2","98.8","99.9","99.9","103","100.9","98.4","103.2","105.9","107.8","110.2","113","113.3","113.3","114.6","114.3","114.6","114.4","112.3","99.3","98.7","99.8","101.8","101.4","100.9","101.6","100.9","99.5","97.4","93.9","91.4","101.9","103.6","105.8","107.6","106.3","106.6","108.3","110.1","112.9","115.4","117.1","120.8","106.1","115","116","118.5","125.4","142.2","146.6","144.2","135","124.9","123.4","127","102.1","102.9","110.3","113.3","110.1","102.4","90.4","89.3","91","90.6","91","89.7","101.8","105.3","106.5","109.3","110.9","112.1","113","115.3","118.2","121","120.6","120.8","100","100.9","102.1","103.7","105"
"Московская область","100.6","102.4","102.4","102.2","102.7","104","104.6","104.8","104.3","104.7","105.2","104.6","99.8","97.9","98.3","97.7","98.2","98.3","98.3","99.3","98.2","98.3","98.4","98.4","102.1","106.2","100.5","101.6","102.4","103.9","102.2","104","103.7","104.2","104","105.3","101.2","101.9","101.8","102.3","102.1","101.9","102.6","103.5","103.9","102.5","102.7","100.8","99.7","99.8","101.1","100.9","101.6","101","101.7","102.3","102.8","103.5","104","103.9","101.3","102.2","102.3","103.3","104.1","105","106.9","106.3","107","108","109","109","102.3","104.5","110.1","113.7","114.4","113","111.2","112.6","112","111.5","111.6","111.8","105.8","108","108.7","109.7","109.9","110.1","110.4","112.2","113.1","115.2","114.9","115.9","99.6","101.1","101.6","101.4","102.4"
