"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Российская Федерация","2052.2","2465.4","2687.3","2425.7","2001.566","2407.161","2654.19","2374.1","1953.4","2420.569","2708.212","2401.425","1958.678","2423.981","2764.97","2465.533","1939.843","2026.612","2536.211","2314.543","2120.648","2663.488","2995.156","2532.521","2237.28","2856.147","3241.072","2690.737","2341.045","2979.894","3091.258","2527.949","2247.057"
"Центральный федеральный округ","593.3","682.1","707.7","658.3","577.022","665.725","730.394","675.6","575.8","701.634","761.247","678.5","584.968","708.392","789.435","740.682","591.317","602.619","748.414","679.836","695.299","789.901","901.46","772.67","751.798","883.359","976.565","851.403","784.974","913.784","934.904","799.753","722.63"
"Белгородская область","19.3","24.2","25.9","22.3","19.583","23.205","25.969","22.9","19.3","24.547","26.946","23.318","18.122","22.861","24.974","21.337","18.36","20.219","22.588","21.791","19.48","22.133","27.705","25.55","20.655","24.617","30.451","25.051","22.485","27.043","27.757","21.755","22.925"
"Брянская область","13.6","17.4","16.3","14.1","12.929","17.309","16.795","13.5","11","14.962","17.032","13.899","11.549","16.141","17.272","13.118","11.602","14.033","16.562","15.456","12.691","16.309","17.149","13.624","11.877","16.157","18.225","15.335","13.027","17.979","17.504","13.868","12.006"
"Владимирская область","17.8","22.3","23.8","22","18.312","22.481","24.18","21.1","17.1","22.719","25.488","20.84","16.149","21.738","24.428","23.256","17.731","20.002","23.373","20.627","17.381","24.78","26.071","21.995","18.986","25.644","29.517","21.214","20.55","26.538","27.031","20.981","19.722"
"Воронежская область","27.4","34.3","36.1","34.8","26.811","31.285","34.535","32.5","26.3","33.227","37.26","34.889","26.224","34.846","38.383","34.886","27.135","29.603","35.411","31.706","27.93","35.054","39.827","35.055","28.912","36.707","43.463","39.74","30.339","38.352","39.125","31.947","28.92"
"Ивановская область","9.7","13.4","15.8","9.9","11.037","13.611","12.173","10.4","8.4","11.467","12.647","10.948","9.221","11.649","13.188","10.385","8.848","11.75","11.531","10.443","9.129","13.708","13.486","11.304","10.211","15.296","16.026","10.907","9.632","14.774","14.26","10.139","9.887"
"Калужская область","13.4","15.4","17","15.5","12.965","16.802","18.565","15.9","13.9","17.26","19.063","17.474","14.569","17.684","19.37","17.497","14.355","15.356","19.225","17.028","15.282","18.477","20.758","19.02","15.865","19.638","23.066","18.388","16.612","21.336","22.007","19.113","16.117"
"Костромская область","8.1","10.5","11","9.6","7.965","10.275","10.437","9.3","8.3","10.312","10.933","8.979","7.431","9.935","10.746","8.772","6.999","9.655","9.508","7.75","6.953","10.638","11.501","8.919","8.641","12.132","12.916","8.902","7.905","11.294","10.471","8.347","8.332"
"Курская область","12.3","15.7","17","14.7","13.349","15.547","15.663","15.1","12.8","16.643","17.326","18.146","13.358","16.405","17.788","14.644","12.923","15.266","18.145","16.121","14.711","18.287","19.919","17.175","14.641","17.512","20.023","17.093","15.725","20.769","20.663","16.626","15.744"
