"region","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель","2024, май"
"Российская Федерация","102.7","97.8","100.1","99.4","101.2","100.6","100.9","99.2","100.1","101.1","99.6","100.9","103.1","102","102.1","104.1","103.3","104.4","104.5","104","103","102.4","103","101.9","100.8","102.7","101.6","101.8","101.4","100.7","101.1","101.6","102.3","102.3","101.5","102.1","103.6","102.8","95.7","62.9","61.9","70.3","79.8","86.8","91.6","90.1","88.9","91.6","91.4","95","105","160.3","161","142","122.7","115.9","113.2","113.5","114.4","111.2","114.7","111.5","107.4","103.2","103.6","103.2","103.9","105.3","102.6","102.4","103.4","103.1","104","105.5","106.2","106.8","108.3","107.8","108.3","108.1","107.2","107.2","106.2","106.8","104","104.6","102.3","104.9","104.3"
"Центральный федеральный округ","101.6","94","97.6","97.9","100.4","100.8","102.2","97.8","97.6","98.5","97.2","100.5","104.8","101.3","102.5","105","102.5","105.8","106.1","105.2","102.8","100.6","101.4","98.9","100.8","105","102.4","103","104.6","102","102.8","105.7","105.7","107.2","106.4","107.9","107.6","106.7","93.5","61.4","55.9","66.7","73.7","81.9","87.3","85.3","84","86.6","84.2","87.6","105.4","168.2","184.1","156.2","136.2","127.6","124.9","122.8","123.8","117.5","125.8","122.6","113.4","103.3","101.5","100.6","104.6","105.1","102.9","103.7","105","106.8","103.7","106.4","107.9","110.1","112.7","111.6","110.5","110.9","111.2","110.6","110.3","109.2","107","106.7","104.8","107.9","105.8"
"Белгородская область","100.7","98.9","101.7","99","105.9","97.5","99.7","99.8","101.1","98.5","100.9","97.2","100.5","100.2","99.7","103.7","99.3","98.5","103.3","101.2","99.7","102.3","100.9","99.5","100.2","101.2","99.6","99.9","98.1","101.7","100.9","99.4","97.7","99.4","105.8","100.1","101.5","102.4","98.6","74.5","78.4","89.6","97.4","97.3","102.7","97.9","91.2","103.3","101.6","99.5","104.1","133.4","123.3","109.6","101.9","101.7","101.7","105.5","103.5","101.9","101.9","101.7","100.4","98.6","101.1","102.7","102.6","103.9","103.6","100","100.7","102","104","105.7","105.7","105.4","105.5","98.6","96.5","99.7","99.1","101.4","103.8","104.3","105.3","104","101.6","102.4","99.1"
"Брянская область","95.7","95","96","98","99.8","100.2","100.8","100.1","102.7","102.6","103.1","101.6","105.1","105.9","104.9","105","104","103.4","102.8","102.4","103.2","105.5","106.5","107.1","99.6","101.5","101.4","103","102.1","99.6","101.3","101.6","100.3","101.5","100.6","100.8","102.7","103.5","99.3","62.3","65","73.7","85","95.9","99.1","96.9","100.8","97.9","96.2","95.1","100.8","160.3","156.3","136.8","118.1","104.4","102.8","103.1","100.1","102.8","101.9","99.7","100.8","100.4","99.5","100.8","100","101.3","100.8","101.2","102.2","103.3","100","100.1","101.7","98.6","98.5","99","99.8","99.9","98.4","99.5","98.7","98.6","102.3","104.1","101","100.3","99.8"
"Владимирская область","101.2","99.6","101.3","97.9","98.5","96.6","95.7","97.4","95","96.2","93.1","99.9","100.9","98.6","95.9","97.6","95.7","94.6","96.5","95.2","96","98.5","99.9","104.3","96.9","95.3","97","103.9","99.8","99.6","100.1","98.6","98.6","102.3","103.6","93.7","99.7","98.5","97.1","65.7","76.3","83.9","85.5","94.6","100.7","95.7","93.5","99.9","91.7","99.2","106.7","152.2","136.7","124","113.7","101.9","98.5","96.7","98.5","99.6","100.1","100.7","97","98.9","99.2","101.8","102.8","102.8","99","99.2","99.9","95.5","99.8","98.2","97.6","97.4","100.6","97.6","103.4","105.4","101.6","101.7","99.4","100.2","104.9","107","102.6","100.8","100.2"
"Воронежская область","105.2","100.9","101.8","103.3","100.5","98.1","100.6","98.7","95.5","99.5","97.3","91.4","99.4","102","99.3","103.2","104.1","98.7","105.1","101","102.8","98.5","98.4","93.6","100.1","100.8","99.5","99.4","100.6","97.3","100.5","99.7","104.4","100.8","99","101.4","100.8","101.6","95.6","63.4","64.7","67.8","68.6","81.2","83.9","84.8","81.2","86.9","86.7","89.6","100.9","146","143.2","138.9","130.4","115.8","114.8","109.1","112.5","106","102.3","101.1","97.5","101.4","100.6","99.3","102.8","103.3","99","100.7","102.1","101.2","103.2","101.5","101.9","96.5","94.3","101.7","99.6","102.2","99.1","99.8","96.5","96.5","98.7","101.9","100","101.5","97.7"
"Ивановская область","101","103.7","109.2","105.8","104.9","100.2","97","94.9","93.9","97.7","99.7","111.2","96.2","101","100.4","99.4","98.9","96.4","98.9","100.1","101.5","101.1","102.2","99.1","100","100.8","100.9","104.1","100.2","101.5","102.4","100","98.2","96.4","95.1","94.5","100.9","97.5","95.1","63.8","73","81.7","88.1","87.9","90.9","94.1","89.6","97.4","89.2","92.7","98.5","149.4","127.9","119","103.3","106.5","108.2","102.1","108.4","99","100.2","102.6","101.8","99.8","104","103.5","106.8","106.9","100.8","104.3","104.8","105.2","106.8","103.5","105.4","101.4","105.6","102.7","102.6","102.4","105.1","102.8","101.9","107.7","102.7","107.5","100.2","101.8","99.6"
"Калужская область","100.8","98.1","100.3","100","101.8","96.5","100.2","98.2","99","96.2","99.1","100","99.6","98.9","98.7","100.7","98.7","99.7","98.7","103.4","102","101.2","100.8","104.5","100.9","104.1","102.5","99.5","98.4","98.7","103.3","101.8","103.1","103.5","101.3","96.8","105.6","101","97.4","65.1","69.5","78.1","92.4","94.5","96.9","94.4","97","99.7","98.6","101.1","109.5","159.3","148.7","134.8","110.4","109.9","107.1","110.4","111.8","104.7","102","104.9","101.6","99.6","100.8","101.4","99.5","100.9","100.1","102.7","103.5","105.1","102.8","101.7","103.2","105.6","104","105.2","107.3","104.7","105.9","103.5","100.3","105.3","106.9","107.9","102.6","104.4","107.3"
"Костромская область","102.1","98.9","98.2","98.9","95.9","98.5","101.1","99","99.1","100.4","100.6","92.7","100.3","100.3","100.9","103","101.9","97.1","98.6","98.5","100.2","101.3","101.5","102.4","105.3","106.5","101.1","100.3","99.3","97.9","97","99.9","99.8","99.6","99.5","100.4","99.1","100.2","101.8","77.2","78.4","81.7","84.6","87.8","91.7","92","93.6","101.7","101.1","105.2","108.1","129.8","124.1","119.7","104.5","100.8","101.9","106.4","106.1","103.1","107.1","107.9","102.8","105.7","106.7","105.2","104.4","99.7","99.5","96","98.2","98","100.3","96.9","100.8","102.1","104.5","99.9","104.5","105.7","101.6","101.2","99.8","103.4","100","105.3","103","100","98.6"
"Курская область","102","97.6","100.9","99.8","103.6","99.5","98.9","98.6","98.5","98.2","97.9","95.6","99.9","101.5","100.7","103.9","100.3","98.9","99.9","99.7","96.9","97.1","98","98.8","98","100.7","98.5","99","99","98.3","98.2","97.7","99","97.3","97.4","99","99.6","98.9","98.4","65.9","74.9","82.7","92","95.5","95.5","91.5","90.6","93.8","97.2","98.2","102.6","145.6","127.4","113.1","99.4","97.4","101.1","106.1","104.5","101","99.2","99.1","97.2","97.6","100.6","98.2","99.8","99.4","96.2","95.3","97.3","94.1","98.5","98","101.7","100","101.2","100.6","99","99.9","97.5","96.6","94.7","98.1","102.5","104.4","100.8","104.5","102"
