"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель","2024, май"
"Российская Федерация","101","101.6","102.1","102.5","102.9","103.3","103.9","103.9","104.1","104.5","105","105.4","100.6","100.8","101","101.3","101.7","102.3","102.4","101.8","101.7","101.9","102.1","102.5","100.3","100.5","100.8","101.2","101.6","102.1","102.4","102.4","102.5","102.9","103.4","104.3","101","101.5","101.8","102.1","102.4","102.5","102.7","102.4","102.3","102.4","102.7","103","100.4","100.7","101.3","102.1","102.4","102.6","103","103","102.9","103.3","104.1","104.9","100.7","101.5","102.1","102.7","103.5","104.2","104.5","104.7","105.3","106.5","107.5","108.4","101","102.2","110","111.7","111.8","111.4","111","110.4","110.5","110.7","111.1","111.9","100.8","101.3","101.7","102.1","102.4","102.8","103.4","103.7","104.6","105.5","106.6","107.4","100.9","101.6","102","102.5","103.2"
"Центральный федеральный округ","101.1","101.7","102.2","102.7","103.3","103.7","104.4","104.5","104.6","104.9","105.4","105.9","100.7","101","101.1","101.5","102","102.8","103","102.2","102.1","102.4","102.7","103.2","100.4","100.5","100.9","101.4","101.9","102.5","102.8","102.7","102.8","103.2","103.8","104.7","101.1","101.5","101.8","102.1","102.5","102.6","102.8","102.5","102.3","102.4","102.7","103","100.4","100.7","101.2","101.9","102.3","102.6","103","102.9","102.8","103.2","103.8","104.7","100.8","101.5","102.2","102.7","103.5","104.3","104.6","104.7","105.4","106.4","107.5","108.3","101","102.4","109.9","111.9","112.1","112","111.5","111","111.1","111.2","111.6","112.5","100.9","101.5","101.9","102.3","102.7","103.2","103.8","104","104.8","105.5","106.8","107.4","100.8","101.5","102","102.6","103.7"
"Белгородская область","100.9","101.2","101.7","102.1","102.4","102.7","103.4","103.3","103.5","103.6","103.9","104.4","100.3","100.7","100.6","100.8","100.9","101.5","102.1","101.4","101.1","101.1","101.3","101.5","100.3","100.4","100.8","101.2","101.7","102.3","102.7","102.7","102.7","103.2","103.7","104.4","101.3","101.7","102","102.3","102.6","102.5","102.9","102.5","102.4","102.4","102.6","102.8","100.5","100.7","101.3","102.3","102.7","102.8","103.4","103.3","103.4","103.7","104.3","104.9","100.7","101.5","102.4","103","103.7","104.4","105.1","105.5","105.9","107.2","108.4","109.1","101","101.7","108.9","111.3","112.6","112.3","112.3","112","111.8","112","112.2","112.8","100.9","101.6","101.6","102","102.9","103.2","103.6","103.6","104.3","105.3","106.3","107","100.8","101.5","101.9","102.4","103.2"
"Брянская область","100.7","101.3","101.7","102.2","102.4","103","103.8","103.8","104.3","104.9","105.7","106.1","100.7","101.2","101.1","101.5","101.9","103","102.7","101.8","101.4","101.9","101.9","102.8","100.2","100.4","100.7","100.8","101.3","101.8","101.8","101.7","102.2","103.1","104","104.9","101.6","101.9","102","102.3","102.4","102.3","102.5","102.2","102.2","102.8","103.1","103.6","100.3","100.6","101.3","102.1","102.5","102.9","103.3","103.1","102.9","103.9","104.6","105.2","100.7","101.5","102.5","103.2","103.5","103.8","104.1","104.6","105.4","106.9","108","109.3","101.5","102.6","108.2","110.8","111.8","111.6","111.5","111.3","111.6","112.3","112.7","113.8","100.8","101.3","101.8","102.3","102.3","102.6","103.4","103.4","104.3","104.8","106.2","107.3","101","101.3","101.9","102.3","103.2"
"Владимирская область","100.8","101.4","101.8","102.2","102.6","103","103.6","103.6","103.6","104","104.4","105","100.6","101","100.8","101.5","101.9","102.4","102.5","101.9","101.6","101.8","101.9","102.3","100.4","100.5","100.7","101.2","101.5","102.1","102.3","102.3","102.6","103.1","103.9","105.2","100.9","101.2","101.6","101.9","102.3","102.4","102.6","102","101.5","101.8","102","102.2","100.8","101.1","101.9","102.8","102.9","103.2","103.7","103.3","103.3","103.8","104.5","105.6","100.5","101.4","102.1","102.9","103.8","104.3","104.6","104.9","105.6","107.2","108.2","109.2","101.1","102.5","111.2","113.2","113.5","112.8","112.2","111.8","111.7","111.7","112","113.2","100.7","101.4","101.8","102.5","102.5","102.8","103.7","104.1","104.8","105.9","107","107.9","101.3","102","102.1","102.5","103.1"
"Воронежская область","101","101.6","101.8","102.2","102.6","103","103.6","103.7","103.9","104.3","105","105.5","100.4","100.6","100.6","101","101","101.6","102","101.3","101","101","101.2","101.5","100.3","100.5","100.8","101.2","101.5","102","102.3","102.3","102.5","102.9","103.5","104.6","101","101.2","101.4","101.7","102","101.9","102.2","101.9","101.7","101.9","102.4","102.6","100.7","101.1","101.9","103","103.6","103.8","104.2","104.2","104.3","105.1","105.9","106.9","100.7","101.6","102.3","103.4","104.1","104.7","105.3","105.8","106.7","107.9","108.5","109.3","100.9","102","109.7","112","112.5","111.9","111.1","110.6","110.7","111.3","111.4","112.3","100.8","101.1","101.3","101.8","101.6","101.8","102.4","102.7","103.9","105","106","107","100.7","101.2","101.6","102","102.5"
"Ивановская область","101.2","102.4","102.8","103.3","103.8","104.2","104.8","104.5","104.4","105.2","105.7","106","100.7","100.8","100.8","101.3","101.8","102.7","102.5","102.2","102","102.2","102.3","102.9","100.2","100.5","100.9","101.2","102","102.3","102.6","102.6","102.9","103.4","104","105.1","101.2","101.5","101.8","102.1","102.6","102.4","102.7","102.1","102","102","102.4","102.9","100.5","100.9","101.8","102.7","103","103.2","103.7","103.7","103.6","104.2","104.9","105.8","101","102","102.6","103.4","104.3","105.1","105.5","105.8","106.3","108","108.9","109.9","101.2","102.4","111.6","114.3","114.3","114","113.2","112.4","112","112","112.5","112.7","101.2","101.9","102","102.3","102.4","102.8","103.4","103.9","104.8","105.6","106.8","107.6","101.4","101.9","102.2","102.3","102.9"
"Калужская область","100.8","101.2","101.7","102.4","102.3","102.7","103.1","102.9","103.4","104.3","105","105.7","100.6","100.9","101","101.6","102","102.7","103.1","102.6","102.5","102.8","103","103.4","100.5","100.5","100.9","101.1","101.7","102.2","102.3","102.2","102.4","103","103.6","104.6","101.1","101.4","101.7","102.1","102.1","102.1","102.1","101.6","101.6","101.6","102.2","102.7","100.1","100.8","101.3","102.7","102.8","103.1","103.2","103.2","103","104","104.6","105.7","100.8","101.7","102.5","102.9","103.8","104.7","104.8","104.6","105.5","107.2","108.1","108.9","101.4","102.7","112.4","115.2","115.3","115","114.5","113.6","113.5","114.1","114.5","115.6","100.8","101.3","102","102.3","102.8","102.8","104","103.9","104.8","105.6","107","108.1","100.3","101.2","101.9","102.4","103.1"
"Костромская область","101.2","101.9","102.7","102.8","103","103.5","104","104","104.2","104.9","105.6","106.1","100.4","100.7","100.8","101","101.1","101.5","101.8","101.3","100.9","101.1","101.3","102.1","100.4","100.6","100.8","101.2","101.7","102","102.4","102.5","102.6","102.9","103.5","104.6","100.8","101.3","101.4","101.9","102.5","102.5","102.9","102.7","102.6","102.8","103.3","103.7","100.3","100.8","101.2","101.9","102.3","102.6","103.2","103.1","103","103.5","104.3","105.2","100.8","101.8","102.4","103.4","104","104.7","104.9","105.1","105.6","106.9","107.9","108.5","101.5","102.4","110.4","112.2","112.5","112.6","112.6","112.6","112.7","113.2","113.7","114.7","100.9","101.5","101.8","102.1","102.4","103.2","104.1","104.9","105.6","106","107.2","108","100.9","101.6","101.9","102.4","103"
"Курская область","100.9","101.5","102","102.4","102.8","103.2","103.8","104","104.1","104.9","105.5","105.8","100.3","100.3","100.4","101.2","102.2","102.8","102.4","101.3","100.8","101","101.4","102.1","100.4","100.8","101.2","101.9","102.5","103.2","103.3","103","103.3","104.2","104.6","105.7","101","101.3","101.8","102.3","102.9","103","103.2","102.8","102.6","102.7","102.8","103.2","100.5","100.8","101.4","102.8","103.2","103.7","104.2","103.7","103.4","104","104.9","105.8","100.9","101.8","102.5","103.2","104.2","104.8","105.3","105.4","106.4","107.9","109","109.8","101","101.9","110.1","112.5","113.7","113.2","112.8","112.2","112.2","112.3","112.3","113.3","100.9","101.2","101.5","102.3","102.7","103","104","104.6","105.6","106.2","107.2","107.9","100.9","101.6","102","102.6","103.2"
