"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель","2024, май"
"Российская Федерация","99.1","102","100.9","99.8","100.4","101.1","100.4","102.2","102.5","103","105.2","103.9","106.6","101.6","103.6","104.3","106.3","105.5","104.6","105.1","104","102.3","101.1","100.3","102.7","103.2","102.7","103.2","103.5","102.1","103.5","102.8","102.3","105.3","104.4","106.4","102.7","104.2","102.7","105.2","101","103.2","104.3","103.9","105","104.4","101.5","102.6","101.6","105.1","102.8","95.6","92.3","93.4","94.4","96.1","96.5","94.7","99","103.7","98.2","97.3","102.8","108.8","112.9","111.3","107.7","105.4","107.8","108.2","107.8","107.5","109.1","106.6","103.6","98.3","98.7","98.8","100.6","100.9","98","98.5","99.8","97.8","97.1","98","100.7","104.9","106.5","105.7","105","105.6","105.7","105.3","104.5","102.7","104.6","108.5","104","103.9","105.3"
"Центральный федеральный округ","94.1","98.6","92.8","94.9","104.8","100.4","91.9","106.7","99.1","95.6","99.2","104.3","115.1","93.2","92.5","96.1","97.1","103.9","107.1","109","103.1","108.6","101.1","100.8","97.7","116","116.4","103.4","106.8","107.5","103","101","102.3","101","95.8","96.4","100.4","109.4","98.6","113.7","100.4","97.1","96.6","98.4","98.4","90.9","101.1","109.6","121.8","120.9","116.4","99.3","102.8","105.7","112.8","111.8","105.4","104.8","114.1","112.2","110.5","111.1","115.7","133.5","121.6","124.7","121","112","125.6","115.8","121.6","129.3","121.4","115.1","108.5","110.8","110.9","107.1","102","115.4","112.6","107.5","100.3","100.7","100.3","105.8","112.4","107.7","118.9","115.1","116.7","113.5","118.3","117.5","117.5","115.6","113.4","116.8","111.7","113","116.8"
"Белгородская область","99.4","94.8","99.3","92.9","101.6","107.6","100.1","101.2","108","101","105.5","114.9","105.7","108.5","104.8","110.1","101.9","102","108","106.9","102","107.3","105.6","99.5","102.4","102.1","105.3","105.6","107.2","103.4","104.5","99.3","101.3","101","101.7","96.6","102.2","104.4","102.8","102.9","102.3","101.9","104.6","107.1","105.5","105.3","103.1","104.7","103.1","104.9","102.2","100.8","99.7","101.1","98.9","100.6","101.2","97.1","97.9","98.8","101.8","98.9","104.5","103.3","103.6","103.9","102.9","105","101.9","110","107.4","108.6","107","105.5","104.2","102.3","106.7","103.2","105.1","102.7","99.7","93.6","98.6","99.6","100.3","102.2","100.4","102.8","101.9","100.4","100.6","98.2","107.9","109.4","108.4","110.3","104.4","110","101.1","102.8","103.4"
"Брянская область","108.8","122.4","99.1","97.9","101.1","92.6","93.8","86","97","100.3","105","94.8","106.1","100.1","103.2","101.2","108.1","104.6","106.3","105.3","107.4","108.1","94.6","103.9","107.2","105.5","110.7","98.5","106.7","105","100.6","100.1","102.8","102.7","100","99.9","104.4","115.9","107.2","128.4","115.6","113","117.6","115.3","120.6","117.8","113.2","123","106.6","106.2","107.5","90","89.7","96.3","97.3","108.6","100.5","105.5","102.4","113.7","100.9","103.5","110.1","121.4","121.4","120.6","121.3","110.6","108.5","103.9","116.1","109.8","116.7","112.7","108.6","141.1","117.6","96.8","93.4","119","99.5","145.6","109.5","174.2","102.1","104.6","112.1","85.2","119.6","150.9","136","118.7","194.4","86.3","102.5","103.5","119.7","166","105.8","105.7","91.1"
"Владимирская область","96","96.3","96.9","99.7","101.7","100.1","101.5","105.6","108.6","106.8","88.8","117.2","93.9","98.7","118.4","103.3","96.1","106","112.6","100.5","95.8","107.6","108.1","96.9","111.1","110.9","90.5","119.2","110.3","102.5","112.4","109.6","109","100.1","96.3","97.6","123","111.6","102.6","108.7","121.3","111.5","106.6","102.1","120.3","120.7","111.7","114.4","98.5","123.7","124","99.6","102.9","106.6","120.1","129.4","119.6","101.4","100.2","119.2","119.4","105.4","117.5","115","108.8","110.9","108.9","98.8","99.9","108","105.5","106.8","112.2","103.8","111.8","111.6","108.9","110.5","104.7","109.6","108.5","106.2","101.9","98","98.3","107.8","98.3","97.5","112.4","105.9","110.2","115.5","103.6","109.2","106.5","113.1","117.6","114.7","112.7","119.4","119.5"
"Воронежская область","97.6","105.6","96.4","99.9","99.2","97.7","102.5","121.7","111.8","102.6","101.1","110","113.1","99.6","101.8","105.9","77.3","111.3","101.4","103.8","96.2","96.9","108.4","105.1","107.2","100.8","94.5","93.7","105.3","100.5","104","102.4","101.8","113.5","104.5","93.5","103.3","105.4","107.9","113.7","100.4","101.5","117","117.9","117.3","111.3","112.1","124.8","117.5","115.9","117.3","101.8","105.8","110.1","116.7","120.3","95.7","102.3","98.4","114.5","96.8","107.9","108.5","113","107.2","108.3","88.2","91.3","109.7","103.3","113.8","115.2","104","100","99.1","102.4","103.2","97.3","105.6","107.1","94.6","94.3","92.6","87.4","100.1","104.1","108.3","102.4","103.2","111.2","104.3","110.3","119.3","116.7","105.6","107.2","107.5","101.1","96.4","102.7","102.2"
"Ивановская область","109.5","98.3","121.3","100.8","110.6","106.2","95","103.3","105","109.9","102.7","112.7","96.8","108.5","86.4","99.2","109.3","105.9","111.6","109","95.4","94.8","104.6","88.7","102.2","103.8","108","102","92.3","94.9","98.6","101.9","99","105.2","98.4","116.2","92.5","94.3","94.5","104.9","97.3","98.8","112.9","105.2","115.5","109.5","106.3","102.1","114.7","115","103.5","82.7","99.8","113.7","104.8","112.4","113.9","107.1","110.6","121","103.6","109.9","119.3","143.4","122.5","108.3","102.9","97.9","103.9","104.1","104.1","100.3","112.7","100.9","104.4","97.4","97.8","98.2","96.7","105.8","102.9","101.4","102.3","101.3","92.6","94.2","98.6","94.6","106.5","103.8","113.1","106.8","100.7","104.5","104.7","108.9","107.5","110","104.6","108.2","105.4"
"Калужская область","86.8","91.3","92","98.4","115.8","106.3","98.1","129.7","112.8","99.7","120.5","134.7","125.2","102.9","119","120.3","120.3","109.5","129.8","120.6","117.9","124.5","125.1","116.3","123.7","119.9","108.9","113.3","117.6","111.1","104.9","115.3","104.4","113.2","88.8","107.4","105.4","112.7","111.3","105.4","94.4","108.1","113.6","99.4","112.2","107.8","110.1","93","97.2","93.5","97.2","72.1","97","96.7","114.2","93.6","104.6","107","116.3","115.6","95.3","106","114.3","157","118.3","117.6","91.3","117","114.9","101.9","88","98.6","126.6","115","89.8","81.7","81.1","79.8","85.2","82.6","75.4","70.4","76.2","82.8","72.6","77.6","93.1","97.7","108.3","109.4","115.5","100.5","98.6","109.9","129.3","101.5","112.7","138.8","96.2","125.5","124.1"
"Костромская область","92.5","96.2","107.8","99.1","98","104.8","93.3","93.6","108","101.2","104.2","101.4","108.6","113.1","107.4","108.8","105.9","106","103","104.9","97.2","113.8","110.4","106.3","99.4","92.5","95.8","96.5","97.9","92.1","97","94.2","99.3","98.5","102.3","98.3","103.4","115.9","115.2","119.3","111.1","107.1","113.8","108.5","119.8","98.3","92.5","98","91.4","82.4","82.6","68.9","71.3","85.8","93.3","99.8","94","94.2","103.7","112.8","117.2","121.7","121.8","142.6","137.4","125.9","113.7","110.2","89.5","102","104.2","99.5","97.8","99.4","93.2","92.5","83.9","86.4","82.5","84.7","103.2","99.6","91.7","96.4","93.5","98.3","109.2","104.7","119.5","123.1","107.3","102.6","97.9","112.1","109.9","97.5","101","100.4","97.8","118.3","120.4"
"Курская область","95.2","102.9","104.4","107.7","109.7","106","97.2","100.7","105.4","110.1","100.3","131.3","115.6","109.1","107","82.7","102.3","105","100","120","101.5","95.3","107.4","99.8","101.2","97.7","101.6","103.9","121.8","101.2","103.9","85","107","105.4","95.7","95","99.3","101.4","94.1","121.2","86.7","95.4","107.4","102.9","100.8","101","104.6","116.6","107.8","105.5","103.3","83.4","92.4","99.5","96.9","118","95.2","107","102.4","120.9","104.7","105.4","113.9","122.2","119.2","116.7","107.2","90.3","110.3","102.3","108","103.5","103.4","110.1","99.5","99","93.9","94.4","89.3","95.6","93.6","92.6","100.2","75.1","102.2","97.7","107.4","101.7","116.2","115","132.1","117.7","109","109.5","101.1","111.4","105","117.6","102.6","107.4","100.1"
