"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель"
"Российская Федерация","352022","1014047","2515556","3581413","4317948","5688623","6014397","6969848","8171475","9030831","10023794","11587706","982749","1649419","2701370","3224478","4025238","4965856","5589826","6382696","7385786","8471685","9414626","10320528","1052959","1739796","2531101","3543716","4885762","6371700","7578642","8571961","10151737","11551557","12842222","13797163","1264531","2472383","3861187","5454456","6742952","8040521","9110975","10276949","11689205","13001948","14267422","15758426","1238745","1847423","1569933","2509116","3245992","4308912","5370263","6502837","6972917","8425214","10283287","12421071","1359404","3116108","4990295","7277361","9466205","11600668","14368110","16924597","19559979","22443408","25652315","29649744","3002259","5113801","7120630","11439032","14590239","16588002","18779880","20884453","20156102","21813395","23743623","25925459","2336856","4155506","6027547","9019434","11828090","14802847","18569461","21417157","26065392","29010892","32071807","33306295","2379103","4619392","6648903","10049509"
"Центральный федеральный округ","107894","340303","1098802","1484396","1738933","2387995","2393448","2783019","3250917","3599193","3903618","4851225","471440","553529","1097296","1061003","1371541","1813287","2045347","2316491","2693917","3091952","3439467","4011526","393731","574963","919893","1299140","1738051","2433715","2913581","3187850","3704246","4191456","4637491","5213436","420360","840645","1477281","2070075","2473605","3110788","3503828","3823362","4422153","4925607","5439351","6596294","530836","582323","263958","677401","968454","1352066","1799864","2244909","2421093","3054552","3936524","4534374","550317","1408374","2265478","3294833","4198117","4969903","6354782","6328764","7557587","8416630","9389630","10512116","905798","1606707","1646818","3134345","4144716","5416993","5935112","6613607","6661314","7579788","8459510","9616447","902032","1559727","2447767","3696176","4885262","6544868","7726804","9203574","11479465","12456867","13711155","13825279","882294","1680555","2653123","4008303"
"Белгородская область","-618","5070","30616","44055","49438","112749","116557","126909","176955","190488","205992","213778","12553","24059","37870","51061","60408","82392","106599","130649","145314","159029","166324","138352","14691","27062","40307","53856","67895","86501","115621","129784","151755","171068","193805","206666","17721","32709","49107","67060","86497","104386","124403","141621","162895","177523","190627","198339","12153","18201","156731","179950","199363","213231","225657","244437","272416","305038","335967","361111","29169","65217","136680","175971","223793","303510","733307","785759","834396","870958","906393","935400","32963","70019","118155","147193","173539","166887","194027","204037","210556","235594","250358","226043","13717","30908","69525","94905","120569","147058","167710","199853","230429","266211","296693","329059","25682","52889","84973","117213"
"Брянская область","572","2561","2993","2781","3564","7528","8082","9856","10873","15990","18748","16516","1160","3917","5619","8317","9685","10865","12057","14898","23556","23298","22541","16865","-2488","-2382","-1942","-1238","-174","2471","5042","2659","7574","9439","9641","3972","6655","12067","18989","21899","23317","27065","27903","24061","26591","29817","29604","28574","-467","-215","1762","2782","6125","7894","10378","11150","15004","16816","17799","23964","-128","305","3265","10008","12509","18492","20668","22969","30669","34982","35526","39460","808","2536","10072","12419","13385","23132","26515","29544","31608","34465","37690","44831","3580","6666","13236","21167","24126","27552","31612","39155","45828","51785","59571","64338","4376","11356","17835","34892"
"Владимирская область","4949","5645","9126","11718","14392","20933","22261","25234","29252","26284","30763","37091","1768","2704","4881","6574","7602","12967","15059","17647","22034","30113","32579","34294","2123","4908","6449","9876","14014","16413","19155","23567","32222","35958","43012","43031","2564","5855","9138","11288","16542","21988","25917","29647","36754","42051","53257","55382","4364","11061","12710","21322","26248","27874","33928","40717","45970","53037","61564","66186","7343","22028","32188","42315","53856","64164","77340","66737","100009","118960","136762","143225","5792","9879","26398","32891","40081","43954","53118","61068","102047","93277","155398","165501","8463","18070","31182","37788","47342","53929","78704","89917","96682","104988","115810","119687","11723","21456","30409","39546"
"Воронежская область","3067","6319","12283","16621","19280","25244","26833","30966","36170","38723","38807","40234","2027","3164","4264","7087","9984","13269","17229","20826","23771","26646","28750","32700","2290","3639","7345","8647","11971","17450","18664","23144","27231","31831","37184","41580","3079","5502","9260","12315","14880","17192","19716","22185","26588","28196","29854","25707","2670","5295","10163","13446","15902","22469","26455","30574","42060","50133","58518","61669","5369","10134","20651","28304","34674","44867","50459","55650","68553","77240","88682","107173","12589","21719","37242","49649","56488","65508","75497","83121","90253","101831","109542","124005","8586","16046","28670","35546","42029","54360","60384","66374","89033","105123","113102","135550","9014","15604","31578","41588"
"Ивановская область","-172","-157","-761","-355","-119","-49","333","309","611","782","935","1299","40","326","-14","714","1267","1192","1438","1850","2987","3049","3265","3038","390","564","816","1099","1504","-1742","-1620","-1365","-798","-554","-315","130","386","711","1496","1934","2614","3073","3430","4073","4622","5074","5257","2463","493","1027","1886","2062","2491","3566","4116","4480","6399","6177","7153","6614","818","1733","4060","4536","5257","6176","6666","7715","10276","10599","11631","13287","1188","1767","3800","4550","5948","8930","9489","11314","12459","13379","14170","16767","1467","2594","4923","7167","8815","12379","13516","16226","18505","21917","24114","26581","2198","4371","6452","8610"
"Калужская область","-2063","-2341","4607","9434","9711","13589","16679","15180","21340","25427","29466","31527","2678","5749","11909","16241","18034","24034","24415","30663","38824","46331","51772","56668","3535","8337","14371","16829","20433","24169","30051","28757","34973","45925","50293","53236","8368","13555","20109","29452","30327","29117","43004","44418","52444","58487","60657","72852","8361","9160","1306","5428","10760","12416","12446","15206","10794","16927","22708","27216","1767","10108","15951","25321","28836","40068","47603","52627","61632","60212","71626","73594","7867","9154","15679","29620","35602","46034","36913","36271","46587","45221","51605","41337","4586","-5784","-9598","-8440","3856","-800","-3765","1663","5626","15720","30026","30800","5309","6431","12359","28213"
"Костромская область","311","1456","4363","5907","6891","7778","8072","9278","10229","11582","12239","13652","514","1490","2625","3083","3731","3288","4132","5349","6728","7603","8108","8532","192","917","2167","2283","2969","3668","4260","4519","5241","6263","7037","7675","782","1636","3115","3816","3771","5673","353","1157","2479","3037","3685","3744","894","1440","2758","3064","3913","5710","6590","7485","8697","10054","11302","10630","1125","2013","3818","5170","6579","8907","11018","13269","15973","17977","19312","19934","1791","3216","5189","6812","7299","6749","7638","8232","10505","11753","12975","15574","1137","2760","4499","6655","7648","10198","11384","14410","14350","14568","16121","21805","1430","2986","5150","6463"
"Курская область","4180","6244","7208","13362","18276","22692","25213","29512","35923","40719","46178","53621","6892","11775","14573","20646","25739","28633","32811","38497","44789","50403","56084","61085","6269","11243","14303","19832","24800","29804","37869","43843","53505","64103","72610","78665","7453","15288","24119","33049","41449","48757","57093","66340","73693","78547","82580","87395","7703","12223","17420","22241","22823","28205","38293","47668","57658","72995","88184","99052","11898","26990","47919","62911","82853","100970","122994","146109","168543","187407","204531","232609","9124","34658","57557","76320","90041","92149","95092","100260","106211","113403","119226","119054","5626","9807","17048","24974","32388","43607","50112","61449","73756","86887","100173","111645","7856","16793","28224","35257"
