"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель","2024, май"
"Российская Федерация","300251.4","657664.8","1122347","1582356.3","2061915.4","2689056.4","3324731.4","3971301.4","4672309","5413684.7","6193841.2","7213464.2","344901.6","710536.4","1216255.9","1712819.1","2247108.7","2932404.4","3601766.7","4320316.4","5104464","5855129.9","6602071.1","7579837.9","420393.7","835523.3","1369300.3","1954727","2564056.3","3312816.6","4078324.8","4847260.3","5691156.9","6513930.8","7332497.4","8470580.5","401164","838005.7","1419581.3","2051921.8","2714595.5","3531183.7","4372715.1","5211062.2","6153202.2","7083308","7934446.2","9132153.1","438563.4","929182.6","1551781.1","2181388.3","2856380.4","3694305.1","4563661.6","5447719.9","6478447.3","7459090.6","8381491.5","9686256.6","465759.6","967989.3","1657932","2379854.4","3152658.4","4132187.5","5100097.4","6110265.1","7240158.5","8335657.6","9467558.8","11047948.2","535628.2","1133261.9","1959959.4","2874884.1","3776675","4914011.6","6069711.9","7288592.5","8585520.9","9919035.1","11263939.7","13149369.5","652894.6","1377542","2306867.8","3301435","4395220.3","5707165.8","7034492.3","8410229.6","9888477.3","11350259.1","12894570.9","15092344.9","731862.7","1554969.2","2579293.4","3704805.9","4974693.3"
"Центральный федеральный округ","67552.8","151575.9","251481.8","356602.2","469342.3","607435.5","753796.8","894193.3","1044612.2","1214278.8","1374343.6","1842119","93290.2","197646.4","327243.1","455225.5","601232.8","775336.3","945189","1141752.6","1337858.6","1532601.1","1741775.4","1984091.3","124054.7","228113.7","358018.4","507460.5","670263.6","855139.9","1059660.2","1255277","1454671.8","1664772.7","1873500.6","2157211.6","117115","230816.4","373972.3","523944.8","696734.8","914094.1","1135017.4","1343917","1577849.7","1801133.3","2019596.5","2356914.4","117299.7","237840.3","396900.6","544471.9","709788.9","929702.4","1167263.3","1396946.3","1695484.5","1979855.5","2263929.1","2626914.8","144026.7","288095.1","467635.3","643670.2","849055.5","1096119.8","1351140.4","1605973.9","1894042.2","2185583","2481351.7","2914419.4","144072.6","309797","528919.4","758309.9","1007135.1","1318819.9","1638084.9","1954821.9","2307748.1","2674314.9","3029665.4","3545934.1","183141.4","376619.3","617831.6","882221.1","1173736.3","1524140.1","1882950.1","2243239.8","2623791","3022779.9","3423436.3","4004988","206345.3","423257.6","671759.3","966221.1","1281250.2"
"Белгородская область","2912.6","6078.1","8722.7","12174.3","17015","21874.5","28537.5","34830.2","40317.2","44473.4","48335.2","70984.8","6259.4","10467.2","13850.8","19089.2","25602.4","33869.6","41557.8","52217.2","63179.4","71664.4","79093.4","88591.8","7318.2","11578","17284.5","23860.2","30803.3","38683.2","48202.5","57613.6","64818.2","77138.4","83904.1","92638.3","7477.9","15502.3","20579.6","28134.8","36513.3","47119.4","58823.2","69251.9","80034","91375.7","102215.4","118522","8753.4","18643.2","27169.3","40293.4","51555.2","61726.6","71535.6","81853.6","91602","105239.7","115117.8","127125","10628","16340.7","22513.7","30525.9","40199.5","51730.8","61745.6","73486.9","84329.7","96263.5","108482.3","123674.3","5288.2","12385.6","22653.2","31472","44091","60062.2","75081.9","88450.9","103839.1","117734.3","131091.3","146082.5","6218.1","14315.9","26898.8","35938.6","50600","66935.8","85551.4","100789.4","119003.3","136802.2","154821.9","182543.4","13166.8","26056.2","42435","60342.5","78439.8"
"Брянская область","977.5","1822.8","3477.2","5026.6","7230.5","9597.3","11842","14369.7","16668","19407.1","22850","27764.4","1741.3","2970.6","4335.7","5897.1","8706.8","11684.4","14125.5","17794.6","20156.6","22989.5","24986.4","28564.6","774.3","2126.1","3542.3","4638.4","6879.4","9720.7","12258.3","15247.2","17283","19882.2","22585.2","25316.5","729.9","1399.3","2053.2","3519.8","6367.5","9299.2","12397.2","16450.6","19736.7","22412.6","25681.5","30335","612.6","1848.3","3240.3","4808.7","7414.4","10423.8","15444.4","20551.8","25913.6","31547.3","36232.9","40518.5","3037.1","4560.9","8182.9","10601.3","14580.6","18783.3","23140.3","26725.2","30416.4","35724.4","40267.6","46429.6","1434.5","3526.4","7996.3","11014.9","14208.3","18968.2","22423.3","27379.5","32906.8","36346","39906.7","46223.4","1263.5","3047.9","5641.3","8196.1","11718.6","14979.1","23478.2","27983.5","32934.1","36227.1","41180","46338.8","1424.8","4116.8","6553.6","8505.3","11932.2"
"Владимирская область","1248.1","2344.3","3839.2","5680.6","7939.6","11454.3","15143.1","18468.8","23130.6","26376.4","29517.1","34277.7","1268.7","2402","4395.2","5352.8","7854.4","14666.5","17393.8","21583.2","26402.2","30108.5","33882.6","37927","1417.4","2599.9","4127.6","5804.9","7999.4","11760","15846.9","20620.9","25308.3","31080.3","35358.6","40515","2132.7","4047","5744.1","7487.8","10734.5","15277.6","19451.1","23257.3","28191.5","32740.8","37291.6","42923.9","1137.4","2485.4","4217.9","6751.3","10701.4","16058.9","21615","26022.5","29937.4","35078.5","39553.8","43864.7","1704.6","4127.2","7515.4","9962.5","14640.6","18624.2","23233.8","29026.9","35577.2","41625.2","46386.2","64536","2900.8","6160.1","10214.4","17072.5","24886.7","32768","44517.3","55478.8","67998.1","77852.6","87206.7","96585.7","3324.2","10342.3","17865.5","25408.2","37440.7","49047","59383.1","69857.2","82756.9","92371.6","104616.4","111312.7","5359.2","12799.9","18625.6","25000.5","31890.9"
"Воронежская область","3289.8","6093","10329.9","14582","18777.8","24012.4","30152.3","37026.3","44453","51318.9","56415.9","100403.6","6008","12771.1","19686.6","28132.7","36299.2","47726.5","56169.1","64417.2","75431.7","86198.8","96192.1","107531.1","5172.9","10875.1","16312.6","26831.9","34683.2","47665.9","61980.7","72646.6","85885","98900.5","113813.9","128660.8","3701.6","8223","15942.4","23601.2","33035.5","49855.8","58527.8","69137.9","84073.1","96026","105517.9","136924.6","4386.6","9773.1","16530.1","24283.7","32406.1","50155.8","60335.9","67521.5","102601.6","110426.6","121834.1","133017.8","5274.4","12815.1","20979","27348.2","34185.5","43867.7","52345","64755.8","81251.3","91081","105977.5","122778.5","2490.9","5606.3","13119.1","22788.9","33400.3","47139.4","59156.7","75024.4","90534.3","106633.2","119400.1","138126.7","5734.5","11278.1","18097","25228.1","40011.6","56940.4","73407.7","91530.2","109474.1","131710.9","149773.5","173876.5","6840","14161.9","22803.9","37069.8","54567.1"
"Ивановская область","804","1225.4","1768.7","2776.9","4197.7","6490.2","7725.5","9608.3","11496.5","14615.4","18128.4","20848.7","649.7","1648.5","2824.3","3983.9","5618.1","8443.7","10777.9","14941.3","19701.1","23522.3","26917.1","27843.5","446","1082.7","1955.9","2766.2","4880.9","8901.4","12644.6","16328.7","22447.4","24149.9","26277.2","31998.4","723.5","1509.6","3410.6","5497.9","9605.9","14976","17983.4","21387.9","24444.2","30299.9","34059.3","40053.7","757.7","3281","4182.8","5393.9","6269.4","8976.7","13007.8","17251.7","19779.8","23924.6","30907.7","43805.1","1206.2","2398.9","4300","6468.9","7736.2","11035.5","16658.9","21794.7","30066.6","36174.8","43613.2","52942.4","2096.6","3643.5","5690.5","7443","10611.1","15834","20404","26081.1","30366","37193.4","49345.2","59798","1084.9","3028","5740.2","7956.1","14215.6","21344.4","28045.9","35477.4","38607.1","45407.3","51337.3","60397.4","1860.1","3603.8","4430","5982.9","8797.2"
"Калужская область","1015","2973.2","5562.4","8266.2","11973.3","17717.4","21327.5","24999.9","28721.3","33779.1","39062.4","53878.9","1600","5203","10420","15645.9","20068.5","26652.6","31595.6","39371.6","46716.7","52718.4","58797.4","66936.2","2344.5","5207.5","9526.6","15983","18885.2","24893.2","29242.5","34465.3","38856.4","50435","57349.3","67997.4","4096.6","6581.4","10004.8","13192.7","19404.9","26314.5","31011.5","36253.1","44298","50782.4","55791.8","67112","3722.2","6086.1","8959.1","11279.4","18907.1","25892.8","31773.3","37582.5","50441.6","57890.6","64474.9","74857","3469.4","8457.1","14882.8","20052.6","27251.1","33985.9","40026.4","45425.1","52070.4","60232.5","67725.5","77177.3","3867","9467","14373.2","20132.8","27384.8","36109.9","42183.7","49195.8","56726.6","67297.2","74727.5","81566.1","5189.9","8978.2","14759.8","20457.5","28193.7","37574.7","44994.1","55179.8","67979.3","74648","81824.3","89821.7","4710","7888.3","12696.7","19748.4","28079.7"
"Костромская область","362.2","760.8","1333.5","1966.7","2751.6","3431.8","4469.2","5129.9","6032.3","6915.9","7682.7","10949.7","438.2","657.6","1011.9","1227.9","1530.6","1928.7","2647.5","3532.6","5785.1","7561.7","8238.2","9020.1","381.6","1158.3","1866.2","2338","2619.6","3508.5","4758.8","5337.4","6395.9","8556.5","10806.6","11780.2","363.2","813.2","1693.2","2181","2707.5","3418.4","4925.2","6968.5","9285.4","10767.6","11985.1","12591.9","141.2","526.6","809.7","1760.3","2369.3","4244.8","6107.9","7937","10430.7","11395.7","13026.2","16057.8","1010.8","1760.4","2316.4","3747.3","4962.3","6344","8314.2","10518.7","12560.3","13644.5","14567","16885.5","748.6","1509.8","2112.1","3429.7","4008.4","7253.8","9872.8","11709.2","14505.1","16084.9","18517","21026.2","1374.1","2210.4","3510.1","4561.7","5788.9","7875.5","9086.6","11966.3","14103.1","16059.7","18545.7","21165","1722.1","2323.7","3531.8","4399.2","5852.2"
"Курская область","1842.7","4288.5","6558","8774.1","12199.3","16369.1","20795.3","25579.2","30497.8","35368.5","38959.1","44911.5","2328.2","4427.9","6820.1","10034.3","13747.8","19084","24877.7","29844.8","36006.9","40916.4","45457.6","50200.5","1535.5","3835.8","6419.1","10086.3","14793.4","20529.9","26587.1","33083.3","38931.3","43591.5","47818.1","57126","2248.2","5111","8845.3","12803.9","18576.7","26700.2","32841.9","42087.1","49586.4","56819","65284.4","77081","2345.9","5514.3","11030.6","15549.8","21819.5","29665","37532.4","45399.9","53945.5","62850.1","71270.3","82453","2221.4","6580","11709.5","18104.8","25562.4","35967.5","46472.6","57611.5","68388.8","77997.4","91388.1","112268","5430.3","12706.9","20077.3","27348.3","38505.4","53306.8","67952","83058.2","98556","112629.5","125881.5","148635.8","7364.2","16497.7","28151","38479.3","51621.3","67934.8","86472.5","101425","116802.9","129451.6","146066.3","172113.9","8143.7","18564.8","31841.5","46666.1","65518.3"
