"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Российская Федерация","100","101.5","101.9","101.5","102.5","102.3","102.8","102.8","95.1","97.7","97.2","97.2","92.6","97.5","98","99.8","112.1","105","103.2","100.4","87.4","92.4","94.7","96.5","103.3","102.3","101.2","100.2","104.4","103.2","101.4","100.4","100.3"
"Центральный федеральный округ","104.4","105.8","104.5","105.2","105.4","104.5","106.8","105.8","100.9","98.6","99.4","100.5","102.4","108.9","107.6","107.9","117.7","102.9","100","97","85","93.9","97.9","101.3","119.2","111.7","105.5","101.9","104.3","104.1","104.3","104.2","101.3"
"Белгородская область","107.6","105.8","103.7","109.7","113.6","111.2","110.8","105.6","98.1","92.8","92.1","95.6","95.7","100.8","100.5","101.7","108.7","103.2","96","94.2","95","94.6","94","93.9","114.7","116.5","113.9","113.1","114.8","107.3","106.3","104.4","98"
"Брянская область","130.1","123.9","119.7","118.2","108.9","106","104.1","105.4","101.3","101.5","101.3","100.4","102.3","101.8","100.9","100.6","97.4","97.2","97.5","97.5","88","85.9","85.8","87.9","98.3","92.9","95.3","98.3","115.7","126","127.5","126.6","104.1"
"Владимирская область","92","93.6","96","93.5","97.3","95.6","98.2","98.2","92","97.8","94.3","91.1","100.1","107.5","110.1","114","105.2","99.1","97","93.4","104.9","109.5","104.9","104.3","100.5","98.2","100.8","102.5","113.6","122","125.5","124.5","101.4"
"Воронежская область","93.1","99.2","100.8","103.3","137.7","126","131.6","114.7","133.1","121.2","124.9","123.5","112.4","115","107.8","105.2","113.8","103.3","117.4","108","73.2","94","94","108.6","149.3","119.4","100.8","91.7","85.7","87.5","95","97.5","98.9"
"Ивановская область","194.6","154.7","109.6","93.3","55.3","68.7","86.8","92.4","100.7","89.2","97.5","100.6","136","140.2","125.5","126.4","79.5","83.3","82.2","75.9","72.1","93.7","95.8","98.9","92.5","71.5","72.1","74.4","118.6","119.2","112.6","111.5","97"
"Калужская область","79.1","77.5","80.1","82.5","98.7","103.5","101.1","101.7","102.6","108.8","111.2","110.2","110.5","106.9","108.1","111.5","115.2","104.4","102.3","100.6","97.9","105.5","97.6","96.5","104.8","99.1","103","103.4","139.5","136.7","134","133.1","89.7"
"Костромская область","116.7","104.7","110.5","111.3","102","100.2","95.2","92.2","97.5","101.4","103.5","107.6","91.3","101.8","109.7","109.5","121.6","108.9","105.3","110.8","127.4","123.7","115.6","101.7","87.4","95.3","95.9","100.2","92.3","98.6","106","104.7","105.6"
"Курская область","77","87.9","96.8","102.9","125.1","123.1","115.5","116","116.9","109.4","104","103.9","94.2","97.4","107.2","105.3","127.7","120.3","114.4","116.6","87.9","82.4","79.7","80.4","88","82.9","86","87.5","195.4","162.5","126.1","111.6","58.2"
"Липецкая область","97.6","102.6","102.2","104","115.3","98.1","109.3","103.4","102.9","100.9","102","96.4","69.6","88.9","96.9","98.3","120.1","100.7","96.7","96.1","81.1","85.3","84.9","88","107.4","110.5","110.8","111.9","148.8","119.7","114.1","110.1","98.3"
"Московская область","92.3","87.6","91.1","91","102","100.6","99.3","98.8","98.7","101.1","100.5","100.8","107.4","108.2","104.5","104","98.9","89.4","93.1","96.4","121.7","129.9","129.3","132","122.4","118.6","116.7","112.2","98.8","106.8","109.8","112.6","120.3"
"Орловская область","72.3","81.7","84.4","84.9","153.8","136","123.6","113.4","76.5","76.1","83.2","91.1","120.1","117.5","116.7","117.9","131.3","129.7","121.2","116.8","82.9","88.4","98.7","104.5","149.4","108.9","96.7","92.7","66.2","83.4","90.1","91.6","90.1"
"Рязанская область","101.3","99.4","95","95.3","94.2","92.7","90.6","92.5","104.9","96.3","100.7","100.7","107.5","115.6","107.5","104.3","88.4","92.5","97","101","115.9","111","106","103.7","104.8","101.8","96.1","95.4","101.2","98.6","103.1","105","121.3"
"Смоленская область","92.7","101.7","114.2","111.2","107.4","98.3","92.9","94.3","132.1","119.8","118.3","117.7","94.7","104.3","104.8","107.8","106","109.1","105.5","100.3","88.5","92.2","97.4","103","114.5","106.8","101.1","96.6","86.7","92.9","92.8","92.7","89.2"
"Тамбовская область","145.8","158.3","155.8","139.4","107.1","110.4","113.6","127.3","60.1","66.2","84.5","89.7","121.4","116.5","97.6","106.2","310.2","177.7","112.8","81.2","26.5","34.4","53.3","60.1","87.8","92.3","83.3","85.2","119.9","104.9","106.9","100.6","97.2"
"Тверская область","127.8","137.5","123.4","125.1","77.3","91.6","98.4","98.4","98.5","94.4","91.2","92.7","114.4","116.9","113.7","114.8","111.5","93","94.9","101","80.9","92.3","96.8","96.3","105.6","114.9","110.8","101.1","99.2","81.7","75.4","74.5","74.2"
"Тульская область","93.9","105.1","101.6","100","100.2","103","99.5","97.5","105.2","98","96","99.2","96.4","191.6","201.6","194.8","106.9","55.7","52.1","52.9","89.4","91.3","110.6","111.9","106.8","77.9","82.4","83.3","99.7","93.5","91.4","90.1","89.6"
"Ярославская область","87.8","85.4","86.6","90.5","96.3","108.6","117.5","108.6","105.7","94.5","89.8","92.9","107.1","119.1","125.4","123.9","113.5","107.7","103.1","99.3","98.5","101","103","105.7","102.1","105.9","107.1","107.6","94.9","100.6","100.9","101.8","97.3"
"г. Москва","95.1","98.1","92.7","93.2","98.5","94.5","100.5","100.5","107.8","108.1","104.1","107.7","89.1","106.2","109.9","110.1","119.8","103.4","106","101.7","113.5","125.5","132","135.2","152.5","139.9","123.3","114","95.8","103.3","105.3","109.3","123"
"Северо-Западный федеральный округ","103.9","104.5","105.6","104.8","96.1","99.7","102.1","102.6","92.5","93.6","92.3","91","100.5","102.6","102.7","102.6","106.9","103.3","99.7","97.8","91.2","89.3","91.4","92","80.2","82.3","82.4","82","97.4","98.5","99.6","100.3","98.2"
"Республика Карелия","106.2","108.4","110.9","118","143.5","127.1","126.5","124.7","89.5","85.1","85","81.6","111.9","116.9","112.1","109.5","102.1","103.9","103.8","104.7","121.4","119.9","116.5","113.4","87.4","86.4","85.1","87.4","86","84","85.9","85.2","95.2"
"Республика Коми","111.6","107.1","110.2","104.3","102.2","106.1","105.9","105.8","89.9","92.2","91.3","88.5","105.7","96.1","97.3","102.6","116.5","117.3","113.6","104.4","66.9","58.6","58","58.6","66","73.6","77.6","81.1","94.7","102.2","102.2","100.9","114.9"
"Архангельская область","133.2","136.1","126.5","117.8","58.2","71","76.8","78.5","89.4","86.6","87.8","90","104.6","100.3","95.7","94.7","106.6","114.1","113.5","116.2","111.6","103.9","103.8","101.8","77.5","81.5","82.4","83","101","105.3","109.1","113.4","86.1"
