"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал"
"Российская Федерация","11851.5","11919.8","11881.1","11732.5","12286.6","12470.3","12636.5","12354.6","12085","12072.1","12080","12184.9","11877","11913.9","11812.9","11695.7","11302.2","11335.4","11337.3","11333.6","11359.7","11376","11325.4","11038.4","11177","11195.3","11067.4","11050.9","11179.8","11229","11113.6","11169.7"
"Центральный федеральный округ","3471.2","3483.9","3462.6","3571","3914.1","3957.4","4004.1","3799.9","3770","3773.3","3760.1","3843.2","3731.5","3750","3722","3639.8","3571.5","3622.7","3636.4","3646.5","3622.3","3623.8","3605.1","3612.2","3664.9","3671","3618.1","3687.3","3747.6","3761.2","3712.9","3771.1"
"Белгородская область","111.9","120.7","122.9","127.6","120.5","126","125.1","126.7","121.1","125.6","124.2","125","119.8","124.9","124.5","127.4","111.5","110.8","112","112.7","114.6","114.5","112.6","109.5","111.4","111.5","111.7","115.3","114.1","114.1","113.7","115.9"
"Брянская область","83","82.8","82.8","74.1","81.8","83.6","84.5","85.2","83.4","82.9","81","83.3","78.8","80.5","80.2","80","73.5","73.4","72.7","73.2","73.2","73.1","73.1","68.8","69.8","69.7","68.2","65.1","64.7","64.8","63.7","64.5"
"Владимирская область","145","145.5","145.5","127.9","125.4","125.9","129","127.9","123.3","123.7","124.4","124.9","122.8","122.8","120.9","119.4","113.9","112.8","113.2","113.5","115.7","115.7","115.6","109.9","113.1","113.1","108.5","109.5","111.6","111.7","110.8","109.4"
"Воронежская область","240.4","240.6","239.6","229.5","237.7","241","234.6","240","228.5","215.2","219.3","236.5","201","201.9","200.3","224","184.3","184","182.4","180.8","178.5","178.5","177.7","181.2","183.5","185.5","182.2","186.2","189.1","188.2","184.1","183.8"
"Ивановская область","94","94.4","96.1","97.8","94.1","97.3","97.7","96.7","83.6","86.4","84.5","92.2","88.9","88.3","87.6","86.1","83.2","82.4","83.3","82.5","85.6","84.3","83.6","81.4","81.6","81.7","79.9","77.5","78.6","78.2","76.1","77.4"
"Калужская область","104.7","104.7","98.2","94.4","92.2","92.3","93.5","93.6","94.5","94.5","94.6","92.7","92.5","92","91.2","89.7","83.7","83.5","83.4","83.2","81.4","81.1","80.4","80.3","82.4","82.2","80.1","78.6","79","79","79","78.6"
"Костромская область","56.1","55.8","55.3","51.8","50.1","50","51.5","52.8","51.1","51","50.1","53.2","52.1","51.4","51.3","49.5","50.5","50.3","51.7","51.7","51.1","51.2","49.9","48.6","49.2","49.3","49","51.2","51.1","51.2","51.1","49"
"Курская область","67.2","68.1","68.5","67.6","62.1","62.6","64.2","65.7","66","66.3","68","71.2","67.9","68.3","66.8","66.3","60","59.9","59.2","59","58.9","59","58.1","56.5","56.4","56.3","55.5","56","56.1","56","54.9","55"
