"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Российская Федерация","120.2","118.6","115.1","112","111.7","110.9","109","111.9","113.3","108.8","108.8","106.1","106.6","106.5","111.4","112.9","105.4","102.5","104.3","103","104.9","108.4","111.9"
"Центральный федеральный округ","120.7","119.2","115.5","111.7","112.1","110.5","109","112.2","113.3","109.4","108.9","106","106.9","106.7","112","113.7","105.9","103.2","104.7","103","104.7","108.3","112.5"
"Белгородская область","120.9","119.2","116.4","112","111.7","112.6","109.3","112.3","113.6","108.9","109","105.5","106.2","106.2","110.5","111.4","104.4","101.5","104.4","102.8","104.9","109.1","112.8"
"Брянская область","118.6","117.3","116.9","112.9","112.9","111.9","109.8","114.4","115.3","110.6","110.6","105.8","107.5","107.2","113.3","113.2","106.1","102.8","104.9","103.6","105.2","109.3","113.8"
"Владимирская область","118.1","120.5","113.8","115.3","113.5","110.9","109.4","113.3","114.1","108.6","109.8","105.7","106.7","107.5","113.3","112.5","105","102.3","105.2","102.2","105.6","109.2","113.2"
"Воронежская область","122.7","117.1","114.2","111.7","113.7","109.7","108.6","114.2","114.3","110.9","107.9","104.1","107.3","107.1","112","113.6","105.5","101.5","104.6","102.6","106.9","109.3","112.3"
"Ивановская область","116.6","119.9","115.6","114.7","112","108.7","111.5","114.8","114.6","108.8","112.2","106.4","107.1","107.4","112.2","113.8","106","102.9","105.1","102.9","105.8","109.9","112.7"
"Калужская область","118.6","119.6","117.5","114.3","114","111.2","109.5","113.5","114.9","110.2","108.5","106.8","107.6","107.6","113.2","114.5","105.7","103.4","104.6","102.7","105.7","108.9","115.6"
"Костромская область","121.4","119.8","116","113.5","112.9","109.2","108.5","113.1","113.3","108.8","110.9","105.7","107.5","107.4","111","112.9","106.1","102.1","104.6","103.7","105.2","108.5","114.7"
"Курская область","119.1","122.9","116.6","116.2","109.9","109.4","111.7","115.9","117.5","110.9","109.5","105.5","105.8","105.9","110.9","113.9","105.8","102.1","105.7","103.2","105.8","109.8","113.3"
"Липецкая область","121.9","117.1","113.5","113.4","112.9","110.9","109.7","113.6","116","108.7","108.1","104.7","106.6","106.3","111.9","112.1","104.6","102.3","105.3","102.9","106.1","109.1","113"
"Московская область","121.8","121.8","117.8","111.7","112.3","111.3","108.3","113.3","111.8","110.9","108","105.8","105.6","107.4","112.2","113.9","106.2","103.2","105.3","102.6","104.7","109.8","114.1"
"Орловская область","119","116.7","115.1","112.2","111.7","109.5","107.6","111.3","114.3","108.6","109","105.8","106.8","107.4","112.7","112.8","106.3","102","104","103.4","105.2","109.1","112.9"
"Рязанская область","118.1","119.2","112","114.9","111.7","110.1","108.6","116.5","115.4","108.3","109.9","105.8","107","108.1","113.5","112.3","105.5","103.3","106","102.9","106","109.2","112.1"
"Смоленская область","122.5","116.6","116.1","112.9","113.4","111.9","109.5","114.4","116.8","110","110.9","106.4","106.5","106.2","114.2","111.9","104.7","102.4","104.9","102.2","105.4","108.1","110.3"
"Тамбовская область","120.3","115.5","114.3","110.5","114.4","109.8","109.4","112.4","115.2","108.1","108.1","105.5","107","107.2","112.2","112.7","105.2","102","105","104","105.7","109.9","112.9"
"Тверская область","121.9","119","115","112.8","111.8","110.9","107.7","112.7","113.2","108.3","109.7","105.3","106.7","107.2","113.6","112.1","104.8","102","104.4","102.1","105.2","109.1","112.3"
"Тульская область","121.7","117.2","114.9","116.7","114.1","110.8","108.2","115.8","116.4","109.5","110.1","105.7","107.3","107.2","112.4","112.9","105.6","102.6","104.7","102.1","106.1","108.7","109.7"
"Ярославская область","120.1","120.8","116.1","111.9","111.7","112.3","110.5","113.5","114.8","109.5","110.5","106","107.8","107","113.5","113.9","105.7","102.7","105.1","103.8","105.5","109.3","111.6"
"г. Москва","122.1","120.4","117.2","110.4","111.5","110.4","109","110.2","112.3","109.8","109.1","106.4","107.3","106.2","111.7","114.2","106.2","103.8","104.3","103.4","103.8","107.1","111.7"
"Северо-Западный федеральный округ","121","118.3","114.6","113.2","112.3","111.2","109.5","112.6","114.1","108.5","109.2","105.8","106.1","106.6","112.5","113.1","105.1","103.1","104.1","103","104.8","108.5","111.9"
"Республика Карелия","119.3","118.3","115.3","112.9","111.1","110","109.1","113.1","112.7","110","109.9","105.3","106.1","106.5","110.9","112.3","104.3","102.8","104.3","102.8","106.1","109.4","111.8"
"Республика Коми","119.8","120.5","114","118","111","110.8","110","112.3","113.8","108.6","108.1","106.3","106","106.6","110.9","113.2","104.8","102.4","105.1","103","106.6","107.5","111.4"
"Архангельская область","121","119.6","116.1","112.7","112.5","109.7","109","112.9","114.1","108.6","109.4","105.4","105.9","106.7","113","113","104.7","101.6","103.8","103.3","104.6","109.3","112"
"Ненецкий авт. округ","125.1","120","125.5","112.7","117.7","112.3","109.2","107.4","118.4","105.9","106.7","104.5","105.7","105.6","109.7","115.4","104.7","101.7","101.8","104.1","103.4","103.7","115.6"
"Архангельская область без авт. округа","","","","","","","","","","","","","","106.8","113","113","104.8","101.5","104","103.1","104.7","109.6","111.9"
"Вологодская область","119.7","115.4","113.1","113.1","111.8","111.3","109.2","112.7","114.3","107.2","109.2","105.7","106","107.2","112","112","105","102.2","103.9","102.9","105.3","109.3","112.6"
"Калининградская область","117.5","121","109.8","117.5","111.7","111.1","107.9","111.2","115.2","108","108","105.7","105.6","107","115.6","111.7","104.7","102.8","104.8","102.8","105.1","109.5","112.9"
"Ленинградская область","123.5","119.6","114.8","113","114.9","112","109.9","112.8","114.9","110.1","111.1","106.4","106.5","106","111.5","113.3","105.7","102.7","104","102.9","104.1","108","110.8"
"Мурманская область","121.9","122.6","122.4","113.9","110.8","111","108.8","112.5","114.1","110.6","108.6","106","105.6","106.5","110.3","113.4","105.6","103.1","104.4","103.5","104.1","107.2","115.3"
"Новгородская область","120.5","116.8","115.2","114.4","113.1","110.3","110.3","111.7","114","108.3","109.3","104.9","106.7","106.7","111","112.6","105.2","102.4","104.9","102.5","105.6","107.4","111.1"
"Псковская область","118.6","118.4","112.6","112.7","111.6","110.5","108.1","112.5","113","108.3","108.6","105.6","107.3","107.2","112","114.2","105.1","102.4","104.9","102.3","104.9","108.1","112"
"г. Санкт-Петербург","123.5","118.1","114.7","112.2","112.7","112","110","113.2","114.4","108.5","109.4","105.9","106.1","106.7","113.3","113.2","105.2","103.7","103.9","103","104.7","108.7","111.5"
"Южный федеральный округ","117","120.2","116.2","110.8","112","112.1","109","112.1","114","109.5","109","106.1","106.6","106.6","111.9","112.6","105.7","102.1","104.5","102.7","105.2","108.8","111.7"
"Республика Адыгея","119.9","121.5","114.5","113.2","113.4","111.7","108.5","111.3","115.1","108.5","110.1","106.2","106.6","106.9","111.4","112.6","105.2","101.7","104.2","102.2","105.8","108.9","111.9"
"Республика Калмыкия","116.9","119.8","115.2","110.1","114.8","110.9","109.8","114.6","116.1","107.2","112.6","107.2","107.6","107.8","111.1","111.4","105.4","103.3","104.3","103.3","106.3","111.5","109.4"
"Республика Крым","","","","","","","","","","","","","","","142.5","127.6","107.2","101.4","105.5","102.6","105.2","108.7","113.2"
"Краснодарский край","118.2","122.3","115.9","110.7","112.2","112.3","109.5","111.3","113.1","109.8","108.5","106.6","106.7","107.2","112.2","112.7","106","102.2","104.3","102.6","105.1","109.3","111"
"Астраханская область","116.6","121.6","114.5","114.1","111.2","114.3","111.3","114.3","113","109","109.8","105.2","106.1","106.4","110.7","112.6","104.7","102.1","104","102.6","104.9","108.5","112.7"
"Волгоградская область","119.2","120.5","117","110","111.1","114.7","108.9","111.7","113.1","108.8","109.5","105.3","106.6","105.4","112","113.2","105.1","102.4","104.3","103","104.9","107.8","111.4"
"Ростовская область","116.1","122.3","118.5","112.2","113.8","112.9","109.3","112.3","114.4","109.7","109.4","106.1","106.7","106.6","111.8","112.1","105.2","101.6","104.5","102.7","105.2","108.6","112.1"
"г. Севастополь","","","","","","","","","","","","","","","136.1","121","106.5","103.8","105.1","102.5","105.7","110.1","112.1"
"Северо-Кавказский федеральный округ","","","","","","","","","","","110.6","105.2","106.6","106.1","109.6","114.7","105.2","102.2","103.7","103.2","106.1","109.8","111.6"
"Республика Дагестан","112.2","117.4","114.7","109.5","109.1","110.5","108.9","114.5","115.7","111.9","113.9","106.5","107.4","104.4","110.5","114","104.4","101.1","102.8","103.8","107.3","111.8","110.5"
"Республика Ингушетия","122.7","138.7","117","113.9","109.9","115.5","110.8","109.8","116.9","112","106.1","103.8","105.2","104.5","108.1","117.5","102.6","104","101.9","103.4","105.8","108.9","118.6"
"Кабардино-Балкарская Республика","116.8","122.5","115.6","108.9","113","114.1","107.4","112.2","116.1","110.1","111.4","106.7","108.8","107.5","108.5","115.3","106.1","102.5","103.5","103.7","105.4","108.2","111.9"
"Карачаево-Черкесская Республика","113.4","119.2","119.2","109.4","112.1","112.4","110.3","114.9","114.5","110.1","111.7","105.1","106.2","107.4","110.4","114.9","105.4","101.9","103.7","103","105.2","107.5","112.1"
"Республика Северная Осетия - Алания","116.3","117.5","115.5","107.8","112.5","111.4","111.1","111.8","114.3","108.4","110.7","105.6","106.4","106.1","110.2","113.6","104.8","102.3","103.4","101.9","105.1","109.2","111.2"
"Чеченская Республика","","","","","110.3","109.7","109.8","115","120.5","112.1","112.1","107.6","106.1","106.2","111.1","114.8","105.3","102","103.5","103","105","107.6","112.9"
"Ставропольский край","118.8","119.8","116.2","112.9","113.9","110.5","108.3","112.5","115.1","109","110.1","104","106","106.7","108.6","114.9","105.6","102.9","104.5","103.1","105.7","109","111.2"
"Приволжский федеральный округ","121.2","118.2","115.2","112.2","112.4","110.2","108.7","113.1","113.3","107.9","109.3","106.2","106.4","106.3","110.9","111.6","104.6","101.9","104.2","102.7","105.3","108.6","111.9"
"Республика Башкортостан","121.6","117.4","114.7","111.1","114.3","110.9","108.9","112.6","112.4","108.3","109.6","106.4","106.2","106","111.2","110.9","104.9","101.6","104.3","102.9","105","108.7","111.3"
"Республика Марий Эл","121.7","118.2","114.9","112.1","111.6","109.2","107.4","113.3","113.9","108.5","111.5","106","106.3","106.5","111.6","112.5","105.4","102.5","105.4","102.5","105.1","107.8","113"
"Республика Мордовия","128","119.7","118.2","109","117","108.9","108.1","112.3","114.4","109.1","109.5","105.1","106","106.3","111.6","111.1","103.8","101.1","103.4","102","104.5","107.8","110.8"
"Республика Татарстан","124.2","117.4","116.4","112.4","112.7","108.8","107.4","111.6","111.8","107.5","108.2","105.9","106.4","106.3","109.7","110.7","103.9","102.2","103.7","102.9","104.8","108.7","111.4"
"Удмуртская Республика","122.2","120.4","118","112.5","112.1","109.3","109.3","113.9","113.7","109.6","110.9","106.7","107.2","106.5","109.6","111.3","103.7","101.4","103.8","102.4","105.2","108.7","112.8"
"Чувашская Республика","126.2","119.1","117.3","113.3","110.7","107.5","108.4","113.5","114.2","106.3","109.8","106.2","105.8","106.3","110.9","111.5","104.1","101.4","104.7","102","105.2","108.9","112.2"
"Пермский край","124.5","122.5","116","114.6","112.6","110.4","109","116.4","115.3","108.9","110.2","106.7","107.3","106.5","110.4","112.6","105.4","101.4","103.8","103.1","104.5","108.9","112.4"
"Кировская область","122.6","117.3","113.9","113.3","111.6","111.3","109.6","112.8","114.2","108.5","110.9","106.7","106.9","107.3","111","111.1","104.6","102","104.3","102.7","105.3","109.2","112.5"
"Нижегородская область","121.7","119.7","115.4","115.3","114.3","111.9","110.6","116.1","115.3","108.4","109.9","106.7","106.9","106.9","111.4","112.2","105.4","103.1","104.7","103","105.8","108.1","111.5"
"Оренбургская область","118.7","115.8","113.6","110.1","110.2","110.5","108.7","111.8","112.5","107.7","109.2","105.7","106.3","106","110.9","110.4","103.5","101.9","104.3","102.4","104.8","108.6","112"
"Пензенская область","120.6","118.5","115.1","109.9","114.8","111.3","110.1","113.9","115.2","108.2","109.8","105.6","105.8","106.2","110.9","111.3","104.2","101.6","104.2","102.5","106.1","108.3","112.4"
"Самарская область","119.9","116.7","117.2","112.7","112.7","111.4","108.7","111.9","112.7","108.1","107.8","105.7","105.8","105.6","111.8","112.7","105.2","101.5","104.5","103","105.6","108.8","112.7"
"Саратовская область","119","119","111.8","110.2","110.7","108.4","108.3","111.8","111.7","108.5","108.5","105.3","106","106.2","110.9","111.7","103.9","101.2","104.2","102.5","106.7","108.7","111.3"
"Ульяновская область","123.5","128.1","118","114.6","114.9","110.8","108.5","113.8","114.1","107.6","110.6","106.7","106.5","106.4","111.4","113.8","105.5","102.5","104.5","102.9","105.7","108.8","113.5"
"Уральский федеральный округ","122.2","120.5","113.7","110.3","110.4","111.7","110.2","110.9","112.6","108.8","109.8","106.4","106.4","106.2","109.9","113","105.7","102.4","103.3","103.1","104.2","107","109.9"
"Курганская область","119.3","127.8","113.9","111.4","109.6","111.7","111.4","112.3","114.5","109.5","110.1","107","107.3","105.9","112","114","105.6","102.5","104.4","103.2","105.9","109","111.3"
"Свердловская область","123.9","120.1","113.7","111.2","110.8","111.9","109.2","112.8","114.8","108.9","110","106.4","107.3","107","110.6","114","105.8","102.2","103.9","103.7","104.2","108.1","111.8"
"Тюменская область","120.8","119.9","115.5","110.7","109.8","111.8","111.5","108.9","111.3","108.8","108.4","104.9","105.5","105.9","108.7","112.6","106.9","102.7","102.4","102.5","103.6","106","107.6"
"Ханты-Мансийский авт. округ - Югра","121.3","119.2","117.2","114.2","109.7","109.8","111.6","108","111","110","107.8","105.3","104.8","106.2","108.2","113.4","108.5","103.1","102","102.3","103.9","105.5","107.1"
"Ямало-Ненецкий авт. округ","118.7","122.9","114.8","109.3","112.2","117.9","109.9","109.3","110.6","107.7","108.2","103.1","104","106.8","107.5","110.5","105.1","101.5","102.9","101.6","103.4","106.5","108.3"
"Тюменская область без авт. округов","","","","","","","","","","","","","","105.4","110","113.5","105.1","103.4","102.9","103.1","104.2","106.8","108.1"
"Челябинская область","123.1","124.8","112","110.6","111.8","111.7","109.8","111","112.8","108.6","109.6","108.3","106.3","105.4","109.9","112","104.9","102.3","103.5","103.1","104.6","106.7","110.4"
"Сибирский федеральный округ","120.5","118","114.2","112.8","111.2","110.5","108.6","110.8","112.9","108.4","107.9","106.3","106.7","106.1","110.8","111.6","105","102","104.3","103.6","104.7","109.1","112.2"
"Республика Алтай","123.6","113.7","116.4","113.5","112.1","111.1","107.9","111.3","111.8","111.2","108.6","106.4","107","106.4","110.1","112.5","103.8","101.6","102.9","102","104.2","108.3","113.9"
"Республика Тыва","122.2","115","109.6","111.6","112","109.9","107.2","110.8","114.8","108","108.3","107.3","107.5","105.4","109.5","111.4","104.3","102.7","103.8","103.3","105.1","107.8","110.3"
"Республика Хакасия","125","117.8","114.3","111.4","112.8","110.2","109.3","111.3","113","111","108.4","107.6","106","105.4","110.5","110.3","104.4","102","105.2","103.4","106","110.2","112.7"
"Алтайский край","122.6","119.4","113.1","112.8","112.9","113.6","107.7","112.1","114.5","110.1","108.2","104.8","107.2","107","111.2","112.4","105.8","101.8","104.1","103.3","105.4","110.2","112.1"
"Красноярский край","121.1","124.3","116.8","118.4","110.3","109.3","109.6","109.2","111.8","107.7","107.9","106.1","106.8","104.8","109.5","110.6","104.7","101.6","104.3","103.8","104.7","109","112.1"
"Иркутская область","121.8","116.9","113.3","113.6","110.6","108","109.1","112.2","114.9","108","109.5","107.4","106.9","105.1","110.8","112.2","106.7","102.7","105","104.1","105.1","108.9","114.7"
"Кемеровская область","120.3","118","113.9","111.8","111.2","110.5","108.2","109.8","112.2","107.7","107.9","106.5","107.5","106.7","111.9","111.5","104.5","102.1","104.6","103.9","104.6","109.2","112.6"
"Новосибирская область","122.7","114.2","115.4","111.5","111.4","110.7","108.4","111.6","113.1","108.2","106.2","106.2","105.4","105.8","110.2","111.4","104.4","101.5","103.5","102.9","104.4","109.2","110.4"
"Омская область","121.3","115.4","115.2","110.9","109.4","110.7","109.7","111.5","112.2","107.2","108.5","105","106.9","106.1","111.4","110.9","104.5","101.4","103.9","103.6","104.9","109.4","110.9"
"Томская область","119.2","123.5","116.7","114.4","111.8","111.1","107.8","111.3","112.4","108.9","107.9","106.1","107.4","106.6","110.7","112.4","105.3","102.8","104.5","103.8","104.3","107.5","112.7"
"Дальневосточный федеральный округ","118.4","117.8","115.2","112.8","111.3","113.3","108.8","109.6","113.6","109.7","107.7","106.8","105.9","106.6","110.7","112","105.4","102.1","103.8","103.9","105","107.2","111.8"
"Республика Бурятия","120.3","120.9","110.6","114.2","114.7","115.1","107.3","109.2","112.6","108","109.4","107.5","106.8","107.5","111.8","110.7","104.2","102.1","105","104.1","106","109.4","112.6"
"Республика Саха (Якутия)","117.4","113.1","112.1","111.8","110.8","112.1","111.9","109","112.5","108.2","106","107","105.4","106","110.3","110.5","106","104.4","102.7","104.2","104","106.2","112.3"
"Забайкальский край","117.5","119.3","115.5","113.3","110.4","110.9","109","110.9","112.6","111.4","109","107.8","105.6","108.3","111.2","114.3","105","102.5","104","103.9","105.3","109.4","113"
"Камчатский край","124.3","115.4","114.1","110.2","111.3","121.5","111.6","110.1","114.8","110.7","110.2","105.8","105.6","106.3","107.8","112.6","105.7","102.1","103.4","102.5","103.3","106.7","112.2"
"Приморский край","119","119.1","113.6","112.8","110.8","112.4","107.1","109.7","113.5","109.5","107","105.6","106","106.3","112","111.9","104.9","101.8","104.2","103.2","105","107.4","111.3"
"Хабаровский край","119.9","123.5","117.6","115.3","113.8","113.6","108.7","109.8","114.1","109.5","108.1","107.9","105.4","106.3","111.8","113.1","106.1","102.6","104","104.2","104.9","106.2","110.8"
"Амурская область","118","119.7","112.4","115.5","112.6","113.2","109.1","109.6","114.1","109.6","109.4","107.6","107.2","107.7","110.5","112.8","105","101.7","104.6","104.8","107.2","106.3","112.3"
"Магаданская область","118.3","117.5","112.3","111.9","109.4","112.4","108.1","113.3","119.3","113.4","108.5","109.2","108.7","109","107.8","113.1","103.7","103.1","104.7","102.6","105","108.6","111.4"
