"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Российская Федерация","210","212","207","201","195.6","195","199.8","205.4","212.9","211.2","217","230.2","237","249","255","261","265","269","277.6","279.5","110","174","245"
"Центральный федеральный округ","250","255","247","240.3","230.7","228","233.5","244.2","267","259","262","279.3","298","311","317","319","334","333","343.6","327.3","134","173","255"
"Белгородская область","122","121","108","120.4","121.8","112","112.6","114.6","107.7","112","118","116.3","132","129","130","135","139","143","147.5","150.7","72","111","141"
"Брянская область","129","138","136","138.9","130.2","130","128.7","118.5","131.5","123.7","139","154.4","151","167","179","182","184","170","201.6","209.3","81","94","148"
"Владимирская область","94","95","88","88.5","95.4","101","105.1","111.9","123.5","122.6","115","120.6","115","121","117","136","144","151","158.7","157.3","64","67","66"
"Воронежская область","149","150","161","159.9","154.5","155","142.6","170.2","156.2","149.6","159","170.8","191","193","165","178","171","162","177.1","179","65","88","158"
"Ивановская область","197","186","193","204.2","190.1","188","172.7","174.6","213.5","194.7","233","220.9","224","252","257","243","243","255","266.8","267.7","82","177","324"
"Калужская область","111","148","142","160","165.5","151","142.2","150.3","151.8","184.4","185","187.9","180","205","196","208","214","192","188.2","205","96","183","184"
"Костромская область","145","141","164","176.2","176.4","178","190.1","193.7","200.7","226.7","245","256.9","279","298","315","326","343","339","349.1","354.6","138","151","264"
"Курская область","108","125","124","132.1","121.7","117","138","149.6","148.7","157.1","164","172.8","164","170","174","186","192","183","202.5","219.7","83","75","157"
"Липецкая область","108","88","111","76.2","96.5","94","77.2","86.4","87.5","114.2","138","140","144","142","156","170","166","155","156.7","172.3","61","83","160"
"Московская область","43","50","78","67.1","57.4","85","88.8","91.6","82.8","88.1","91","96.1","102","110","135","149","156","148","155.2","118.7","67","89","102"
"Орловская область","267","300","280","272.9","288.8","262","258.5","259.6","267.4","231.9","238","230.4","233","254","242","212","209","243","261","273.3","92","125","256"
"Рязанская область","172","178","184","171.6","166.9","149","154.7","173","170.3","166.5","198","206.4","206","210","216","233","223","235","247.4","246.7","120","129","197"
"Смоленская область","75","78","83","82.6","90.2","94","100.1","96.1","108.8","114.8","113","120.9","123","112","112","114","108","119","116.4","124.7","54","71","125"
"Тамбовская область","62","70","111","102.7","103.9","118","105.2","113","117.5","105.1","138","136.4","154","153","160","191","198","214","220.2","231.4","94","143","209"
"Тверская область","148","133","145","138.9","142.4","162","173.4","185.4","181.4","180.4","181","185","192","204","217","227","218","238","248.4","253.8","95","170","281"
"Тульская область","211","154","162","182.8","196.1","194","200.9","208.1","263.2","226.7","209","215.7","226","249","254","242","168","206","285.3","207.7","85","131","187"
"Ярославская область","239","241","230","224.8","211.8","215","194","208.4","236.9","220.2","226","275.8","252","246","260","267","268","274","270.5","303.7","147","198","261"
"г. Москва","611","620","553","530.9","496","467","482.8","498.8","563.8","537.2","527","565.4","603","627","628","612","663","655","658.2","624.9","246","303","452"
"Северо-западный","339","330","329","297.1","294.5","289","276.4","278.3","286","275.6","279","297.4","311","341","374","395","413","413","409.6","425.6","179","286","390"
"Республика Карелия","274","249","228","165.3","267","256","172.7","222.1","213.7","192.9","166","214.5","186","221","218","230","211","254","266.7","296.1","127","202","269"
"Республика Коми","134","133","129","122.1","102.1","99","98.1","120.2","127.5","128.8","163","162.2","164","175","185","182","171","204","193.9","200.3","94","152","232"
"Архангельская область","127","120","118","113","104.6","116","133.8","132.7","135.4","140.8","136","156.1","168","182","193","184","197","191","198","243.5","98","155","203"
"Архангельская область без авт. округа","","","","","","120","138","137","140","146","141","162","174","189","200","191","204","199","205.8","220.7","102","161","211"
"Вологодская область","146","158","158","135.6","138.8","127","131.1","147.3","178.9","142.9","154","144.8","158","171","165","164","170","176","190.8","204.5","79","147","218"
"Калининградская область","102","106","104","114.7","121.7","114","130.4","145.2","131.7","142.1","154","186.5","172","187","196","209","189","201","196.7","194.7","80","111","183"
"Ленинградская область","260","234","230","182.6","213.8","209","201.8","195.6","191.4","177.5","145","127.5","128","112","116","122","121","124","127","120.7","56","99","122"
"Мурманская область","150","131","129","127.1","128.4","120","143.1","145.3","156.4","142.7","139","165.9","141","144","160","134","160","156","153.3","247.3","60","130","205"
"Новгородская область","178","94","131","137.7","139.2","159","188.9","100","117.3","103.8","106","121","129","121","128","130","128","132","117.7","140.7","49","60","127"
"Псковская область","149","149","174","187.9","141.5","125","122.3","148.9","137","151.6","151","144.2","128","117","148","143","148","168","167.1","173.3","60","78","172"
"г. Санкт-Петербург","678","677","669","602.8","575.7","563","517.6","511.7","523.7","506.2","517","550.2","587","655","726","780","824","800","786","801.9","342","541","695"
"Южный федеральный округ","126","125","114","123.4","124.3","120","118.6","125.2","117.9","122.2","124","135.2","138","141","145","159","157","161","165.6","176.2","67","107","153"
"Республика Адыгея","87","145","97","100.7","117.3","121","106.9","131","105.3","83","96","85","85","91","107","107","110","114","113.4","132.7","35","111","151"
"Республика Калмыкия","209","137","189","169.9","160.9","190","209","195.7","191.1","194.5","113","80.6","105","123","119","102","119","117","124.1","135.7","30","62","201"
"Республика Крым","","","","","","","","","","","","","","","107","177","190","192","165.8","200.1","63","133","180"
"Краснодарский край","87","78","71","82.9","76.3","71","65.6","71.9","74.2","84.8","86","88","94","96","98","104","99","95","95.2","99.4","26","39","74"
"Астраханская область","191","168","185","190.4","175.7","177","188.6","207.2","149.5","212.6","214","323.5","285","275","338","335","300","306","276.6","339.3","150","195","298"
"Волгоградская область","188","200","164","159.2","174.8","156","156.3","162.1","149.8","146.4","153","172.7","183","190","183","186","175","188","203.9","210.5","68","153","181"
"Ростовская область","118","120","115","132.7","136.4","137","137.4","142","140.1","130.7","133","134.6","137","144","146","152","158","166","176.3","185.8","98","127","179"
"г. Севастополь","","","","","","","","","","","","","","","283","363","367","406","568","464.6","194","219","306"
"Северо-Кавказский федеральный округ","101","108","102","96.7","90.1","89","88.7","92.3","96.4","90.3","91","87.4","89","101","120","120","127","128","139.8","139","43","106","125"
"Республика Дагестан","128","128","125","135","123.5","112","112.2","123.7","118.6","117.1","108","103.9","95","103","98","109","115","122","130.5","120","36","79","113"
"Республика Ингушетия","121","143","76","67.1","45.6","52","89.8","61","61","51.9","65","65.1","66","102","204","188","166","143","144.1","145","48","14","136"
"Кабардино-Балкарская Республика","125","115","112","94.4","87.7","98","70.6","85.7","93.5","86","92","70.4","91","121","106","109","119","131","146.5","159","39","148","151"
"Карачаево-Черкесская Республика","75","107","93","77","69.1","63","64","61.2","61.7","66.3","73","66.8","74","62","70","75","87","87","82.8","82","20","44","102"
"Республика Северная Осетия - Алания","170","217","225","215","194.8","203","209.1","181.9","217.3","176.5","192","190.2","200","229","240","242","249","211","265.1","258","75","181","269"
"Чеченская Республика","","16","20","8.5","15.7","27","17.4","23.3","24.5","17.7","28","26","35","59","170","154","167","180","193.7","194","68","205","92"
"Ставропольский край","91","89","83","74.5","72.8","70","74.3","79.4","86.3","84.2","84","84.4","87","86","86","86","91","93","97.3","103","34","79","117"
"Приволжский федеральный округ","206","214","206","197.1","187.1","188","189.5","198.7","198.3","201.3","210","223.6","228","234","234","243","244","251","260.7","267.8","100","179","256"
"Республика Башкортостан","196","209","198","210.9","212.1","208","204.4","201.7","196.8","191.1","199","208","214","209","207","212","216","225","237.3","236.2","79","203","245"
"Республика Марий Эл","339","274","276","302.6","304.1","268","273.4","314.3","288.8","289.2","302","331.4","311","320","359","374","381","395","379.7","432.7","183","298","462"
"Республика Мордовия","208","193","194","171.4","153","162","163.9","176.7","191.4","200.6","181","214.6","239","254","252","255","246","265","276","281.3","88","181","279"
"Республика Татарстан","207","232","206","190.3","177.5","183","190.4","202.2","210.3","215.2","219","223.6","245","272","273","289","293","305","318.8","322.4","143","224","282"
"Удмуртская Республика","293","286","279","278.2","277.8","271","246.7","275.6","232.7","251.9","250","256.4","279","285","259","276","274","293","293.4","302.4","111","180","278"
"Чувашская Республика","228","251","232","245.4","253.7","252","261.9","239.6","243.4","280.7","278","277.4","279","292","290","317","303","311","314.4","325.7","124","304","379"
"Пермский край","214","251","261","240.2","214.1","217","228.5","254.6","248.5","245.1","262","327.1","316","306","316","334","328","335","336","343","121","252","325"
"Кировская область","167","169","156","145","142.6","144","151.3","179.1","177.9","147.7","181","166.4","159","157","155","157","157","153","162.8","175","61","134","202"
"Нижегородская область","224","223","216","204","195.1","194","181.2","180.7","185.4","178.5","192","204.5","209","213","223","228","238","234","244.1","256.2","80","139","261"
"Оренбургская область","137","140","136","118.9","131.9","133","120.5","152.8","153.5","139.6","150","149.6","142","148","146","155","157","167","174","182.4","68","117","185"
"Пензенская область","123","136","143","128.8","112","111","125.7","113.4","77.7","95.8","144","155.5","155","148","151","134","134","136","141.5","151.1","67","58","139"
"Самарская область","215","206","186","178.4","156.6","158","146.8","151.8","169.7","178.6","186","209.4","223","237","235","256","262","267","281.1","282.6","136","179","244"
"Саратовская область","231","262","263","230.6","203.4","221","249.9","253.3","270.2","278.9","264","269.6","262","262","251","239","225","236","260.2","266.3","68","120","208"
"Ульяновская область","142","121","118","122.6","111.3","114","121.5","128.8","123.4","149.6","159","162","163","176","177","180","183","186","185.1","189.9","71","99","177"
"Уральский федеральный округ","160","161","160","175.6","177.3","178","181","185.6","199.2","203.9","209","208.6","216","226","225","231","234","243","247.5","253.2","94","174","223"
"Курганская область","90","118","136","147.5","128.4","120","131.6","142.3","161.5","136.8","148","148.6","141","146","153","150","145","161","166.3","166.6","54","78","139"
"Свердловская область","217","208","208","217.5","220.3","230","233.4","227.4","234.1","259.8","253","261.2","257","276","287","301","292","312","309.3","313.8","127","215","283"
"Тюменская область","72","90","99","125.5","110","115.6","126.4","134.2","141.8","153.7","160.2","166","186.5","192","172","168","197","198","202","149.7","145","151","170"
"Ханты-Мансийский авт. округ - Югра","37","56","75","62.1","78.7","91","111.5","110.9","114.6","130.8","136","130.4","151","162","162","158","145","143","146.7","158.6","31","72","135"
"Тюменская область без авт. округов","134","160","163","243.3","188","189","193.5","213.8","229","240.4","250.5","271.8","300","300","249","241","326","330","335.2","356.6","113","292","262"
"Челябинская область","187","177","164","177.4","199.6","186","180.7","194.4","220.9","201","217","201.3","214","220","221","229","223","225","239","238.1","99","170","226"
"Сибирский федеральный округ","218","213","212","208.2","208","204.8","220.5","229","232","233.4","242.7","259.8","256.5","267.4","269","262.5","258.4","256","271.6","278.3","108","185","271"
"Республика Алтай","11","24","17","21.7","20.7","21","14.9","64.7","33.3","41.5","39","40.5","37","47","67","84","89","76","108.9","109.8","29","62","76"
"Республика Тыва","193","190","198","117","87","124","187","123.7","111","82.9","48","104.3","103","86","81","98","109","124","129.7","284.1","78","239","315"
"Республика Хакасия","147","167","186","167.7","208.6","193","170.9","175.3","173.3","148.8","181","195.2","203","252","224","249","254","234","220.2","251.3","90","205","210"
"Алтайский край","144","156","154","150","143.9","151","149.8","137.5","156.1","150.9","157","176.1","182","174","179","164","173","180","187","192.9","77","143","220"
"Красноярский край","316","285","278","268.7","261.6","247","259.9","277.5","286.6","299.1","291","317.3","301","305","311","318","322","327","328.7","344.2","125","209","357"
"Иркутская область","159","160","164","153.9","154.6","165","179.8","194.8","182","189.9","200","209.9","207","227","231","239","228","223","232.6","235.9","66","118","217"
"Кемеровская область","134","118","115","127.6","128.6","129","139.2","137.1","133.3","147.9","149","166.4","164","184","193","193","193","186","191.7","205.8","67","147","173"
"Новосибирская область","260","278","284","283.8","240.3","230","290.2","300.4","319.6","334.3","352","364.3","367","369","370","328","329","351","363.8","338","174","275","335"
"Омская область","325","318","330","345.8","339.4","334","325.3","336.9","347.7","339.8","360","381.2","373","382","366","352","310","261","334.6","346.5","154","224","323"
"Томская область","260","236","186","155.4","293.5","272","292.8","342.5","304.2","241.7","284","283.6","278","317","321","320","313","312","336.9","328.5","98","148","299"
"Дальневосточный федеральный округ","139","147","156","152.4","138.1","157.7","197.9","169.8","164.4","171","190.1","208.7","192","211","224","232","204","242","244.5","262.7","100","173","236"
"Республика Бурятия","189","182","148","173.4","161.8","192","172.4","143.5","139.6","157.4","182","179.8","182","202","207","235","235","238","237.7","249.1","73","157","250"
"Республика Саха (Якутия)","155","186","185","181.2","172","178","163.9","132.6","112.1","160.1","183","184.2","161","213","222","210","210","195","195.3","224","69","142","194"
"Забайкальский край","86","86","92","88.2","83.9","164","353.4","225.1","177.2","192.7","229","231.7","207","248","272","261","236","289","299.2","309.8","108","202","222"
"Камчатский край","142","169","191","211.7","184.9","154","151.3","117.8","111.8","95.3","186","226.2","212","214","215","226","212","190","199.6","230.4","112","136","263"
"Приморский край","116","116","133","132.1","124.3","131","164.3","156.7","166.9","177.2","183","231.2","204","231","249","273","205","335","341.3","361.7","145","227","306"
"Хабаровский край","192","193","213","207.3","161.3","172","239.8","209.1","223.8","216.2","222","251.7","251","233","250","237","207","216","197.1","220.7","103","179","236"
"Амурская область","124","135","136","108.6","117.3","128","128.5","153.1","140.3","126.7","139","137.6","154","152","148","175","146","149","157.2","164.9","52","106","149"
"Магаданская область","200","376","324","336.2","244.9","247","285.8","295","309.6","279.4","282","279.7","302","309","324","329","327","329","385.5","358.2","138","171","292"
"Сахалинская область","141","130","195","155.5","149.4","182","175.3","191.2","194","168","195","211.9","101","138","163","169","164","190","173.3","211.1","10","175","225"
"Еврейская авт. область","34","39","41","52.8","62.5","57","59.8","62","66.1","65.2","73","69","72","76","77","73","82","88","146.6","143.9","35","48","132"
