"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Российская Федерация","1165234","1504712.1","1762407.2","2186365.2","2865014","3611109","4730023","6716222.5","8781616","7976013","9152096","11035652","12586090","13450238","13902645","13897188","14748847","16027302","17782012","19329038","20393742","23239504","27865234"
"Центральный федеральный округ","303918","349311.9","435810.1","563110.6","770408.8","964158","1225592.9","1779599.4","2278329","1928138","2099824","2458312","2961584","3331629","3570432","3578186","3795422.2","4241519","4998017.5","6093362","6582672.5","7952979.5","9367418"
"Белгородская область","9242","14030.6","10829.8","15336.3","22684.5","35022","52073.3","83509.5","104218","73127","96313","125994","136820","129405","120658","147214","143791.8","142692.8","134551.3","167093","169508.1","168772.4","193557.6"
"Брянская область","2808","3467.1","4737.8","6527.5","6751.4","8496","12461.7","21010.2","25298","26858","41989","48014","46551","60864","66066","62255","68194.6","55120.9","58918.3","63553","75241.6","83717.9","87395"
"Владимирская область","4852","6224.2","8849.9","10326.7","12491.1","17327","22253.3","37775.4","45056","51546","50088","59769","61013","65354","73927","71513","70716.7","78526.9","73502","90060.5","95285.9","102361.1","179369"
"Воронежская область","8262","10408.7","15963.8","19755.8","21845.5","28652","38867","65319.3","94168","94788","125826","155245","182334","216983","240272","264660","270992.1","283652.2","276785.3","298767.8","259172.5","285010.2","344140"
"Ивановская область","2058","2470","3175.6","5121","8997","12068","14734.2","17416","26051","31956","29961","32373","28762","33938","33075","25713","23287","30314.9","29359.8","37419.5","44387.9","45269.2","59451.1"
"Калужская область","5293","6355.6","7450.7","9353.3","10479.1","13624","18297.4","35011.8","66270","60349","74489","77354","95970","98084","99786","92707","84444.6","89030.4","91138.2","110157.5","112163.6","132592","135811.5"
"Костромская область","4636","4843.3","6222","5855.5","12499.6","14083","11820.9","13918.6","16848","11334","15100","17648","21169","22264","27512","27345","26429.6","21639","22313.5","26009","28311.3","45063.1","36901.8"
"Курская область","5425","6646.2","10412.7","10111.7","15198","17864","23241.1","33523.1","46752","41183","46093","58521","66639","71546","73695","73745","93658.5","100895.1","120735.2","142668.9","136892.8","193789.8","202596.5"
"Липецкая область","6265","8409.6","10984.9","17199.8","26575.3","30312","44565","64707","88089","84317","101600","112531","93327","101093","105588","116134","127890.9","142407.1","128532.7","155038.2","171804.2","179400","166200"
"Московская область","50729","52701.2","71787.4","105176.1","154969.2","181260","236930.9","401143.3","481617","380061","394284","449666","516872","587645","644830","623918","621176.1","699918.5","945424.1","1090731.5","1077672.1","1182601.5","1329378.5"
"Орловская область","4881","5140.9","5132.4","5950.1","7811.7","9610","12714.7","24118.9","27242","19791","21451","34072","40429","43741","47580","47981","43595.6","43669.6","48058.4","55901.9","55049","58815","60550.8"
"Рязанская область","6162","9873.2","7085.7","9515","18326","23629","25944.9","33630","53231","38036","40622","53163","66705","75531","60558","54190","50892.7","62286.2","62741.4","69044.2","62505.3","75730.4","93396.4"
"Смоленская область","6701","9071.7","9720.9","11426.9","11315.5","14371","16029","25178.1","37562","34633","48833","56872","56435","55931","56587","55043","58728.2","57495.6","70900.5","70524.7","64975.7","71255.8","64904.8"
"Тамбовская область","2527","3772.3","5341","8257.5","11316.4","14698","19666.8","30860.9","42701","48795","53980","68302","82921","98227","110597","117641","105033.4","111073.1","106230.3","90718.9","74770.1","79396.7","84982.8"
"Тверская область","9555","10687.4","14352.7","22093.8","29791.5","23845","24325.9","36383.7","50222","70047","82618","94276","80464","80536","84039","73462","93427.3","100743.9","104501.1","88348.2","84863.2","87064.1","88853.3"
"Тульская область","10197","7870.9","9538.7","13655.2","14031.5","20804","24361.1","36208.1","55363","61518","71526","77703","84059","91046","95235","105629","112560.6","128563.6","154752.3","177724.4","137984","182405.5","212314.9"
"Ярославская область","8112","13500.4","13827.7","17860.6","26794.7","42466","37143.2","44203.2","55174","57377","72291","80386","81019","86348","88541","75437","88363.2","85781.6","84397.3","90977.5","92691","111392.7","109627.7"
"г. Москва","156215","173838.8","220396.5","269587.9","358530.8","456025","590162.5","775682.2","962468","742422","732761","856424","1220097","1413094","1541884","1543601","1712239.4","2007707.6","2485175.8","3268623.2","3839394.5","4868342","5917986"
"Северо-Западный федеральный округ","116663","168113.6","199102","285158.6","359562.2","483265","651271.4","832477.6","1040669","933693","1134405","1329968","1485413","1416123","1406454","1437479","1742374.4","1883299.6","2308913.8","2082965.4","2175746.8","2381045.5","2611085.2"
