"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Российская Федерация","146303.6","145649.3","144963.6","144333.6","143801","143236.6","142862.7","142747.5","142737.2","142833.5","142865.4","143171","143585.9","144025.3","146744","147182.3","147580","147797.1","147840.7","147959.3","147455.7","146980.1","146447.4","146150.8"
"Центральный федеральный округ","38175.1","38068.5","37946.8","37965.1","38044","38109","38183.4","38210.1","38263.3","38334.8","38445.7","38640.9","38891.7","39142.4","39383","39650.3","39866.9","40078.2","40254","40418.4","40341","40298","40240.3","40198.7"
"Белгородская область","1507","1508.1","1511.9","1513.9","1511.7","1511.7","1514.2","1520.1","1526.3","1531.8","1532.4","1536.6","1541.9","1545.5","1549.8","1552.4","1555.5","1553","1550.9","1553","1545.4","1536.5","1514.5","1500.7"
"Брянская область","1407.9","1391.4","1375","1360.2","1344.1","1327.7","1312.7","1303.3","1294.3","1286.5","1275.3","1263.7","1252.2","1240.6","1230.3","1223.1","1218","1208.2","1197.1","1189.2","1179.1","1164.6","1152.5","1142.4"
"Владимирская область","1558","1539.2","1520.1","1509.6","1497.6","1486.5","1475.9","1466.8","1457.9","1449.8","1441.1","1433.6","1425","1418.2","1412.1","1405.5","1399.8","1390.2","1379.4","1373.7","1359","1342.2","1325.5","1309.9"
"Воронежская область","2422.4","2397.1","2374.4","2367.4","2364.9","2360.9","2353.8","2344.4","2339","2334.9","2334.8","2332.7","2332.9","2332.9","2336.4","2340.1","2343.4","2343.1","2338.6","2336.3","2319.1","2302.6","2285.3","2273.4"
"Ивановская область","1179","1161.9","1144.5","1131","1116.7","1101.8","1089.8","1081.1","1074.3","1067.8","1060.1","1049.1","1039.2","1028.5","1017.4","1005.2","993.8","980.6","965.3","953.6","938.8","924.1","914.7","905.9"
"Калужская область","1060.3","1049.6","1038.6","1031.7","1027.6","1023.3","1020.2","1017.7","1015.6","1015","1009.2","1013.8","1016.7","1020.9","1032.1","1037","1047.4","1050.5","1053.4","1052.2","1056","1073.3","1070.9","1068.4"
"Костромская область","754","743.9","734.5","723.1","712","699.8","689.8","683.4","677.8","672.9","666.4","657.8","651.1","644.6","638.7","631.8","624.5","615.7","605.7","598","589.2","578","571.9","566.3"
"Курская область","1266.4","1248.6","1231.1","1213.4","1195.8","1177.6","1161.6","1151.9","1143.3","1135","1125.7","1121","1118.2","1117.3","1115.2","1117.5","1120","1111.8","1103.2","1099.6","1091.6","1078.2","1067","1060.9"
"Липецкая область","1228.1","1220.5","1211","1205.3","1198.6","1193.9","1190.4","1186.7","1182","1177","1172","1168.1","1166.5","1166.1","1166.2","1167","1169.5","1165.8","1162","1159.7","1150.6","1138.1","1126.3","1116.3"
