"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Российская Федерация","4099","4037","3906","3797","3656","3566","3622","3957","3666","3536","3492","3682","3566","3605","3604","4175","4032","3944","3950","4051","4175","4175","4195"
"Центральный федеральный округ","1631","1597","1539","1490","1437","1393","1426","1536","1445","1383","1358","1365","1318","1327","1313","1523","1461","1445","1440","1465","1579","1583","1558"
"Белгородская область","31","26","23","22","22","23","21","27","23","19","16","16","14","15","16","22","19","19","24","27","28","31","31"
"Брянская область","31","26","24","21","16","20","19","20","23","24","17","23","21","21","22","19","22","20","19","19","19","18","18"
"Владимирская область","38","37","35","33","34","35","32","30","30","25","25","24","23","22","25","31","28","29","27","31","32","29","30"
"Воронежская область","59","59","64","60","57","57","65","66","60","58","58","59","57","56","53","63","63","65","69","70","71","74","66"
"Ивановская область","31","36","32","31","32","30","28","23","21","19","21","17","20","19","20","23","24","23","24","24","25","22","20"
"Калужская область","38","37","38","36","34","33","33","42","41","39","37","41","40","41","41","44","42","43","43","44","46","45","51"
"Костромская область","11","10","10","9","9","8","8","9","6","6","6","6","6","7","7","9","7","8","8","7","6","7","9"
"Курская область","24","26","25","24","23","23","19","19","18","16","15","18","16","16","15","18","19","16","17","18","19","21","20"
"Липецкая область","16","12","12","12","11","10","9","13","11","10","10","12","10","12","13","27","27","21","21","23","22","19","17"
"Московская область","239","236","208","220","217","206","243","267","261","254","257","252","241","235","238","251","250","251","266","252","265","259","268"
"Орловская область","23","24","23","20","18","18","21","22","15","14","14","16","15","14","14","19","18","18","18","19","20","19","18"
"Рязанская область","18","17","16","15","15","16","16","19","19","15","16","17","17","19","20","26","27","25","27","28","26","26","23"
"Смоленская область","16","15","14","15","12","14","13","16","16","17","17","16","15","19","17","28","27","25","24","24","27","25","26"
"Тамбовская область","24","24","23","22","24","23","22","24","24","24","22","34","34","27","25","30","32","29","37","35","34","34","32"
"Тверская область","54","52","48","47","45","42","43","44","34","30","28","28","28","29","28","36","36","38","33","32","36","33","30"
"Тульская область","34","34","28","26","26","22","22","25","22","22","21","21","19","18","20","23","24","21","29","30","27","28","31"
"Ярославская область","37","33","33","30","26","26","27","33","34","32","29","32","32","30","30","43","44","46","39","44","42","42","43"
"г. Москва","907","893","883","847","816","787","785","837","787","759","749","733","710","727","709","811","752","748","715","738","834","851","825"
"Северо-Западный федеральный округ","627","606","590","578","552","536","531","606","533","518","502","514","487","464","466","493","494","476","483","521","514","541","556"
"Республика Карелия","11","9","10","10","10","16","16","16","16","16","16","19","20","17","17","22","24","15","23","23","19","20","19"
"Республика Коми","17","16","21","20","21","19","24","23","25","22","23","21","21","21","24","28","25","26","27","25","25","25","23"
"Архангельская область","21","23","24","23","26","26","25","30","32","33","33","33","32","32","32","36","32","35","36","36","34","32","31"
"Ненецкий авт. округ","2","2","2","2","2","2","2","3","3","4","4","4","4","4","4","4","4","4","4","4","3","3","3"
"Архангельская область без авт. округа","19","21","22","21","24","24","23","27","29","29","29","29","28","28","28","32","28","31","32","32","31","29","28"
"Вологодская область","13","14","15","14","14","15","18","21","20","19","17","18","17","17","17","18","20","19","19","20","18","18","18"
"Калининградская область","21","17","18","16","16","14","14","15","14","11","11","11","11","14","12","16","15","12","13","15","18","17","18"
"Ленинградская область","18","21","17","18","18","17","18","20","17","15","14","14","12","11","14","13","11","12","11","16","15","23","19"
"Мурманская область","32","33","30","30","29","28","26","25","24","24","25","27","27","29","29","31","32","30","29","34","35","36","37"
"Новгородская область","13","14","12","12","10","10","11","13","12","12","12","13","11","11","11","17","19","19","19","19","17","14","15"
"Псковская область","12","10","11","11","11","10","10","14","12","12","13","12","11","10","10","13","14","13","12","16","13","13","13"
"г. Санкт-Петербург","469","449","432","424","397","381","369","429","361","354","338","346","325","302","300","299","302","295","294","317","320","343","363"
"Южный федеральный округ","268","269","253","245","241","239","233","258","226","221","231","255","222","234","256","337","306","302","297","317","329","319","333"
"Республика Адыгея","3","3","3","3","3","3","6","8","6","6","6","8","8","9","10","12","10","10","10","10","10","10","8"
"Республика Калмыкия","9","9","8","8","8","8","8","8","8","7","7","7","6","6","6","6","6","6","6","6","6","6","6"
"Республика Крым","","","","","","","","","","","","","","","15","23","21","20","20","24","28","27","30"
"Краснодарский край","62","64","61","64","64","62","59","68","60","56","53","53","52","56","66","106","105","100","100","106","107","105","107"
"Астраханская область","20","21","21","20","21","21","21","20","14","14","23","36","17","20","20","25","24","24","23","25","25","24","23"
"Волгоградская область","63","62","56","52","49","45","42","48","39","37","42","42","38","45","47","53","46","44","43","43","50","48","53"
"Ростовская область","111","110","104","98","96","100","97","106","99","101","100","109","101","98","87","100","86","89","86","94","94","90","96"
"г. Севастополь","","","","","","","","","","","","","","","5","12","8","9","9","9","9","9","10"
