"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Российская Федерация","2352269.5","3070014.5","3765363.8","4529633","5642497.5","7041509","8711920","10868976","13944183","14599153","16512047","19104336","21394526","23685914","26172386","27273620","28240884","29745536","31579372","33624304","33873660","39472016","42577016"
"Центральный федеральный округ","995587.4","1282054.4","1520701","1774813.2","2166665.2","2600704.8","3119361.8","3741955.5","4662364.5","4939335","5644616","6594385.5","7287582.5","8036407","9016551","9278380","9531830","10140136","10898929","11678620","11849562","13874430","14271887"
"Белгородская область","17781.1","20860","24713.1","29081","36559.8","45614.2","62615.6","84140.1","113627.5","125594.4","143302","166558.3","199861.1","223657.5","253669.7","275878.4","298669.8","315389.9","336148.5","357195.2","366330.5","398209","436241.4"
"Брянская область","11703.1","15327.7","19796.1","24600.7","30896.5","38596.9","48755.9","63372.3","84392.2","93790.2","110850.2","135800.9","152515.5","173077.4","196187.2","217652.8","219879.3","234367.2","253157.2","270154.5","267971","302959.5","331288.5"
"Владимирская область","11660.1","14561.1","16801.2","20234","24935.4","31541.3","44018.7","62525.8","83270","88192.8","101592.6","122486.5","148174","164720.4","182615.6","195364.6","200149.1","211869.5","225731.2","238711.1","239913.6","276799.4","305655.9"
"Воронежская область","28482.7","38018.6","43512.3","52608.7","66949.9","83280.1","93569.4","116768.9","166557.7","184945.7","215519.2","264358.7","324310","368595.7","422902.3","463696.3","487054.2","516648.5","552288.4","585880.1","584320.1","681334.3","725170.2"
"Ивановская область","7935.7","9638.4","12052.9","14123.6","17426.1","21148.2","29381.1","37975.5","57854.7","59158.9","71001.2","90945.1","115478.3","127422","143715.2","148132.7","147372.7","156904.6","164827.4","178634.5","178886.3","207733.2","245588.9"
"Калужская область","9292.6","13057.8","17598.6","23072.7","31231.9","39276","49220.4","63534.8","80730.8","85169.1","98856.7","119066.3","134021.6","145285.1","162837.3","168897.4","177419.1","186001.8","197086.7","211712.3","215053","237322.4","259330.9"
"Костромская область","6921.2","8375.7","10430.2","12613.8","16146.7","18668.7","23401.1","29328.2","38142.3","40342.9","49162.3","57601","63254.5","69017.1","75343","85533.8","93648.1","97322.6","101815.8","109000.9","113302.3","135775.2","156203.6"
"Курская область","13086.5","15995.7","18699.6","23239.8","30524.5","37071.3","48814","63264","79795.4","86939.2","97694.9","115979.1","131875.5","145858.2","164199.8","179787.8","189617.7","197188.3","213277.6","228654.6","227898.6","260445.3","285264.9"
"Липецкая область","16404.3","19384.5","22583.9","26315.5","34180.9","42015.3","53123.8","68721.1","93375.1","104424.6","117750.3","138576.7","156042.8","175734.6","198277.1","215896.2","226044.5","236980.4","256645.4","275796.3","268198.9","305829.8","333703.7"
"Московская область","96770.5","122301.6","153802.7","194375","284996.9","369929.1","495547.8","660751.4","887416.5","893868.2","1016779.7","1207783","1259362.1","1360001.8","1582372.1","1725247.4","1901369.2","2093604.5","2355264","2582676","2676149.2","3267359","3320112.5"
"Орловская область","9536.5","12091.5","15654.5","17895.9","21357.1","26082.8","29415.3","38569.9","52705.2","53636.2","62813.4","73854.8","82138","90420.6","100886.5","114912.1","118382.5","124681","132137.4","139168.6","142156","160518.3","177672.3"
"Рязанская область","11192.8","14750.6","19322","23991.4","29967.1","36305.5","44547.9","59147.7","82794.3","88621.7","97030.4","112883","129543.5","141307.9","159369.2","168427.8","170446.3","179999.3","193216.7","207618.3","216729.7","246166.5","267819.5"
"Смоленская область","14887.5","19360.8","23109.6","26652.8","30999.4","39033.3","46880.6","58300.8","77283.5","85314.5","98023.1","109596.2","120555.9","131050.5","144959.7","157362.9","152916.1","158253.4","169721.9","177217.7","172754.1","193370.9","212239.1"
"Тамбовская область","13795.1","17011.1","20004.5","23828.3","29400","38831.9","48268.5","62610.3","85132.1","89859.4","98311.1","115034.6","132277.1","150033.2","167903.4","182429.3","189897.1","194712","200455.6","211506.9","198398.2","220208.2","241323"
"Тверская область","14533.4","18047.2","22409.6","28151.7","40512.6","58500.6","70216.2","80116.5","103869.4","111367.7","126770.2","142301.7","161705","177080","202162.6","211105.3","214151.9","216144.6","223702","243990.2","250269.6","289394.1","316579.1"
"Тульская область","15022.1","19218.8","23739.9","29490.2","38792.1","48490.1","61144.2","84233.3","118105.8","127336","151330.7","171442","191664.4","209056.1","231976.2","253383","256587.3","273690.4","289310.7","307452.7","299762.2","346432.8","375848.2"
"Ярославская область","14143.4","17663.7","21727.2","25567.7","31653.2","40235.7","52670.5","68314.4","91729.5","93207.2","105411.2","128070.7","145088","167102","190275.6","204565","205814.8","224491.7","235688.6","251254.3","254977.1","305775.1","333488.1"
"г. Москва","682438.7","886389.8","1034742.9","1178970.4","1370135.1","1586083.8","1817770.8","2040280.4","2365582.5","2527566.5","2882417","3322047","3639715","4016987","4436898.5","4310106.5","4282410","4521886","4798454","5101996","5176492","6038796.5","5948357.5"
"Северо-Западный федеральный округ","212612.4","283979.8","349208.8","411326.6","527487.6","674299.7","821299.6","1018518.4","1302864.1","1365171.8","1544705.1","1743422","1967542.2","2147205","2383450.2","2600929.2","2742437","2922979","3112019.2","3301993","3418713","4071879.5","4400189"
"Республика Карелия","10077.1","13059.9","17339.2","19853.7","24267.2","28832.3","34827.3","41343","50774.5","53440.3","60033.4","69919.6","78438.8","86819.8","97333.1","103880.9","107326","112645.3","121814.1","129121.6","138562.2","152913.8","159686.2"
"Республика Коми","19265.1","30540.7","36721.4","44481","55559.5","68273.2","82143.7","98184.2","114568.1","101078.2","110493.9","126605.2","137899","146960.6","157965.2","150511.4","145963.5","150198.1","154571.4","162257.8","164775","179383.3","189002.6"
"Архангельская область","16342.3","24232.6","29411.5","35696.3","43867.8","53824","64708.2","77510.6","100122.1","108994.8","122992.9","144731.4","163823.6","184726.8","209592.9","228981","237514.5","252084.2","263914.7","273126.9","281931.3","311869.1","337510.3"
"Ненецкий авт. округ","535.9","875.4","1084.3","1371.1","1632.7","2139.8","2650.4","3332.5","3945.9","4453.3","4929.5","5627.6","6197.9","6786.2","7705.6","8381.1","8957.4","9449.7","9698.8","9831.1","10009.6","10473.6","11596.7"
"Архангельская область без авт. округа","","","","","","","","","","","","","","177940.6","201887.3","220599.9","228557.1","242634.5","254215.9","263295.8","271921.7","301395.5","325913.6"
"Вологодская область","13811.2","18244.5","22224.8","26818.2","31460.7","35473.2","44860.4","57104.7","70845.4","69621.4","85456.3","100024.3","125682.7","134739.9","149041","157333.1","161530.2","171979.2","186480.1","198096.5","211408.9","238252","255338.5"
"Калининградская область","13006.6","16746.3","19655.5","23064.7","28821.5","36531.2","44554.5","57660","76298.8","85951.3","90573.2","100894.9","109321.2","118058.9","131986.7","141958.6","150308","157054.4","170195.8","181271.1","186139.9","224005.9","250193"
"Ленинградская область","15854.2","21578.1","26653.4","30924.4","46000.4","62653","79165.6","100218.3","130852","141313.1","169587.4","209684.5","230530.4","247986.9","277458.2","311317.6","342645.4","370676.2","405492","438860.3","481711.7","567662.2","620208"
"Мурманская область","20489.5","25000.3","29171.8","34204","39312","45643.3","53115.3","65164.5","84266.3","92058.3","102865","112750.3","123492.1","137536.9","151386.6","153670.1","154756.5","163528.5","169676.6","178998","179008.3","191400.8","220237.5"
"Новгородская область","9257.1","11447.9","13453.1","15561.9","18338.1","22317","27390.7","34403","48129.5","54284.1","59787.4","67745.7","76986.2","85365.3","96388.9","107010","108537.3","111882.7","115328","120513.3","121595.1","136978.9","153497.3"
"Псковская область","8016.7","10799.4","15274.6","18844.1","23967.1","28248.1","33161.2","39002.1","50929.2","52739.8","57864.7","68961.7","76608.8","84289.1","94674.7","101659.3","99532","106614.3","112140.5","120911.9","125207","144846.2","163271.9"
"г. Санкт-Петербург","86492.5","112330","139303.4","161878.2","215893.4","292504.4","357372.7","447928","576078.1","605690.5","685050.9","742104.4","844759.4","920720.7","1017623","1144607.2","1234323.5","1326316.2","1412406","1498835.8","1528373.6","1924567.2","2051243.9"
"Южный федеральный округ","169508.8","224302.2","287757.6","349666.6","437380.9","559262.5","692318.8","923999.1","1220890.9","1274546.2","1482637.9","1702429","1919622.2","2134592","2405182","2597810.2","2994483.5","3120253.5","3290219.2","3504305","3534093.2","4336462","4804176.5"
"Республика Адыгея","4353","5172","5695.3","6722.4","8775.7","11110.7","13089.4","16370.9","25645","31445.1","36620.7","44977","57368.1","67361.2","73873.9","73232.6","80130.9","86249.4","95164.4","101635","107189.8","139651.5","142880.5"
"Республика Калмыкия","1490.9","2069.2","2246.8","2443","3001.1","3878","5174.9","6125.2","7368.1","8487.9","9817.2","12361.7","14591.8","15960.7","17659.3","17904.6","18803","19631.9","21333.1","22630.7","23268.6","26232.6","30834.9"
"Республика Крым","","","","","","","","","","","","","","","148891.6","214710.2","219861.4","229892.5","256198","274708.6","282385.3","334305.8","372360"
"Краснодарский край","62145.2","82885.7","109907.6","134355.5","167381.8","214120.8","274692.5","378338.4","500692.6","552354","646284.1","731407.6","816298","916570","1068889","1160565.9","1247914.4","1306893.9","1368124.8","1462388.8","1487272.5","1908464.2","2104718"
"Астраханская область","10993.3","14370.6","17757.7","21740.5","25936.5","32864","42087.5","55955.5","77665.4","83906","100303.2","116786.2","132989.6","150199.6","165462.8","174292.9","167320.3","166809.5","173405.1","180930.9","174837.4","194841.4","208529.3"
"Волгоградская область","29937.8","39185.4","50198.2","61836.8","80030.8","101535.5","117868","147708.2","186093.6","201676.1","225497.1","254394.2","279235.1","301586.5","325165","346899.7","345656.8","367064.7","389565","417372.3","415734.9","478130.2","538704.9"
"Ростовская область","60588.6","80619.4","101952","122568.4","152255","195753.5","239406.5","319500.9","423426.2","396677.1","464115.5","542502.3","619139.6","682913.9","754132","824914.5","853290.2","880421.6","920765.6","975600.2","975602.4","1157939.2","1308618.1"
"г. Севастополь","","","","","","","","","","","","","","","34959.9","38462.7","61506.5","63290.1","65663.4","69038.6","67802.4","96897","97531.1"
"Северо-Кавказский федеральный округ","61699.1","80493.3","103848.8","137193.3","191040.7","251639","314416.4","408598.6","566002.4","680740.5","800289","948448","1091748.5","1209370.1","1340343.9","1503389.2","1473318.2","1551260.2","1548699.8","1625973.4","1605509.6","1868756.5","2125455"
"Республика Дагестан","13850.3","17634.2","25147.6","41051.7","58148.5","82148.3","108644.5","146647.8","217344","275129.4","317207.3","358216.4","399189.5","451642.1","509251.4","618292.1","594637","620839.2","565425","593299.4","587964.2","657564.5","772055.3"
"Республика Ингушетия","1165.5","2439.5","1956.8","2457.3","2983.5","3357.9","4271.4","5092.7","6606.3","7240.7","8316.8","13273.7","14409.6","16542.1","19165.7","21823.6","21908.3","22500.8","25141.9","25966.3","25930.4","30240.5","36925.9"
"Кабардино-Балкарская Республика","6400.1","8877.7","12126.1","15205.2","18683.6","23435.4","28400.7","35549","47968.1","54901.4","62861","73110.7","80549.5","89855.4","100117.8","112947.6","118274.7","123965.1","127518.3","134586.7","134203.9","188981","245044.1"
"Карачаево-Черкесская Республика","3372.3","4061.4","5532.5","7453.5","9600.6","12510.2","15711.9","18044.6","22575.1","25306.3","27645","31035.8","33589.1","34720.6","36815.3","35081","35702.4","37075.6","38364.5","40318.4","38871.7","44185.7","47188.3"
"Республика Северная Осетия - Алания","6492.8","8019.3","9182","10537.7","12668.2","17104.8","23093.8","28836.1","38611.1","44690.5","54371.5","67363.4","76490","84220","92897.6","101910.5","105349.1","109722.5","114696.7","119194.8","113604.7","133488","149190"
"Чеченская Республика","","","","","9086","11704.3","10397.7","15715.1","29340.8","44512.4","55527.2","73082.9","90925","102958.6","119956","146703.7","152437.5","158382.6","167530.5","176225.3","184489.8","212966.4","260197.6"
"Ставропольский край","30418.1","39461.2","49903.8","60487.8","79870.4","101378.1","123896.4","158713.3","203557","228959.8","274360.2","332365.1","396595.8","429431.3","462140.1","466630.8","445009.3","478774.5","510022.8","536382.6","520444.9","601330.5","614853.8"
"Приволжский федеральный округ","387423.7","502357.5","620259.4","755327.2","940884.1","1190814.2","1516694.4","1949291.9","2556441","2666624.8","3002552.5","3469159.5","3913676","4377961","4851273.5","4879978","4977617","5219930","5540392","5839683","5786086","6596485","7309092.5"
"Республика Башкортостан","49399.9","65662.8","82047.6","103785","133567.6","177376.8","239124","323420.5","428899.6","458949.2","512128.9","577987.3","633942.7","721818.1","781337.8","784663.1","803226.1","841128.4","879483.7","931528.9","912651.3","1015846.5","1118044.1"
"Республика Марий Эл","5174.7","6269.4","7622.4","8951","10787.3","13952.7","20304.6","26329.5","36189.2","39924.8","43625.7","50282.8","56068.3","63780.2","73125.1","76579","78497.6","81990.7","86591.6","90761.7","91237.3","108490.4","117081"
"Республика Мордовия","6636.6","8088.4","9586.3","12351.3","15277.7","18617.7","22466","29178.8","39519.6","44112.4","48409.5","52995.1","57692.6","63014.1","72791.2","77889.4","82084.4","87397.4","91787","97736.9","99898.5","116697.7","135943.8"
"Республика Татарстан","44814.8","61218.4","74576.8","96969.8","121736.6","161441","213946.3","276459.2","369299.3","393903.6","454393.5","534877.3","650696.8","712966.7","781014.2","776236","801642.4","843942.5","916973.5","952690.3","929098.6","1086401.2","1216319.2"
"Удмуртская Республика","15137.8","18968","22780.8","26321.1","31793","39088.9","50247","65900.4","92480.8","98100.7","116834.2","140015.1","156931.6","177486","196727.6","207024.3","211091.2","221458.1","233540.7","242990.4","239672","265557.4","310625.7"
"Чувашская Республика","9916.7","13337.9","15769.1","19603.1","23804.6","29806.2","37212.5","48352.4","67727.2","72596.3","82239.5","97045.1","108746.6","119867.8","131887.3","136737.9","137166.4","142187","152769","166357.7","171695.4","199903.7","220987.9"
"Пермский край","40459.7","54224.9","68143.6","83796.1","101149.3","130236.3","178030.6","220406.7","278260.4","290195.9","316149.3","365875.8","401727.1","453294.5","487372.8","478047.5","482929.6","502334.2","537352.6","564029.6","554520.5","615914.7","660858"
"Кировская область","13822.7","16800.2","22079.2","24650.2","30238.4","36334","43929.9","57626.6","78138.5","79403.3","95621.5","116617.4","131278.2","149229.4","165064.7","174876.6","177188.8","184352.6","195499.7","204496.5","205056.6","236122.5","259177.9"
"Нижегородская область","43162.6","57512.7","74758.8","92013.2","115730.9","139956.9","177635.9","232306.1","314054","310266.6","350747.5","421498.7","482677","539844.1","623085.3","625136.7","652766.1","696909.3","738975.8","780708.1","755996.6","880674.1","971239.8"
"Оренбургская область","17099","21841.6","26007.5","30469.8","40885.8","54408.7","69486.9","90265.5","125959.2","136473.4","157681.8","187098.8","214089.8","240773.4","269615","278368.2","274944.3","293997","307946","327692.6","330340.1","383838","418742.1"
"Пензенская область","13763.6","17090.1","20910","25184.1","32230.9","40254.3","47514.4","73789","94078.6","102888.8","113519.2","131017.3","141099.8","161841.9","180978.8","191367.5","188372.4","199178.8","206297.4","217573.9","222343.6","255559.9","286200"
"Самарская область","84411.5","107059","127798.4","147998.6","182204.5","225857.5","262912.2","312218.8","387216.7","388483.9","423533.6","463930.4","502042.2","558547.2","623718.1","589987.9","599368.2","613578","648396.3","687516.7","674641.3","757582.5","835385.3"
"Саратовская область","29408.3","36729","45238.2","54470","67219.5","82852.4","99901.5","121826.5","159113.5","163530.6","183984.1","214476","243937.4","267193.3","301183","314121.7","319374.2","333210.3","357332.5","376900.8","396596","449078","507660.2"
"Ульяновская область","14215.9","17555.1","22940.7","28764","34258.1","40630.9","53982.6","71211.9","85504.5","87795.3","103684.2","115442.5","132745.9","148304","163372.5","168941.9","168965.4","178265.9","187446.3","198699.1","202338.2","224818.5","250827.5"
"Уральский федеральный округ","170163","231655.2","298638.2","381195.9","493156","656692.2","866635.3","1128828.6","1494728.4","1480465.5","1611277.5","1840346.2","2065036.2","2302653","2435413.2","2484078.2","2475431.2","2555718.5","2706558.5","2849230.5","2828393","3159059","3400051.8"
"Курганская область","8490.5","11329.4","14519.2","18091.4","23283.6","29271.3","39879.4","54618.3","73300.5","68309.3","72494.6","80001.5","87381.2","94898.3","102280.8","105765.5","104329.3","108661.6","114416.9","120321.2","121234.7","133013.2","148147.2"
"Свердловская область","58666","80787.3","107717.9","134139","179044.9","236855.1","303375.7","401294.2","527212","553186","646015.8","764558.3","858801.4","953972.8","998642.6","1035793","1054176.6","1078233.8","1130702","1196946.9","1117561.6","1227763.2","1321049.2"
"Тюменская область","63358.6","86579.7","109663","146362.5","186292.6","243614","324693.8","421225","553251.8","510666.4","519347.3","574436.3","653156.9","747381","795674.6","829441.3","823248.8","876414","942830.1","981867.9","990684.5","1113530.4","1164028.6"
"Ханты-Мансийский авт. округ - Югра","29464.2","41555.3","53184.1","75723.7","98850.4","128935.1","172428.3","223984.2","288415.5","259453.2","253891.6","271930.8","303132.9","341358","359505.8","370923.1","366782","394612.6","420592","437521.8","433936.7","489800.1","509203"
"Ямало-Ненецкий авт. округ","12998.6","17386.8","22089.6","27021.4","34896.2","47788.4","61973.3","78193.8","100301.8","88526.7","87533.5","98810.6","108558.7","119857.3","127136.2","131876.2","122658.4","127666.2","138460.3","142232","143588.3","161413.3","175388.7"
"Тюменская область без авт. округов","","","","","","","","","","","","","","286165.7","309032.6","326642","333808.4","354135.1","383777.9","402114.1","413159.5","462317","479436.9"
"Челябинская область","39648","52958.8","66738.1","82603","104534.9","146951.8","198686.4","251691.1","340964.1","348303.8","373419.8","421350.1","465696.8","506401","538815.2","513078.5","493676.5","492409","518609.5","550094.6","598912.1","684752.2","766826.7"
"Сибирский федеральный округ","257687","339770.5","429809.5","528960.9","653543.6","820481.2","1027581.1","1275824","1616255","1598045.9","1768915","2064138.2","2330901.2","2555023.8","2696933.5","2740453.8","2797007.8","2920193.5","2738913.8","2945966.5","2944584","3419912.2","3843441.2"
"Республика Алтай","1303.1","1779.4","2189","2807.3","3351.9","3960.9","5165.1","7302.7","10556.5","10896.1","12097.6","14312","15825.9","17721.1","20730.2","21648.2","22833.4","24371.4","25989.4","29033.6","29854.1","36390.5","42594.5"
