"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Российская Федерация","1046.794","1057.516","1083.7","1160.934","1221.164","1273.3","1311.6","1344.6","1304.4","1108.8","1312","1381.7","1421.1","1381.2","1375.4","1329","1325.2","1384.3","1410.9","1398.6","1358.5","1403.9","1351.3"
"Центральный федеральный округ","188.135","186.933","196.22","207.082","213.983","212","217.4","217.5","198.7","168.9","197.5","211","223.8","221.6","218.2","203.6","200","201.7","206","198.4","196.8","202.3","190.8"
"Белгородская область","39.104","39.252","40.783","43.007","43.683","43.6","45.1","46.5","40.5","38.4","47.9","56.8","57.1","54.2","54.4","53.5","51","49.9","48.9","48.7","48.3","50.8","45.3"
"Брянская область","7.681","8.153","8.627","8.135","8.218","8.3","7.2","7.9","6","4.5","18.5","21.4","27.6","30.6","28.9","17.2","11.6","10.1","10.1","9.1","8.7","8","6.6"
"Владимирская область","3.369","3.57","3.566","3.191","3.093","3.4","3","3.2","3.3","1.8","2.2","2","2.2","2","1.8","1.7","1.4","1.5","1.5","1.6","1.6","1.7","1.7"
"Воронежская область","13.918","12.684","13.239","14.834","15.223","14.9","15.2","15.5","14.2","12.6","11.2","11.1","11.4","10.9","10.6","11.5","13.6","14.6","16.5","14","13.6","14.2","13.4"
"Ивановская область","1.439","1.542","1.497","1.398","1.531","1.3","1.5","1.9","2.1","1","1","1.1","1.1","0.9","1","1.2","1","0.9","0.8","0.7","0.8","0.5","0.4"
"Калужская область","3.241","3","2.726","2.684","2.743","2.9","2.8","2.5","2.1","1","1.4","1.1","1.2","1.3","2","1.9","2.2","2.9","3.2","2.9","2.4","2.7","2.6"
"Костромская область","2.338","2.305","2.293","2.27","2.599","2.5","2.4","2.2","2.2","1.3","2","1.9","1.6","1.6","1.7","1.6","1.9","2.1","2.3","2.1","2.4","2.4","2.3"
"Курская область","17.732","15.324","16.387","19.115","20.392","18.8","21.9","21.9","20.1","17.6","17.7","19","20","19","19.2","18.9","19.7","20.2","21.8","24.1","24.6","23.8","21.3"
